System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
14:32:50,1.890826,Chicken,24,24,24,0,0,0,0,0,24,0,0,0,0,0,13,11,13,11,0,0,0,0,
14:33:3,39.19988,Chicken,24,24,0,24,0,0,0,0,24,24,0,0,0,0,13,11,13,11,0,0,0,0,
14:33:4,43.44549,Chicken,24,23,0,23,0,0,0,0,24,24,0,0,0,0,13,10,13,11,0,0,0,1,
14:33:6,48.30608,Chicken,24,22,0,22,0,0,0,0,24,24,0,0,0,0,13,9,13,11,0,0,0,2,
14:33:15,76.67748,Chicken,24,22,0,0,22,0,0,0,24,24,22,0,0,0,13,9,13,11,0,0,0,2,
14:33:25,107.4893,Chicken,27,25,3,0,22,0,0,0,27,24,22,0,0,0,14,11,14,13,0,0,0,2,
14:33:26,109.3246,Chicken,30,28,6,0,22,0,0,0,30,24,22,0,0,0,15,13,15,15,0,0,0,2,
14:33:28,114.1662,Chicken,30,28,6,0,0,22,0,0,30,24,22,22,0,0,15,13,15,15,0,0,0,2,
14:33:38,145.0493,Chicken,30,28,3,3,0,22,0,0,30,27,22,22,0,0,15,13,15,15,0,0,0,2,
14:33:38,146.8414,Chicken,30,28,0,6,0,22,0,0,30,30,22,22,0,0,15,13,15,15,0,0,0,2,
14:33:45,166.9673,Chicken,30,27,0,5,0,22,0,0,30,30,22,22,0,0,15,12,15,15,0,0,0,3,
14:33:49,176.9249,Chicken,33,30,3,5,0,22,0,0,33,30,22,22,0,0,17,13,17,16,0,0,0,3,
14:33:50,182.4996,Chicken,33,30,3,2,3,22,0,0,33,30,25,22,0,0,17,13,17,16,0,0,0,3,
14:33:51,184.3323,Chicken,33,30,3,0,5,22,0,0,33,30,27,22,0,0,17,13,17,16,0,0,0,3,
14:33:53,189.2112,Chicken,33,30,3,0,5,0,22,0,33,30,27,22,22,0,17,13,17,16,0,0,0,3,
14:33:57,202.8096,Chicken,33,29,3,0,5,0,21,0,33,30,27,22,22,0,17,12,17,16,0,0,0,4,
14:33:57,203.5524,Chicken,33,28,3,0,5,0,20,0,33,30,27,22,22,0,16,12,17,16,0,0,0,5,
14:33:59,207.8845,Chicken,33,27,3,0,5,0,19,0,33,30,27,22,22,0,15,12,17,16,0,0,0,6,
14:34:0,211.3296,Chicken,33,26,3,0,5,0,18,0,33,30,27,22,22,0,14,12,17,16,0,0,0,7,
14:34:0,211.6631,Chicken,33,25,3,0,5,0,17,0,33,30,27,22,22,0,13,12,17,16,0,0,0,8,
14:34:1,213.6144,Chicken,36,27,6,0,4,0,17,0,36,30,27,22,22,0,13,14,18,18,0,1,0,8,
14:34:1,214.4129,Chicken,36,27,3,3,4,0,17,0,36,33,27,22,22,0,13,14,18,18,0,1,0,8,
14:34:3,220.0616,Chicken,36,27,3,3,2,2,17,0,36,33,27,24,22,0,13,14,18,18,0,1,0,8,
14:34:3,221.884,Chicken,36,27,3,3,0,4,17,0,36,33,27,26,22,0,13,14,18,18,0,1,0,8,
14:34:4,224.554,Chicken,36,26,3,3,0,4,16,0,36,33,27,26,22,0,13,13,18,18,0,1,0,9,
14:34:6,230.8605,Chicken,36,24,3,3,0,4,14,0,36,33,27,26,22,0,12,12,18,18,0,1,0,11,
