System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath,,
14:32:50,1.890826,Fox,18,18,18,0,0,0,0,0,18,0,0,0,0,0,8,10,8,10,0,0,0,0,,18
14:33:18,84.19951,Fox,18,18,0,18,0,0,0,0,18,18,0,0,0,0,8,10,8,10,0,0,0,0,,18
14:33:30,122.7347,Fox,18,18,0,0,18,0,0,0,18,18,18,0,0,0,8,10,8,10,0,0,0,0,,18
14:33:43,160.5977,Fox,20,20,2,0,18,0,0,0,20,18,18,0,0,0,9,11,9,11,0,0,0,0,,20
14:33:43,160.8412,Fox,22,22,4,0,18,0,0,0,22,18,18,0,0,0,10,12,10,12,0,0,0,0,,22
14:33:51,183.2082,Fox,22,22,4,0,0,18,0,0,22,18,18,18,0,0,10,12,10,12,0,0,0,0,,22
14:34:08,234.5548,Fox,24,24,6,0,0,18,0,0,24,18,18,18,0,0,12,12,12,12,0,0,0,0,,24
14:34:10,240.3558,Fox,26,26,8,0,0,18,0,0,26,18,18,18,0,0,14,12,14,12,0,0,0,0,,26
14:34:11,243.1556,Fox,26,26,6,2,0,18,0,0,26,20,18,18,0,0,14,12,14,12,0,0,0,0,,26
14:34:11,243.4203,Fox,26,26,4,4,0,18,0,0,26,22,18,18,0,0,14,12,14,12,0,0,0,0,,26
14:34:16,259.5083,Fox,28,28,6,4,0,18,0,0,28,22,18,18,0,0,15,13,15,13,0,0,0,0,,28
14:34:22,276.7306,Fox,28,28,6,4,0,0,18,0,28,22,18,18,18,0,15,13,15,13,0,0,0,0,,28
14:34:23,281.6845,Fox,28,28,6,2,2,0,18,0,28,22,20,18,18,0,15,13,15,13,0,0,0,0,,28
14:34:23,281.846,Fox,28,28,6,0,4,0,18,0,28,22,22,18,18,0,15,13,15,13,0,0,0,0,,28
14:34:26,288.0119,Fox,30,30,8,0,4,0,18,0,30,22,22,18,18,0,16,14,16,14,0,0,0,0,,30
14:34:28,296.6703,Fox,32,32,10,0,4,0,18,0,32,22,22,18,18,0,17,15,17,15,0,0,0,0,,32
14:34:32,308.4493,Fox,34,33,12,0,4,0,17,0,34,22,22,18,18,0,17,16,18,16,0,1,0,0,,33
14:34:33,310.1052,Fox,34,32,12,0,4,0,16,0,34,22,22,18,18,0,16,16,18,16,0,2,0,0,,32
14:34:35,316.6151,Fox,36,34,14,0,4,0,16,0,36,22,22,18,18,0,17,17,19,17,0,2,0,0,,34
14:34:35,317.0967,Fox,36,34,12,2,4,0,16,0,36,24,22,18,18,0,17,17,19,17,0,2,0,0,,34
14:34:37,322.9446,Fox,36,34,10,4,4,0,16,0,36,26,22,18,18,0,17,17,19,17,0,2,0,0,,34
14:34:39,327.8354,Fox,38,36,12,4,4,0,16,0,38,26,22,18,18,0,17,19,19,19,0,2,0,0,,36
14:34:44,342.1788,Fox,38,36,10,6,2,2,16,0,38,28,22,20,18,0,17,19,19,19,0,2,0,0,,36
14:34:44,342.3514,Fox,38,36,10,6,0,4,16,0,38,28,22,22,18,0,17,19,19,19,0,2,0,0,,36
14:34:47,353.0378,Fox,38,34,10,6,0,2,16,0,38,28,22,22,18,0,16,18,19,19,1,3,0,0,,34
14:34:48,355.652,Fox,38,34,10,4,2,2,16,0,38,28,24,22,18,0,16,18,19,19,1,3,0,0,,34
14:34:50,361.3803,Fox,38,34,10,2,4,2,16,0,38,28,26,22,18,0,16,18,19,19,1,3,0,0,,34
14:34:51,363.8868,Fox,40,36,12,2,4,2,16,0,40,28,26,22,18,0,17,19,20,20,1,3,0,0,,36
14:34:53,370.5081,Fox,40,36,10,4,4,2,16,0,40,30,26,22,18,0,17,19,20,20,1,3,0,0,,36
14:34:56,379.2874,Fox,40,36,8,6,4,2,16,0,40,32,26,22,18,0,17,19,20,20,1,3,0,0,,36
14:34:56,380.5971,Fox,40,36,8,4,6,2,16,0,40,32,28,22,18,0,17,19,20,20,1,3,0,0,,36
14:35:00,390.0942,Fox,42,38,10,4,6,2,16,0,42,32,28,22,18,0,18,20,21,21,1,3,0,0,,38
14:35:00,390.9921,Fox,42,38,8,6,6,2,16,0,42,34,28,22,18,0,18,20,21,21,1,3,0,0,,38
14:35:02,397.1466,Fox,42,33,8,6,6,2,11,0,42,34,28,22,18,0,16,17,21,21,1,8,0,0,,33
14:35:03,399.1531,Fox,42,33,6,8,6,2,11,0,42,36,28,22,18,0,16,17,21,21,1,8,0,0,,33
14:35:06,409.0952,Fox,42,33,6,6,8,2,11,0,42,36,30,22,18,0,16,17,21,21,1,8,0,0,,33
14:35:06,410.3333,Fox,42,33,4,8,8,2,11,0,42,38,30,22,18,0,16,17,21,21,1,8,0,0,,33
14:35:08,414.1966,Fox,42,33,4,8,8,2,0,11,42,38,30,22,18,11,16,17,21,21,1,8,0,0,,33
14:35:08,416.1101,Fox,42,33,4,8,6,4,0,11,42,38,30,24,18,11,16,17,21,21,1,8,0,0,,33
14:35:09,417.6767,Fox,42,33,4,6,8,4,0,11,42,38,32,24,18,11,16,17,21,21,1,8,0,0,,33
14:35:10,421.8698,Fox,42,33,4,6,6,6,0,11,42,38,32,26,18,11,16,17,21,21,1,8,0,0,,33
14:35:13,429.5067,Fox,42,33,4,4,8,6,0,11,42,38,34,26,18,11,16,17,21,21,1,8,0,0,,33
14:35:14,432.5976,Fox,42,31,4,4,8,4,0,11,42,38,34,26,18,11,14,17,21,21,1,10,0,0,,31
14:35:14,434.2959,Fox,42,28,4,4,8,4,0,8,42,38,34,26,18,11,12,16,21,21,1,10,3,0,,28
14:35:15,435.6515,Fox,42,28,4,4,8,2,2,8,42,38,34,26,20,11,12,16,21,21,1,10,3,0,,28
14:35:15,437.621,Fox,42,28,4,2,10,2,2,8,42,38,36,26,20,11,12,16,21,21,1,10,3,0,,28
14:35:17,441.0329,Fox,42,28,4,2,8,4,2,8,42,38,36,28,20,11,12,16,21,21,1,10,3,0,,28
14:35:18,446.3777,Fox,42,28,2,4,8,4,2,8,42,40,36,28,20,11,12,16,21,21,1,10,3,0,,28
14:35:19,446.9077,Fox,44,29,4,4,7,4,2,8,44,40,36,28,20,11,11,18,21,23,1,11,3,0,,29
14:35:19,448.8529,Fox,44,29,4,2,9,4,2,8,44,40,38,28,20,11,11,18,21,23,1,11,3,0,,29
14:35:20,451.7531,Fox,44,28,4,2,9,3,2,8,44,40,38,28,20,11,10,18,21,23,1,12,3,0,,28
14:35:22,456.9155,Fox,46,30,6,2,9,3,2,8,46,40,38,28,20,11,10,20,21,25,1,12,3,0,,30
14:35:24,464.4265,Fox,46,29,6,2,9,3,2,7,46,40,38,28,20,11,9,20,21,25,1,12,4,0,,29
14:35:26,469.5093,Fox,46,29,6,2,8,4,2,7,46,40,38,29,20,11,9,20,21,25,1,12,4,0,,29
14:35:27,472.6546,Fox,46,29,4,4,8,4,2,7,46,42,38,29,20,11,9,20,21,25,1,12,4,0,,29
