System Time:,Simulation Time:,VegetableType:,CurrentNumber:,
17:22:40,10.01714,Grain,20,
17:22:43,20.0958,Grain,20,
17:22:46,30.16201,Grain,21,
17:22:50,40.20046,Grain,22,
17:22:53,50.21395,Grain,23,
17:22:56,60.23631,Grain,24,
17:23:0,70.27943,Grain,24,
17:23:3,80.31711,Grain,25,
17:23:6,90.36982,Grain,26,
17:23:10,100.4442,Grain,27,
17:23:13,110.4857,Grain,28,
17:23:16,120.522,Grain,29,
17:23:20,130.6042,Grain,30,
17:23:23,140.7147,Grain,31,
17:23:26,150.767,Grain,31,
17:23:30,160.8046,Grain,32,
17:23:33,170.8163,Grain,33,
17:23:36,180.9052,Grain,34,
17:23:40,190.9865,Grain,35,
17:23:43,201.031,Grain,36,
17:23:47,211.1103,Grain,37,
17:23:50,221.1754,Grain,38,
17:23:53,231.2212,Grain,38,
17:23:57,241.3054,Grain,39,
17:24:0,251.3099,Grain,40,
17:24:3,261.3873,Grain,39,
17:24:7,271.4521,Grain,40,
17:24:10,281.4684,Grain,40,
17:24:13,291.527,Grain,41,
17:24:17,301.6125,Grain,42,
17:24:20,311.685,Grain,43,
17:24:23,321.7276,Grain,44,
17:24:27,331.7305,Grain,45,
17:24:30,341.7372,Grain,45,
17:24:33,351.7844,Grain,46,
17:24:37,361.8445,Grain,47,
17:24:40,371.8836,Grain,48,
17:24:43,381.886,Grain,49,
17:24:47,391.8973,Grain,49,
17:24:50,401.9149,Grain,50,
17:24:54,411.9934,Grain,51,
17:24:57,422.0021,Grain,52,
17:25:0,432.0843,Grain,52,
17:25:4,442.1651,Grain,52,
17:25:7,452.1755,Grain,52,
17:25:10,462.1811,Grain,53,
17:25:14,472.2022,Grain,54,
17:25:17,482.222,Grain,55,
17:25:20,492.2282,Grain,56,
17:25:24,502.2903,Grain,57,
17:25:27,512.2934,Grain,58,
17:25:30,522.3403,Grain,59,
17:25:34,532.3718,Grain,60,
17:25:37,542.4311,Grain,61,
17:25:40,552.4785,Grain,62,
17:25:44,562.5535,Grain,63,
17:25:47,572.5958,Grain,63,
17:25:50,582.6079,Grain,64,
17:25:54,592.6244,Grain,65,
17:25:57,602.8338,Grain,65,
17:26:1,612.9026,Grain,65,
17:26:4,622.95,Grain,66,
17:26:7,633.0157,Grain,67,
17:26:11,643.0615,Grain,68,
17:26:14,653.0908,Grain,68,
17:26:17,663.1352,Grain,69,
17:26:21,673.1963,Grain,70,
17:26:24,683.2119,Grain,70,
