System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath,,,
17:22:37,1.750392,Chicken,24,24,24,0,0,0,0,0,24,0,0,0,0,0,9,15,9,15,0,0,0,0,,,24
17:22:44,23.52191,Chicken,24,23,23,0,0,0,0,0,24,0,0,0,0,0,8,15,9,15,0,0,0,1,,,23
17:22:47,31.45342,Chicken,24,22,22,0,0,0,0,0,24,0,0,0,0,0,8,14,9,15,0,0,0,2,,,22
17:22:49,39.0545,Chicken,24,22,0,22,0,0,0,0,24,22,0,0,0,0,8,14,9,15,0,0,0,2,,,22
17:22:54,52.34479,Chicken,24,21,0,21,0,0,0,0,24,22,0,0,0,0,8,13,9,15,0,0,0,3,,,21
17:23:02,76.55591,Chicken,24,21,0,0,21,0,0,0,24,22,21,0,0,0,8,13,9,15,0,0,0,3,,,21
17:23:12,108.2588,Chicken,27,24,3,0,21,0,0,0,27,22,21,0,0,0,9,15,10,17,0,0,0,3,,,24
17:23:13,111.7664,Chicken,30,27,6,0,21,0,0,0,30,22,21,0,0,0,11,16,12,18,0,0,0,3,,,27
17:23:14,114.051,Chicken,30,27,6,0,0,21,0,0,30,22,21,21,0,0,11,16,12,18,0,0,0,3,,,27
17:23:15,117.3151,Chicken,30,26,6,0,0,20,0,0,30,22,21,21,0,0,11,15,12,18,0,0,0,4,,,26
17:23:17,123.8936,Chicken,33,29,9,0,0,20,0,0,33,22,21,21,0,0,11,18,12,21,0,0,0,4,,,29
17:23:20,130.8577,Chicken,33,28,8,0,0,20,0,0,33,22,21,21,0,0,11,17,12,21,0,0,0,5,,,28
17:23:22,138.2857,Chicken,33,27,8,0,0,19,0,0,33,22,21,21,0,0,11,16,12,21,0,0,0,6,,,27
17:23:24,144.0583,Chicken,33,26,7,0,0,19,0,0,33,22,21,21,0,0,11,15,12,21,0,0,0,7,,,26
17:23:25,145.7809,Chicken,33,26,5,2,0,19,0,0,33,24,21,21,0,0,11,15,12,21,0,0,0,7,,,26
17:23:26,149.296,Chicken,33,26,2,5,0,19,0,0,33,27,21,21,0,0,11,15,12,21,0,0,0,7,,,26
17:23:30,161.4637,Chicken,33,26,0,7,0,19,0,0,33,29,21,21,0,0,11,15,12,21,0,0,0,7,,,26
17:23:37,183.169,Chicken,36,29,3,7,0,19,0,0,36,29,21,21,0,0,12,17,13,23,0,0,0,7,,,29
17:23:37,183.2542,Chicken,36,29,3,5,2,19,0,0,36,29,23,21,0,0,12,17,13,23,0,0,0,7,,,29
17:23:38,186.7494,Chicken,36,29,3,2,5,19,0,0,36,29,26,21,0,0,12,17,13,23,0,0,0,7,,,29
17:23:39,189.11,Chicken,36,29,3,2,5,0,19,0,36,29,26,21,19,0,12,17,13,23,0,0,0,7,,,29
17:23:42,196.3905,Chicken,36,28,3,2,5,0,18,0,36,29,26,21,19,0,11,17,13,23,0,0,0,8,,,28
17:23:42,198.9107,Chicken,36,28,3,0,7,0,18,0,36,29,28,21,19,0,11,17,13,23,0,0,0,8,,,28
17:23:46,210.5897,Chicken,36,27,3,0,7,0,17,0,36,29,28,21,19,0,10,17,13,23,0,0,0,9,,,27
17:23:47,212.7841,Chicken,36,26,3,0,7,0,16,0,36,29,28,21,19,0,9,17,13,23,0,0,0,10,,,26
17:23:49,218.7547,Chicken,39,28,6,0,6,0,16,0,39,29,28,21,19,0,11,17,16,23,1,0,0,10,,,28
17:23:49,219.6505,Chicken,42,30,9,0,5,0,16,0,42,29,28,21,19,0,13,17,19,23,2,0,0,10,,,30
17:23:50,220.8716,Chicken,42,30,6,3,3,2,16,0,42,32,28,23,19,0,13,17,19,23,2,0,0,10,,,30
17:23:50,222.5284,Chicken,42,29,6,3,3,2,15,0,42,32,28,23,19,0,13,16,19,23,2,0,0,11,,,29
17:23:51,224.2827,Chicken,42,29,6,3,2,3,15,0,42,32,28,24,19,0,13,16,19,23,2,0,0,11,,,29
17:23:52,226.3016,Chicken,42,28,6,3,2,3,14,0,42,32,28,24,19,0,12,16,19,23,2,0,0,12,,,28
17:23:53,229.7692,Chicken,45,31,9,3,2,3,14,0,45,32,28,24,19,0,15,16,22,23,2,0,0,12,,,31
17:23:55,235.0459,Chicken,48,34,12,3,2,3,14,0,48,32,28,24,19,0,15,19,22,26,2,0,0,12,,,34
17:23:55,235.4815,Chicken,48,33,12,3,2,3,13,0,48,32,28,24,19,0,15,18,22,26,2,0,0,13,,,33
17:23:55,236.4734,Chicken,48,33,12,3,0,5,13,0,48,32,28,26,19,0,15,18,22,26,2,0,0,13,,,33
17:23:56,240.2037,Chicken,48,31,12,3,0,5,11,0,48,32,28,26,19,0,13,18,22,26,2,2,0,13,,,31
17:23:56,240.3761,Chicken,48,30,12,2,0,5,11,0,48,32,28,26,19,0,13,17,22,26,2,2,0,14,,,30
17:23:59,248.0707,Chicken,48,29,12,2,0,5,10,0,48,32,28,26,19,0,13,16,22,26,2,2,0,15,,,29
17:24:02,256.2862,Chicken,48,29,9,5,0,5,10,0,48,35,28,26,19,0,13,16,22,26,2,2,0,15,,,29
17:24:02,257.1404,Chicken,48,29,6,8,0,5,10,0,48,38,28,26,19,0,13,16,22,26,2,2,0,15,,,29
17:24:02,258.2783,Chicken,48,29,6,6,2,5,10,0,48,38,30,26,19,0,13,16,22,26,2,2,0,15,,,29
17:24:05,267.3334,Chicken,48,29,3,9,2,5,10,0,48,41,30,26,19,0,13,16,22,26,2,2,0,15,,,29
17:24:06,269.4863,Chicken,51,32,6,9,2,5,10,0,51,41,30,26,19,0,16,16,25,26,2,2,0,15,,,32
17:24:06,269.9594,Chicken,51,31,6,8,2,5,10,0,51,41,30,26,19,0,15,16,25,26,2,2,0,16,,,31
17:24:07,272.5629,Chicken,51,31,3,11,2,5,10,0,51,44,30,26,19,0,15,16,25,26,2,2,0,16,,,31
17:24:08,276.0259,Chicken,51,30,3,11,2,4,10,0,51,44,30,26,19,0,15,15,25,26,2,3,0,16,,,30
17:24:10,282.8615,Chicken,51,30,3,11,2,4,0,10,51,44,30,26,19,10,15,15,25,26,2,3,0,16,,,30
17:24:12,288.1299,Chicken,51,28,3,11,2,2,0,10,51,44,30,26,19,10,15,13,25,26,2,5,0,16,,,28
17:24:14,293.732,Chicken,51,28,3,8,5,2,0,10,51,44,33,26,19,10,15,13,25,26,2,5,0,16,,,28
17:24:14,294.6913,Chicken,51,28,3,5,8,2,0,10,51,44,36,26,19,10,15,13,25,26,2,5,0,16,,,28
17:24:15,295.8198,Chicken,51,28,3,5,6,2,2,10,51,44,36,28,21,10,15,13,25,26,2,5,0,16,,,28
17:24:17,303.0061,Chicken,51,25,3,5,6,2,2,7,51,44,36,28,21,10,15,10,25,26,2,5,3,16,,,25
17:24:18,304.878,Chicken,51,25,3,3,8,2,2,7,51,44,38,28,21,10,15,10,25,26,2,5,3,16,,,25
17:24:19,306.9899,Chicken,51,25,0,6,8,2,2,7,51,47,38,28,21,10,15,10,25,26,2,5,3,16,,,25
17:24:20,310.0699,Chicken,51,25,0,3,11,2,2,7,51,47,41,28,21,10,15,10,25,26,2,5,3,16,,,25
17:24:21,313.0493,Chicken,51,23,0,3,11,2,2,5,51,47,41,28,21,10,14,9,25,26,2,5,5,16,,,23
17:24:22,316.0868,Chicken,51,22,0,3,11,2,2,4,51,47,41,28,21,10,14,8,25,26,2,5,5,17,,,22
17:24:24,323.0855,Chicken,51,21,0,3,11,2,2,3,51,47,41,28,21,10,14,7,25,26,2,5,6,17,,,21
17:24:27,331.2099,Chicken,51,21,0,3,8,5,2,3,51,47,41,31,21,10,14,7,25,26,2,5,6,17,,,21
17:24:27,332.2128,Chicken,51,21,0,3,5,8,2,3,51,47,41,34,21,10,14,7,25,26,2,5,6,17,,,21
17:24:27,333.1514,Chicken,51,20,0,3,5,8,2,2,51,47,41,34,21,10,14,6,25,26,2,5,7,17,,,20
17:24:29,338.3627,Chicken,54,23,3,3,5,8,2,2,54,47,41,34,21,10,16,7,27,27,2,5,7,17,,,23
17:24:30,340.5842,Chicken,57,26,6,3,5,8,2,2,57,47,41,34,21,10,17,9,28,29,2,5,7,17,,,26
17:24:30,342.3302,Chicken,57,26,6,3,3,10,2,2,57,47,41,36,21,10,17,9,28,29,2,5,7,17,,,26
17:24:31,344.4924,Chicken,57,26,6,0,6,10,2,2,57,47,44,36,21,10,17,9,28,29,2,5,7,17,,,26
17:24:32,347.3897,Chicken,57,25,6,0,6,9,2,2,57,47,44,36,21,10,17,8,28,29,2,6,7,17,,,25
17:24:32,347.5793,Chicken,57,25,6,0,3,12,2,2,57,47,44,39,21,10,17,8,28,29,2,6,7,17,,,25
