System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
17:22:37,1.750392,Cow,24,24,24,0,0,0,0,0,24,0,0,0,0,0,8,16,8,16,0,0,0,0,
17:23:4,84.47395,Cow,24,23,23,0,0,0,0,0,24,0,0,0,0,0,7,16,8,16,0,0,0,1,
17:23:17,121.5898,Cow,24,23,0,23,0,0,0,0,24,23,0,0,0,0,7,16,8,16,0,0,0,1,
17:23:35,177.5847,Cow,24,23,0,0,23,0,0,0,24,23,23,0,0,0,7,16,8,16,0,0,0,1,
17:23:48,215.2081,Cow,25,24,1,0,23,0,0,0,25,23,23,0,0,0,7,17,8,17,0,0,0,1,
17:23:57,243.3125,Cow,26,25,2,0,23,0,0,0,26,23,23,0,0,0,8,17,9,17,0,0,0,1,
17:24:5,265.6596,Cow,26,25,2,0,0,23,0,0,26,23,23,23,0,0,8,17,9,17,0,0,0,1,
17:24:15,296.5246,Cow,27,26,3,0,0,23,0,0,27,23,23,23,0,0,9,17,10,17,0,0,0,1,
17:24:28,335.2174,Cow,27,26,2,1,0,23,0,0,27,24,23,23,0,0,9,17,10,17,0,0,0,1,
17:24:28,335.8124,Cow,28,27,3,1,0,23,0,0,28,24,23,23,0,0,10,17,11,17,0,0,0,1,
17:24:35,355.4616,Cow,28,26,3,1,0,22,0,0,28,24,23,23,0,0,9,17,11,17,0,1,0,1,
17:24:37,363.359,Cow,28,26,2,2,0,22,0,0,28,25,23,23,0,0,9,17,11,17,0,1,0,1,
17:24:47,391.2728,Cow,28,26,2,1,1,22,0,0,28,25,24,23,0,0,9,17,11,17,0,1,0,1,
17:24:47,392.4994,Cow,28,24,2,1,1,20,0,0,28,25,24,23,0,0,8,16,11,17,0,3,0,1,
17:24:50,400.7128,Cow,29,25,3,1,1,20,0,0,29,25,24,23,0,0,8,17,11,18,0,3,0,1,
17:24:50,401.5362,Cow,29,25,3,1,1,0,20,0,29,25,24,23,20,0,8,17,11,18,0,3,0,1,
17:24:54,414.739,Cow,30,26,4,1,1,0,20,0,30,25,24,23,20,0,9,17,12,18,0,3,0,1,
17:24:55,416.5749,Cow,30,26,3,2,1,0,20,0,30,26,24,23,20,0,9,17,12,18,0,3,0,1,
17:24:56,419.3439,Cow,30,26,3,1,2,0,20,0,30,26,25,23,20,0,9,17,12,18,0,3,0,1,
17:24:58,426.7946,Cow,30,25,3,1,1,0,20,0,30,26,25,23,20,0,9,16,12,18,0,4,0,1,
17:24:59,428.7517,Cow,31,26,4,1,1,0,20,0,31,26,25,23,20,0,10,16,13,18,0,4,0,1,
17:25:8,454.8661,Cow,31,25,4,1,0,0,20,0,31,26,25,23,20,0,9,16,13,18,1,4,0,1,
17:25:8,455.8481,Cow,31,25,3,2,0,0,20,0,31,27,25,23,20,0,9,16,13,18,1,4,0,1,
17:25:11,465.3183,Cow,31,24,3,2,0,0,19,0,31,27,25,23,20,0,8,16,13,18,1,4,0,2,
17:25:14,472.5616,Cow,31,24,3,1,1,0,19,0,31,27,26,23,20,0,8,16,13,18,1,4,0,2,
17:25:21,495.5522,Cow,32,25,4,1,1,0,19,0,32,27,26,23,20,0,8,17,13,19,1,4,0,2,
17:25:26,508.1053,Cow,32,24,4,1,0,0,19,0,32,27,26,23,20,0,7,17,13,19,2,4,0,2,
17:25:26,508.7747,Cow,33,25,5,1,0,0,19,0,33,27,26,23,20,0,8,17,14,19,2,4,0,2,
17:25:27,511.8147,Cow,33,25,5,0,1,0,19,0,33,27,27,23,20,0,8,17,14,19,2,4,0,2,
17:25:30,520.706,Cow,33,25,4,1,1,0,19,0,33,28,27,23,20,0,8,17,14,19,2,4,0,2,
17:25:30,521.8964,Cow,34,26,5,1,1,0,19,0,34,28,27,23,20,0,9,17,15,19,2,4,0,2,
17:25:34,534.798,Cow,34,26,4,2,1,0,19,0,34,29,27,23,20,0,9,17,15,19,2,4,0,2,
17:25:39,547.3672,Cow,34,25,4,2,0,0,19,0,34,29,27,23,20,0,8,17,15,19,3,4,0,2,
17:25:39,548.7813,Cow,34,25,3,3,0,0,19,0,34,30,27,23,20,0,8,17,15,19,3,4,0,2,
17:25:48,576.7264,Cow,34,25,3,2,1,0,19,0,34,30,28,23,20,0,8,17,15,19,3,4,0,2,
17:25:53,590.0594,Cow,35,26,4,2,1,0,19,0,35,30,28,23,20,0,9,17,16,19,3,4,0,2,
17:25:53,590.7546,Cow,35,26,4,1,2,0,19,0,35,30,29,23,20,0,9,17,16,19,3,4,0,2,
17:25:57,601.6261,Cow,35,26,4,1,2,0,0,19,35,30,29,23,20,19,9,17,16,19,3,4,0,2,
17:25:57,603.4473,Cow,36,27,5,1,2,0,0,19,36,30,29,23,20,19,10,17,17,19,3,4,0,2,
17:25:58,604.8323,Cow,36,27,5,0,3,0,0,19,36,30,30,23,20,19,10,17,17,19,3,4,0,2,
17:26:1,615.5735,Cow,36,27,4,1,3,0,0,19,36,31,30,23,20,19,10,17,17,19,3,4,0,2,
17:26:4,621.6903,Cow,36,25,4,1,3,0,0,17,36,31,30,23,20,19,10,15,17,19,3,4,2,2,
17:26:6,628.7746,Cow,36,25,3,2,3,0,0,17,36,32,30,23,20,19,10,15,17,19,3,4,2,2,
17:26:10,640.4643,Cow,36,24,3,2,2,0,0,17,36,32,30,23,20,19,9,15,17,19,4,4,2,2,
