System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
17:22:37,1.750392,Dog,18,18,18,0,0,0,0,0,18,0,0,0,0,0,9,9,9,9,0,0,0,0,
17:23:9,99.02711,Dog,18,18,0,18,0,0,0,0,18,18,0,0,0,0,9,9,9,9,0,0,0,0,
17:23:21,133.1909,Dog,18,17,0,17,0,0,0,0,18,18,0,0,0,0,9,8,9,9,0,0,0,1,
17:23:24,144.5819,Dog,18,17,0,0,17,0,0,0,18,18,17,0,0,0,9,8,9,9,0,0,0,1,
17:23:34,173.1395,Dog,19,18,1,0,17,0,0,0,19,18,17,0,0,0,10,8,10,9,0,0,0,1,
17:23:37,181.4259,Dog,19,17,1,0,16,0,0,0,19,18,17,0,0,0,9,8,10,9,0,0,0,2,
17:23:39,189.11,Dog,20,18,2,0,16,0,0,0,20,18,17,0,0,0,10,8,11,9,0,0,0,2,
17:23:48,216.0612,Dog,20,18,2,0,0,16,0,0,20,18,17,16,0,0,10,8,11,9,0,0,0,2,
17:23:57,241.8732,Dog,21,19,3,0,0,16,0,0,21,18,17,16,0,0,11,8,12,9,0,0,0,2,
17:23:59,248.6844,Dog,22,20,4,0,0,16,0,0,22,18,17,16,0,0,11,9,12,10,0,0,0,2,
17:24:6,270.7019,Dog,22,20,3,1,0,16,0,0,22,19,17,16,0,0,11,9,12,10,0,0,0,2,
17:24:12,285.9776,Dog,23,21,4,1,0,16,0,0,23,19,17,16,0,0,11,10,12,11,0,0,0,2,
17:24:12,286.6132,Dog,23,21,3,2,0,16,0,0,23,20,17,16,0,0,11,10,12,11,0,0,0,2,
17:24:22,316.1744,Dog,23,21,3,1,1,16,0,0,23,20,18,16,0,0,11,10,12,11,0,0,0,2,
17:24:22,317.8802,Dog,23,20,3,1,1,15,0,0,23,20,18,16,0,0,10,10,12,11,0,1,0,2,
17:24:25,326.6524,Dog,23,20,3,1,1,0,15,0,23,20,18,16,15,0,10,10,12,11,0,1,0,2,
17:24:25,327.4816,Dog,24,21,4,1,1,0,15,0,24,20,18,16,15,0,10,11,12,12,0,1,0,2,
17:24:27,332.1237,Dog,24,21,4,0,2,0,15,0,24,20,19,16,15,0,10,11,12,12,0,1,0,2,
17:24:29,339.4759,Dog,24,21,3,1,2,0,15,0,24,21,19,16,15,0,10,11,12,12,0,1,0,2,
17:24:31,344.0083,Dog,25,21,4,1,2,0,14,0,25,21,19,16,15,0,9,12,12,13,0,2,0,2,
17:24:32,346.1919,Dog,25,21,3,2,2,0,14,0,25,22,19,16,15,0,9,12,12,13,0,2,0,2,
17:24:32,347.4877,Dog,26,21,4,2,1,0,14,0,26,22,19,16,15,0,8,13,12,14,0,3,0,2,
17:24:37,363.029,Dog,27,22,5,2,1,0,14,0,27,22,19,16,15,0,8,14,12,15,0,3,0,2,
17:24:42,377.697,Dog,28,22,6,2,1,0,13,0,28,22,19,16,15,0,8,14,13,15,0,4,0,2,
17:24:44,383.5123,Dog,28,22,5,3,1,0,13,0,28,23,19,16,15,0,8,14,13,15,0,4,0,2,
17:24:44,384.9349,Dog,28,22,5,2,2,0,13,0,28,23,20,16,15,0,8,14,13,15,0,4,0,2,
