System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
17:22:37,1.750392,Pig,24,24,24,0,0,0,0,0,24,0,0,0,0,0,6,18,6,18,0,0,0,0,
17:22:48,34.69352,Pig,24,23,23,0,0,0,0,0,24,0,0,0,0,0,6,17,6,18,0,0,0,1,
17:22:54,54.42944,Pig,24,22,22,0,0,0,0,0,24,0,0,0,0,0,5,17,6,18,0,0,0,2,
17:23:10,102.3654,Pig,24,21,21,0,0,0,0,0,24,0,0,0,0,0,5,16,6,18,0,0,0,3,
17:23:12,106.5966,Pig,24,21,0,21,0,0,0,0,24,21,0,0,0,0,5,16,6,18,0,0,0,3,
17:23:22,137.6602,Pig,24,20,0,20,0,0,0,0,24,21,0,0,0,0,5,15,6,18,0,0,0,4,
17:23:28,155.5915,Pig,24,20,0,0,20,0,0,0,24,21,20,0,0,0,5,15,6,18,0,0,0,4,
17:23:41,193.2909,Pig,24,19,0,0,19,0,0,0,24,21,20,0,0,0,5,14,6,18,0,0,0,5,
17:23:53,229.8858,Pig,24,18,0,0,18,0,0,0,24,21,20,0,0,0,5,13,6,18,0,0,0,6,
17:23:54,232.589,Pig,24,18,0,0,0,18,0,0,24,21,20,18,0,0,5,13,6,18,0,0,0,6,
17:23:59,247.2629,Pig,24,17,0,0,0,17,0,0,24,21,20,18,0,0,5,12,6,18,0,0,0,7,
17:23:59,247.7827,Pig,27,20,3,0,0,17,0,0,27,21,20,18,0,0,7,13,8,19,0,0,0,7,
17:24:6,269.6141,Pig,27,19,3,0,0,16,0,0,27,21,20,18,0,0,6,13,8,19,0,1,0,7,
17:24:31,345.2373,Pig,27,18,2,0,0,16,0,0,27,21,20,18,0,0,6,12,8,19,0,1,0,8,
17:24:33,351.5928,Pig,27,18,2,0,0,0,16,0,27,21,20,18,16,0,6,12,8,19,0,1,0,8,
17:24:34,352.8084,Pig,27,18,0,2,0,0,16,0,27,23,20,18,16,0,6,12,8,19,0,1,0,8,
17:24:37,363.7708,Pig,27,17,0,2,0,0,15,0,27,23,20,18,16,0,6,11,8,19,0,1,0,9,
17:24:42,378.6343,Pig,27,15,0,2,0,0,13,0,27,23,20,18,16,0,6,9,8,19,0,3,0,9,
17:24:50,401.7922,Pig,27,15,0,0,2,0,13,0,27,23,22,18,16,0,6,9,8,19,0,3,0,9,
17:24:51,403.8444,Pig,27,14,0,0,2,0,12,0,27,23,22,18,16,0,6,8,8,19,0,3,0,10,
17:25:5,446.6376,Pig,27,13,0,0,1,0,12,0,27,23,22,18,16,0,5,8,8,19,1,3,0,10,
17:25:10,460.9094,Pig,27,12,0,0,1,0,11,0,27,23,22,18,16,0,5,7,8,19,1,3,0,11,
17:25:16,478.7682,Pig,27,12,0,0,0,1,11,0,27,23,22,19,16,0,5,7,8,19,1,3,0,11,
17:25:32,526.576,Pig,27,12,0,0,0,1,0,11,27,23,22,19,16,11,5,7,8,19,1,3,0,11,
17:25:35,536.6396,Pig,27,11,0,0,0,1,0,10,27,23,22,19,16,11,5,6,8,19,1,3,1,11,
17:25:35,537.7298,Pig,27,10,0,0,0,1,0,9,27,23,22,19,16,11,5,5,8,19,1,3,1,12,
17:25:37,543.8038,Pig,30,13,3,0,0,1,0,9,30,23,22,19,16,11,5,8,8,22,1,3,1,12,
17:25:50,582.522,Pig,33,16,6,0,0,1,0,9,33,23,22,19,16,11,8,8,11,22,1,3,1,12,
17:25:52,586.9818,Pig,33,12,6,0,0,1,0,5,33,23,22,19,16,11,6,6,11,22,1,3,5,12,
17:25:55,597.0234,Pig,33,11,6,0,0,1,0,4,33,23,22,19,16,11,5,6,11,22,1,3,6,12,
17:25:55,597.7637,Pig,33,11,6,0,0,0,1,4,33,23,22,19,17,11,5,6,11,22,1,3,6,12,
