System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
19:3:59,3.340582,Lion,12,12,12,0,0,0,0,0,12,0,0,0,0,0,8,4,8,4,0,0,0,0,
19:4:34,108.1583,Lion,12,12,0,12,0,0,0,0,12,12,0,0,0,0,8,4,8,4,0,0,0,0,
19:4:50,157.1806,Lion,12,12,0,0,12,0,0,0,12,12,12,0,0,0,8,4,8,4,0,0,0,0,
19:5:1,189.6305,Lion,13,13,1,0,12,0,0,0,13,12,12,0,0,0,8,5,8,5,0,0,0,0,
19:5:16,234.1448,Lion,13,13,1,0,0,12,0,0,13,12,12,12,0,0,8,5,8,5,0,0,0,0,
19:5:27,269.2021,Lion,14,14,2,0,0,12,0,0,14,12,12,12,0,0,9,5,9,5,0,0,0,0,
19:5:36,294.6554,Lion,14,14,1,1,0,12,0,0,14,13,12,12,0,0,9,5,9,5,0,0,0,0,
19:5:37,299.6256,Lion,15,15,2,1,0,12,0,0,15,13,12,12,0,0,10,5,10,5,0,0,0,0,
19:5:52,343.6519,Lion,15,15,2,0,1,12,0,0,15,13,13,12,0,0,10,5,10,5,0,0,0,0,
19:5:55,353.172,Lion,15,15,2,0,1,0,12,0,15,13,13,12,12,0,10,5,10,5,0,0,0,0,
19:6:2,374.1742,Lion,15,15,1,1,1,0,12,0,15,14,13,12,12,0,10,5,10,5,0,0,0,0,
19:6:2,374.7245,Lion,16,16,2,1,1,0,12,0,16,14,13,12,12,0,10,6,10,6,0,0,0,0,
19:6:5,381.1511,Lion,16,15,2,1,1,0,11,0,16,14,13,12,12,0,9,6,10,6,1,0,0,0,
19:6:12,404.6404,Lion,16,15,1,2,1,0,11,0,16,15,13,12,12,0,9,6,10,6,1,0,0,0,
19:6:18,420.6541,Lion,16,15,1,2,0,1,11,0,16,15,13,13,12,0,9,6,10,6,1,0,0,0,
19:6:19,423.149,Lion,16,15,1,1,1,1,11,0,16,15,14,13,12,0,9,6,10,6,1,0,0,0,
19:6:20,426.5762,Lion,16,14,1,1,1,1,10,0,16,15,14,13,12,0,9,5,10,6,2,0,0,0,
19:6:29,453.7218,Lion,16,14,1,0,2,1,10,0,16,15,15,13,12,0,9,5,10,6,2,0,0,0,
19:6:29,454.0065,Lion,17,15,2,0,2,1,10,0,17,15,15,13,12,0,10,5,11,6,2,0,0,0,
19:6:37,479.8004,Lion,17,14,1,1,1,1,10,0,17,16,15,13,12,0,9,5,11,6,2,1,0,0,
19:6:54,528.1915,Lion,17,14,1,1,1,1,0,10,17,16,15,13,12,10,9,5,11,6,2,1,0,0,
19:6:54,528.7897,Lion,17,14,1,0,2,1,0,10,17,16,16,13,12,10,9,5,11,6,2,1,0,0,
19:6:54,530.6661,Lion,17,14,1,0,1,2,0,10,17,16,16,14,12,10,9,5,11,6,2,1,0,0,
19:6:56,535.5869,Lion,18,15,2,0,1,2,0,10,18,16,16,14,12,10,9,6,11,7,2,1,0,0,
19:6:57,538.2188,Lion,18,14,2,0,1,2,0,9,18,16,16,14,12,10,8,6,11,7,2,1,1,0,
19:6:57,539.6827,Lion,18,14,2,0,1,1,1,9,18,16,16,14,13,10,8,6,11,7,2,1,1,0,
19:7:0,548.2651,Lion,18,13,2,0,1,1,1,8,18,16,16,14,13,10,7,6,11,7,2,1,2,0,
19:7:4,558.3274,Lion,18,12,2,0,1,1,1,7,18,16,16,14,13,10,6,6,11,7,2,1,3,0,
19:7:4,558.9994,Lion,18,12,1,1,1,1,1,7,18,17,16,14,13,10,6,6,11,7,2,1,3,0,
19:7:7,568.335,Lion,18,11,1,1,1,1,1,6,18,17,16,14,13,10,5,6,11,7,2,1,4,0,
19:7:14,588.4626,Lion,18,9,1,1,1,1,1,4,18,17,16,14,13,10,4,5,11,7,2,1,6,0,
19:7:17,598.4821,Lion,18,8,1,1,1,1,1,3,18,17,16,14,13,10,4,4,11,7,2,1,7,0,
19:7:20,605.7524,Lion,18,8,1,1,0,2,1,3,18,17,16,15,13,10,4,4,11,7,2,1,7,0,
19:7:20,608.0471,Lion,18,8,1,0,1,2,1,3,18,17,17,15,13,10,4,4,11,7,2,1,7,0,
19:7:20,608.5704,Lion,18,6,1,0,1,2,1,1,18,17,17,15,13,10,3,3,11,7,2,1,9,0,
19:7:31,640.6309,Lion,18,6,0,1,1,2,1,1,18,18,17,15,13,10,3,3,11,7,2,1,9,0,
19:7:34,649.6168,Lion,18,6,0,1,1,1,2,1,18,18,17,15,14,10,3,3,11,7,2,1,9,0,
19:7:41,668.7344,Lion,18,5,0,1,1,1,2,0,18,18,17,15,14,10,2,3,11,7,2,1,10,0,
19:7:46,685.0137,Lion,18,5,0,1,0,2,2,0,18,18,17,16,14,10,2,3,11,7,2,1,10,0,
19:7:47,689.5925,Lion,18,5,0,0,1,2,2,0,18,18,18,16,14,10,2,3,11,7,2,1,10,0,
19:7:56,714.6688,Lion,18,5,0,0,1,2,1,1,18,18,18,16,14,11,2,3,11,7,2,1,10,0,
19:7:59,724.7211,Lion,18,5,0,0,1,1,2,1,18,18,18,16,15,11,2,3,11,7,2,1,10,0,
19:8:9,754.8426,Lion,18,4,0,0,1,1,2,0,18,18,18,16,15,11,2,2,11,7,2,1,11,0,
19:8:13,766.5759,Lion,18,4,0,0,0,2,2,0,18,18,18,17,15,11,2,2,11,7,2,1,11,0,
19:8:18,782.5145,Lion,18,3,0,0,0,1,2,0,18,18,18,17,15,11,2,1,11,7,2,2,11,0,
19:8:26,803.97,Lion,18,3,0,0,0,0,3,0,18,18,18,17,16,11,2,1,11,7,2,2,11,0,
19:8:32,824.6207,Lion,18,3,0,0,0,0,2,1,18,18,18,17,16,12,2,1,11,7,2,2,11,0,
19:8:58,899.7241,Lion,18,3,0,0,0,0,1,2,18,18,18,17,16,13,2,1,11,7,2,2,11,0,
19:9:3,914.848,Lion,18,2,0,0,0,0,1,1,18,18,18,17,16,13,1,1,11,7,2,2,12,0,
19:9:11,939.8207,Lion,18,1,0,0,0,0,1,0,18,18,18,17,16,13,1,0,11,7,2,2,13,0,
19:9:24,978.9966,Lion,18,1,0,0,0,0,0,1,18,18,18,17,16,14,1,0,11,7,2,2,13,0,
19:10:7,1109.313,Lion,18,0,0,0,0,0,0,0,18,18,18,17,16,14,0,0,11,7,2,2,14,0,
