System Time:,Simulation Time:,VegetableType:,CurrentNumber:,
2:34:52,10.06606,Grain,20,
2:34:55,20.10592,Grain,21,
2:34:59,30.32371,Grain,22,
2:35:2,40.33027,Grain,23,
2:35:5,50.39757,Grain,24,
2:35:9,60.40857,Grain,25,
2:35:12,70.49479,Grain,26,
2:35:15,80.53155,Grain,27,
2:35:19,90.61681,Grain,27,
2:35:22,100.6438,Grain,28,
2:35:26,110.6743,Grain,28,
2:35:29,120.7825,Grain,29,
2:35:32,130.863,Grain,30,
2:35:36,140.8892,Grain,31,
2:35:39,150.9713,Grain,32,
2:35:42,161.0041,Grain,33,
2:35:46,171.0096,Grain,34,
2:35:49,181.1085,Grain,35,
2:35:52,191.2076,Grain,36,
2:35:56,201.2277,Grain,36,
2:35:59,211.2522,Grain,37,
2:36:2,221.3339,Grain,38,
2:36:6,231.3465,Grain,38,
2:36:9,241.3888,Grain,39,
2:36:12,251.4428,Grain,40,
2:36:16,261.4889,Grain,41,
2:36:19,271.5521,Grain,42,
2:36:23,281.598,Grain,41,
2:36:26,291.6702,Grain,42,
2:36:29,301.6906,Grain,43,
2:36:33,311.7619,Grain,43,
2:36:36,321.7832,Grain,44,
2:36:39,331.8229,Grain,44,
2:36:43,341.868,Grain,45,
2:36:46,351.8975,Grain,45,
2:36:49,362.0161,Grain,46,
2:36:53,372.1302,Grain,47,
2:36:56,382.3936,Grain,47,
2:37:0,392.4618,Grain,48,
2:37:3,402.5497,Grain,49,
2:37:7,412.6449,Grain,50,
2:37:11,422.7707,Grain,51,
2:37:14,432.9539,Grain,52,
2:37:18,443.081,Grain,52,
2:37:22,453.2262,Grain,52,
2:37:25,463.3519,Grain,51,
2:37:28,473.4335,Grain,52,
2:37:32,483.4392,Grain,50,
2:37:35,493.4976,Grain,50,
2:37:38,503.5739,Grain,51,
2:37:42,513.6402,Grain,51,
2:37:45,523.6448,Grain,52,
2:37:48,533.7866,Grain,53,
2:37:52,543.8087,Grain,53,
2:37:55,553.9291,Grain,54,
2:37:59,564.0386,Grain,55,
2:38:2,574.0992,Grain,56,
2:38:5,584.1202,Grain,57,
2:38:9,594.1841,Grain,57,
2:38:12,604.2865,Grain,57,
2:38:15,614.4438,Grain,55,
2:38:19,624.5623,Grain,56,
2:38:22,634.6257,Grain,55,
2:38:25,644.7012,Grain,56,
2:38:29,654.7944,Grain,55,
2:38:32,664.8879,Grain,56,
2:38:35,674.9283,Grain,55,
2:38:39,684.9694,Grain,55,
2:38:42,694.9872,Grain,56,
2:38:46,705.0671,Grain,55,
2:38:49,715.1844,Grain,56,
2:38:52,725.2359,Grain,57,
2:38:56,735.2706,Grain,58,
2:38:59,745.3506,Grain,59,
2:39:2,755.4325,Grain,58,
2:39:6,765.4343,Grain,58,
2:39:9,775.487,Grain,58,
2:39:12,785.5366,Grain,58,
2:39:16,795.59,Grain,58,
2:39:19,805.6612,Grain,59,
2:39:22,815.7493,Grain,60,
2:39:26,825.8448,Grain,59,
2:39:29,835.8631,Grain,58,
2:39:32,845.8759,Grain,57,
2:39:36,855.9251,Grain,58,
2:39:39,865.9865,Grain,57,
2:39:43,876.1415,Grain,57,
2:39:46,886.2425,Grain,57,
2:39:49,896.3841,Grain,57,
2:39:53,906.48,Grain,58,
2:39:56,916.5374,Grain,58,
2:39:59,926.6484,Grain,56,
2:40:3,936.7101,Grain,57,
2:40:6,946.7366,Grain,57,
2:40:9,956.8702,Grain,55,
2:40:13,966.9392,Grain,54,
2:40:16,977.0283,Grain,55,
2:40:20,987.0946,Grain,53,
2:40:23,997.2463,Grain,54,
2:40:26,1007.263,Grain,55,
2:40:30,1017.379,Grain,55,
2:40:33,1027.409,Grain,53,
2:40:36,1037.523,Grain,54,
2:40:40,1047.552,Grain,54,
2:40:43,1057.575,Grain,55,
2:40:46,1067.693,Grain,56,
2:40:50,1077.788,Grain,57,
2:40:53,1087.929,Grain,56,
2:40:57,1098.02,Grain,57,
2:41:0,1108.116,Grain,56,
2:41:3,1118.294,Grain,57,
2:41:7,1128.307,Grain,58,
2:41:10,1138.401,Grain,58,
2:41:13,1148.406,Grain,59,
2:41:17,1158.523,Grain,60,
2:41:20,1168.598,Grain,60,
2:41:23,1178.756,Grain,60,
2:41:27,1188.802,Grain,60,
2:41:30,1198.884,Grain,61,
2:41:34,1208.94,Grain,61,
2:41:37,1218.96,Grain,62,
2:41:40,1228.965,Grain,62,
2:41:44,1239.011,Grain,62,
2:41:47,1249.124,Grain,63,
2:41:50,1259.176,Grain,63,
2:41:54,1269.377,Grain,61,
2:41:58,1279.641,Grain,61,
2:42:1,1289.694,Grain,62,
2:42:5,1299.777,Grain,63,
2:42:8,1309.808,Grain,64,
2:42:12,1319.846,Grain,65,
