System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
2:34:49,2.072567,Chicken,24,24,24,0,0,0,0,0,24,0,0,0,0,0,12,12,12,12,0,0,0,0,
2:34:54,17.074,Chicken,24,23,23,0,0,0,0,0,24,0,0,0,0,0,11,12,12,12,0,0,0,1,
2:34:57,24.28831,Chicken,24,22,22,0,0,0,0,0,24,0,0,0,0,0,11,11,12,12,0,0,0,2,
2:34:59,29.67196,Chicken,24,21,21,0,0,0,0,0,24,0,0,0,0,0,10,11,12,12,0,0,0,3,
2:35:2,39.39846,Chicken,24,21,0,21,0,0,0,0,24,21,0,0,0,0,10,11,12,12,0,0,0,3,
2:35:3,43.11557,Chicken,24,20,0,20,0,0,0,0,24,21,0,0,0,0,10,10,12,12,0,0,0,4,
2:35:7,55.43302,Chicken,24,19,0,19,0,0,0,0,24,21,0,0,0,0,9,10,12,12,0,0,0,5,
2:35:11,66.38589,Chicken,24,18,0,18,0,0,0,0,24,21,0,0,0,0,8,10,12,12,0,0,0,6,
2:35:14,76.88407,Chicken,24,18,0,0,18,0,0,0,24,21,18,0,0,0,8,10,12,12,0,0,0,6,
2:35:27,114.5099,Chicken,24,18,0,0,0,18,0,0,24,21,18,18,0,0,8,10,12,12,0,0,0,6,
2:35:40,155.2882,Chicken,27,21,3,0,0,18,0,0,27,21,18,18,0,0,8,13,12,15,0,0,0,6,
2:35:52,189.4073,Chicken,27,21,3,0,0,0,18,0,27,21,18,18,18,0,8,13,12,15,0,0,0,6,
2:35:52,189.9546,Chicken,30,24,6,0,0,0,18,0,30,21,18,18,18,0,11,13,15,15,0,0,0,6,
2:35:53,192.86,Chicken,30,24,3,3,0,0,18,0,30,24,18,18,18,0,11,13,15,15,0,0,0,6,
2:35:57,204.6077,Chicken,33,27,6,3,0,0,18,0,33,24,18,18,18,0,12,15,16,17,0,0,0,6,
2:35:58,207.2728,Chicken,36,30,9,3,0,0,18,0,36,24,18,18,18,0,15,15,19,17,0,0,0,6,
2:36:4,225.9428,Chicken,36,29,8,3,0,0,18,0,36,24,18,18,18,0,14,15,19,17,0,0,0,7,
2:36:4,227.5586,Chicken,36,29,5,6,0,0,18,0,36,27,18,18,18,0,14,15,19,17,0,0,0,7,
2:36:5,230.2889,Chicken,36,29,5,3,3,0,18,0,36,27,21,18,18,0,14,15,19,17,0,0,0,7,
2:36:9,240.5483,Chicken,36,27,5,3,3,0,16,0,36,27,21,18,18,0,12,15,19,17,0,2,0,7,
2:36:9,242.2471,Chicken,36,27,2,6,3,0,16,0,36,30,21,18,18,0,12,15,19,17,0,2,0,7,
2:36:9,242.5636,Chicken,36,26,2,6,3,0,15,0,36,30,21,18,18,0,11,15,19,17,0,2,0,8,
2:36:10,244.9081,Chicken,36,26,0,8,3,0,15,0,36,32,21,18,18,0,11,15,19,17,0,2,0,8,
2:36:11,246.8383,Chicken,36,25,0,8,3,0,14,0,36,32,21,18,18,0,10,15,19,17,0,2,0,9,
2:36:17,265.002,Chicken,36,25,0,5,6,0,14,0,36,32,24,18,18,0,10,15,19,17,0,2,0,9,
2:36:18,267.8395,Chicken,36,25,0,5,3,3,14,0,36,32,24,21,18,0,10,15,19,17,0,2,0,9,
2:36:20,273.9256,Chicken,39,28,3,5,3,3,14,0,39,32,24,21,18,0,11,17,20,19,0,2,0,9,
2:36:22,279.814,Chicken,39,28,3,2,6,3,14,0,39,32,27,21,18,0,11,17,20,19,0,2,0,9,
2:36:23,282.435,Chicken,39,28,3,0,8,3,14,0,39,32,29,21,18,0,11,17,20,19,0,2,0,9,
2:36:23,283.1586,Chicken,39,28,3,0,8,3,0,14,39,32,29,21,18,14,11,17,20,19,0,2,0,9,
2:36:23,283.8861,Chicken,39,27,3,0,8,3,0,13,39,32,29,21,18,14,11,16,20,19,0,2,0,10,
2:36:25,287.5187,Chicken,39,26,3,0,8,3,0,12,39,32,29,21,18,14,10,16,20,19,0,2,0,11,
2:36:28,297.7299,Chicken,42,28,6,0,7,3,0,12,42,32,29,21,18,14,10,18,21,21,0,3,0,11,
2:36:30,302.5437,Chicken,42,28,6,0,5,5,0,12,42,32,29,23,18,14,10,18,21,21,0,3,0,11,
2:36:30,303.2407,Chicken,42,26,6,0,5,5,0,10,42,32,29,23,18,14,10,16,21,21,0,3,2,11,
2:36:30,305.2024,Chicken,42,25,6,0,5,5,0,9,42,32,29,23,18,14,10,15,21,21,0,3,2,12,
2:36:32,310.017,Chicken,42,24,6,0,5,5,0,8,42,32,29,23,18,14,10,14,21,21,0,3,2,13,
2:36:32,310.9683,Chicken,45,26,9,0,4,5,0,8,45,32,29,23,18,14,12,14,24,21,0,4,2,13,
2:36:33,311.7619,Chicken,45,26,6,3,4,5,0,8,45,35,29,23,18,14,12,14,24,21,0,4,2,13,
2:36:33,313.2592,Chicken,45,24,6,3,4,5,0,6,45,35,29,23,18,14,10,14,24,21,0,4,4,13,
2:36:34,317.1104,Chicken,45,24,6,3,2,7,0,6,45,35,29,25,18,14,10,14,24,21,0,4,4,13,
2:36:35,319.5332,Chicken,45,21,6,3,2,4,0,6,45,35,29,25,18,14,10,11,24,21,2,5,4,13,
2:36:35,319.7509,Chicken,45,21,6,3,0,6,0,6,45,35,29,27,18,14,10,11,24,21,2,5,4,13,
2:36:38,326.841,Chicken,45,20,6,3,0,6,0,5,45,35,29,27,18,14,10,10,24,21,2,5,4,14,
2:36:40,333.3183,Chicken,45,19,6,3,0,6,0,4,45,35,29,27,18,14,10,9,24,21,2,5,5,14,
2:36:40,335.3304,Chicken,45,19,3,6,0,6,0,4,45,38,29,27,18,14,10,9,24,21,2,5,5,14,
2:36:42,339.2675,Chicken,45,18,3,6,0,6,0,3,45,38,29,27,18,14,10,8,24,21,2,5,5,15,
2:36:43,343.975,Chicken,48,21,6,6,0,6,0,3,48,38,29,27,18,14,10,11,24,24,2,5,5,15,
2:36:45,348.4969,Chicken,48,21,3,9,0,6,0,3,48,41,29,27,18,14,10,11,24,24,2,5,5,15,
2:36:45,348.9842,Chicken,48,21,3,6,3,6,0,3,48,41,32,27,18,14,10,11,24,24,2,5,5,15,
2:36:47,354.1338,Chicken,48,20,3,6,3,5,0,3,48,41,32,27,18,14,9,11,24,24,2,6,5,15,
2:36:50,363.389,Chicken,48,19,3,6,3,5,0,2,48,41,32,27,18,14,8,11,24,24,2,6,6,15,
2:36:52,368.8492,Chicken,48,18,3,6,3,4,0,2,48,41,32,27,18,14,8,10,24,24,2,7,6,15,
2:36:52,371.4393,Chicken,48,16,3,6,3,2,0,2,48,41,32,27,18,14,6,10,24,24,2,9,6,15,
2:36:53,372.8331,Chicken,48,16,3,3,6,2,0,2,48,41,35,27,18,14,6,10,24,24,2,9,6,15,
2:36:53,373.4016,Chicken,48,14,3,3,6,2,0,0,48,41,35,27,18,14,6,8,24,24,2,9,8,15,
2:36:55,377.5281,Chicken,48,14,3,3,6,1,1,0,48,41,35,27,19,14,6,8,24,24,2,9,8,15,
