System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
2:34:49,2.072567,Dog,18,18,18,0,0,0,0,0,18,0,0,0,0,0,7,11,7,11,0,0,0,0,
2:35:22,99.38511,Dog,18,18,0,18,0,0,0,0,18,18,0,0,0,0,7,11,7,11,0,0,0,0,
2:35:25,109.6184,Dog,18,17,0,17,0,0,0,0,18,18,0,0,0,0,7,10,7,11,0,0,0,1,
2:35:37,144.9949,Dog,18,17,0,0,17,0,0,0,18,18,17,0,0,0,7,10,7,11,0,0,0,1,
2:35:51,187.0362,Dog,19,18,1,0,17,0,0,0,19,18,17,0,0,0,7,11,7,12,0,0,0,1,
2:36:0,212.8573,Dog,20,19,2,0,17,0,0,0,20,18,17,0,0,0,8,11,8,12,0,0,0,1,
2:36:1,216.4142,Dog,20,19,2,0,0,17,0,0,20,18,17,17,0,0,8,11,8,12,0,0,0,1,
2:36:17,263.8233,Dog,21,20,3,0,0,17,0,0,21,18,17,17,0,0,9,11,9,12,0,0,0,1,
2:36:24,284.765,Dog,21,20,2,1,0,17,0,0,21,19,17,17,0,0,9,11,9,12,0,0,0,1,
2:36:24,286.7543,Dog,22,21,3,1,0,17,0,0,22,19,17,17,0,0,9,12,9,13,0,0,0,1,
2:36:29,300.3224,Dog,23,22,4,1,0,17,0,0,23,19,17,17,0,0,10,12,10,13,0,0,0,1,
2:36:32,310.7739,Dog,23,22,3,2,0,17,0,0,23,20,17,17,0,0,10,12,10,13,0,0,0,1,
2:36:35,318.2912,Dog,23,21,3,2,0,16,0,0,23,20,17,17,0,0,9,12,10,13,0,1,0,1,
2:36:38,326.9517,Dog,23,21,3,2,0,0,16,0,23,20,17,17,16,0,9,12,10,13,0,1,0,1,
2:36:38,328.4831,Dog,23,20,3,2,0,0,15,0,23,20,17,17,16,0,9,11,10,13,0,1,0,2,
2:36:39,330.1689,Dog,23,20,3,1,1,0,15,0,23,20,18,17,16,0,9,11,10,13,0,1,0,2,
2:36:41,337.5906,Dog,24,21,4,1,1,0,15,0,24,20,18,17,16,0,9,12,10,14,0,1,0,2,
2:36:44,346.5674,Dog,25,22,5,1,1,0,15,0,25,20,18,17,16,0,9,13,10,15,0,1,0,2,
2:36:47,355.8891,Dog,25,22,5,0,2,0,15,0,25,20,19,17,16,0,9,13,10,15,0,1,0,2,
2:36:49,361.3786,Dog,25,22,4,1,2,0,15,0,25,21,19,17,16,0,9,13,10,15,0,1,0,2,
2:36:57,384.3701,Dog,25,22,3,2,2,0,15,0,25,22,19,17,16,0,9,13,10,15,0,1,0,2,
2:36:58,387.3937,Dog,26,23,4,2,2,0,15,0,26,22,19,17,16,0,9,14,10,16,0,1,0,2,
2:36:59,389.0849,Dog,26,22,4,2,1,0,15,0,26,22,19,17,16,0,9,13,10,16,1,1,0,2,
2:37:2,397.8867,Dog,26,22,3,3,1,0,15,0,26,23,19,17,16,0,9,13,10,16,1,1,0,2,
2:37:5,406.9152,Dog,26,22,3,2,2,0,15,0,26,23,20,17,16,0,9,13,10,16,1,1,0,2,
2:37:5,407.712,Dog,26,19,3,2,2,0,12,0,26,23,20,17,16,0,9,10,10,16,1,4,0,2,
2:37:7,413.1423,Dog,27,20,4,2,2,0,12,0,27,23,20,17,16,0,10,10,11,16,1,4,0,2,
2:37:7,413.4423,Dog,27,19,3,2,2,0,12,0,27,23,20,17,16,0,9,10,11,16,1,4,0,3,
2:37:8,414.4944,Dog,28,20,4,2,2,0,12,0,28,23,20,17,16,0,10,10,12,16,1,4,0,3,
2:37:8,414.9042,Dog,28,19,4,2,1,0,12,0,28,23,20,17,16,0,9,10,12,16,1,5,0,3,
2:37:13,428.8263,Dog,29,20,5,2,1,0,12,0,29,23,20,17,16,0,10,10,13,16,1,5,0,3,
2:37:13,429.969,Dog,29,20,5,1,2,0,12,0,29,23,21,17,16,0,10,10,13,16,1,5,0,3,
2:37:15,435.4148,Dog,29,20,4,2,2,0,12,0,29,24,21,17,16,0,10,10,13,16,1,5,0,3,
2:37:15,435.7036,Dog,29,19,4,2,2,0,11,0,29,24,21,17,16,0,10,9,13,16,1,6,0,3,
2:37:18,443.4594,Dog,29,19,4,1,3,0,11,0,29,24,22,17,16,0,10,9,13,16,1,6,0,3,
2:37:19,444.3718,Dog,29,19,3,2,3,0,11,0,29,25,22,17,16,0,10,9,13,16,1,6,0,3,
2:37:22,454.8547,Dog,30,19,4,2,2,0,11,0,30,25,22,17,16,0,9,10,13,17,2,6,0,3,
2:37:27,470.6277,Dog,31,20,5,2,2,0,11,0,31,25,22,17,16,0,10,10,14,17,2,6,0,3,
2:37:31,480.6537,Dog,31,20,5,1,3,0,11,0,31,25,23,17,16,0,10,10,14,17,2,6,0,3,
2:37:32,484.8754,Dog,31,20,4,2,3,0,11,0,31,26,23,17,16,0,10,10,14,17,2,6,0,3,
2:37:34,489.6337,Dog,31,20,4,1,4,0,0,11,31,26,24,17,16,11,10,10,14,17,2,6,0,3,
2:37:38,501.2948,Dog,31,20,4,1,3,1,0,11,31,26,24,18,16,11,10,10,14,17,2,6,0,3,
2:37:38,502.2219,Dog,31,19,4,1,2,1,0,11,31,26,24,18,16,11,9,10,14,17,3,6,0,3,
2:37:41,510.7383,Dog,32,20,5,1,2,1,0,11,32,26,24,18,16,11,9,11,14,18,3,6,0,3,
2:37:41,511.977,Dog,32,20,4,2,2,1,0,11,32,27,24,18,16,11,9,11,14,18,3,6,0,3,
2:37:41,512.6957,Dog,32,19,4,2,2,1,0,10,32,27,24,18,16,11,8,11,14,18,3,7,0,3,
2:37:42,514.7234,Dog,33,20,5,2,2,1,0,10,33,27,24,18,16,11,8,12,14,19,3,7,0,3,
2:37:44,519.7092,Dog,33,19,5,2,2,1,0,9,33,27,24,18,16,11,8,11,14,19,3,7,1,3,
2:37:46,526.382,Dog,33,19,4,3,2,1,0,9,33,28,24,18,16,11,8,11,14,19,3,7,1,3,
2:37:47,529.8585,Dog,33,18,4,3,2,1,0,8,33,28,24,18,16,11,7,11,14,19,3,7,2,3,
2:37:47,530.3637,Dog,33,18,4,2,3,1,0,8,33,28,25,18,16,11,7,11,14,19,3,7,2,3,
2:37:48,532.9943,Dog,33,17,4,2,3,1,0,7,33,28,25,18,16,11,6,11,14,19,3,7,2,4,
2:37:53,546.5574,Dog,34,18,5,2,3,1,0,7,34,28,25,18,16,11,6,12,14,20,3,7,2,4,
2:37:53,548.5709,Dog,34,17,5,2,2,1,0,7,34,28,25,18,16,11,6,11,14,20,3,8,2,4,
2:37:54,549.9639,Dog,34,16,5,2,2,1,0,6,34,28,25,18,16,11,5,11,14,20,3,8,3,4,
2:37:55,552.3806,Dog,34,16,4,3,1,2,0,6,34,29,25,19,16,11,5,11,14,20,3,8,3,4,
2:37:56,557.5832,Dog,34,16,4,2,2,2,0,6,34,29,26,19,16,11,5,11,14,20,3,8,3,4,
2:38:0,568.3226,Dog,34,16,3,3,2,2,0,6,34,30,26,19,16,11,5,11,14,20,3,8,3,4,
2:38:1,571.8012,Dog,34,16,3,2,3,2,0,6,34,30,27,19,16,11,5,11,14,20,3,8,3,4,
2:38:4,580.3073,Dog,34,15,3,2,3,2,0,5,34,30,27,19,16,11,5,10,14,20,3,8,4,4,
2:38:7,589.2112,Dog,34,14,3,2,2,2,0,5,34,30,27,19,16,11,5,9,14,20,3,9,4,4,
2:38:7,590.3865,Dog,34,12,3,2,2,2,0,3,34,30,27,19,16,11,4,8,14,20,3,9,6,4,
2:38:10,597.9038,Dog,34,12,3,1,3,2,0,3,34,30,28,19,16,11,4,8,14,20,3,9,6,4,
2:38:13,608.3617,Dog,34,12,2,2,3,2,0,3,34,31,28,19,16,11,4,8,14,20,3,9,6,4,
2:38:14,611.7698,Dog,34,12,2,2,3,1,1,3,34,31,28,19,17,11,4,8,14,20,3,9,6,4,
2:38:15,612.333,Dog,34,12,1,3,3,1,1,3,34,32,28,19,17,11,4,8,14,20,3,9,6,4,
2:38:15,613.6879,Dog,34,12,1,2,4,1,1,3,34,32,29,19,17,11,4,8,14,20,3,9,6,4,
2:38:16,616.4086,Dog,34,11,1,2,3,1,1,3,34,32,29,19,17,11,3,8,14,20,3,10,6,4,
2:38:17,620.5578,Dog,34,9,1,2,3,1,1,1,34,32,29,19,17,11,2,7,14,20,3,10,8,4,
2:38:21,630.6713,Dog,34,8,1,2,2,1,1,1,34,32,29,19,17,11,1,7,14,20,3,11,8,4,
2:38:24,640.7257,Dog,34,7,1,2,2,1,1,0,34,32,29,19,17,11,1,6,14,20,3,11,9,4,
2:38:25,644.1101,Dog,34,7,0,3,2,1,1,0,34,33,29,19,17,11,1,6,14,20,3,11,9,4,
2:38:28,653.7936,Dog,34,7,0,2,3,1,1,0,34,33,30,19,17,11,1,6,14,20,3,11,9,4,
2:38:29,656.74,Dog,34,6,0,2,2,1,1,0,34,33,30,19,17,11,1,5,14,20,3,12,9,4,
2:38:30,657.8154,Dog,34,6,0,1,3,1,1,0,34,33,31,19,17,11,1,5,14,20,3,12,9,4,
2:38:31,662.6455,Dog,34,6,0,1,3,0,2,0,34,33,31,19,18,11,1,5,14,20,3,12,9,4,
2:38:35,672.5504,Dog,34,5,0,1,2,0,2,0,34,33,31,19,18,11,0,5,14,20,3,13,9,4,
2:38:40,689.5496,Dog,34,5,0,0,3,0,2,0,34,33,32,19,18,11,0,5,14,20,3,13,9,4,
2:38:48,712.6735,Dog,34,4,0,0,2,0,2,0,34,33,32,19,18,11,0,4,14,20,3,14,9,4,
2:38:49,716.626,Dog,34,3,0,0,1,0,2,0,34,33,32,19,18,11,0,3,14,20,3,15,9,4,
2:39:0,748.4964,Dog,34,2,0,0,0,0,2,0,34,33,32,19,18,11,0,2,14,20,3,16,9,4,
2:39:9,774.3008,Dog,34,2,0,0,0,0,1,1,34,33,32,19,18,12,0,2,14,20,3,16,9,4,
2:39:22,814.4822,Dog,34,1,0,0,0,0,1,0,34,33,32,19,18,12,0,1,14,20,3,16,10,4,
2:39:26,825.2599,Dog,34,1,0,0,0,0,0,1,34,33,32,19,18,13,0,1,14,20,3,16,10,4,
2:39:39,865.6793,Dog,34,0,0,0,0,0,0,0,34,33,32,19,18,13,0,0,14,20,3,16,11,4,
