System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
2:34:49,2.072567,Pig,24,24,24,0,0,0,0,0,24,0,0,0,0,0,13,11,13,11,0,0,0,0,
2:34:59,30.64426,Pig,24,23,23,0,0,0,0,0,24,0,0,0,0,0,13,10,13,11,0,0,0,1,
2:35:1,37.22791,Pig,24,22,22,0,0,0,0,0,24,0,0,0,0,0,12,10,13,11,0,0,0,2,
2:35:4,47.23294,Pig,24,21,21,0,0,0,0,0,24,0,0,0,0,0,12,9,13,11,0,0,0,3,
2:35:8,57.03766,Pig,24,20,20,0,0,0,0,0,24,0,0,0,0,0,12,8,13,11,0,0,0,4,
2:35:11,66.47698,Pig,24,19,19,0,0,0,0,0,24,0,0,0,0,0,11,8,13,11,0,0,0,5,
2:35:16,82.08813,Pig,24,18,18,0,0,0,0,0,24,0,0,0,0,0,11,7,13,11,0,0,0,6,
2:35:18,89.22916,Pig,24,17,17,0,0,0,0,0,24,0,0,0,0,0,11,6,13,11,0,0,0,7,
2:35:20,93.96859,Pig,24,16,16,0,0,0,0,0,24,0,0,0,0,0,10,6,13,11,0,0,0,8,
2:35:24,106.8702,Pig,24,16,0,16,0,0,0,0,24,16,0,0,0,0,10,6,13,11,0,0,0,8,
2:35:30,125.5883,Pig,24,15,0,15,0,0,0,0,24,16,0,0,0,0,9,6,13,11,0,0,0,9,
2:35:34,136.5788,Pig,24,14,0,14,0,0,0,0,24,16,0,0,0,0,8,6,13,11,0,0,0,10,
2:35:41,155.9422,Pig,24,14,0,0,14,0,0,0,24,16,14,0,0,0,8,6,13,11,0,0,0,10,
2:35:57,203.7992,Pig,27,17,3,0,14,0,0,0,27,16,14,0,0,0,9,8,14,13,0,0,0,10,
2:36:2,218.6505,Pig,30,20,6,0,14,0,0,0,30,16,14,0,0,0,11,9,16,14,0,0,0,10,
2:36:6,232.9177,Pig,30,20,6,0,0,14,0,0,30,16,14,14,0,0,11,9,16,14,0,0,0,10,
2:36:17,265.3703,Pig,30,19,5,0,0,14,0,0,30,16,14,14,0,0,10,9,16,14,0,0,0,11,
