System Time:,Simulation Time:,VegetableType:,CurrentNumber:,
3:17:1,10.04193,Grain,20,
3:17:4,20.0918,Grain,21,
3:17:8,30.11694,Grain,22,
3:17:11,40.12973,Grain,23,
3:17:14,50.16314,Grain,24,
3:17:18,60.22126,Grain,25,
3:17:21,70.28309,Grain,26,
3:17:24,80.32447,Grain,27,
3:17:28,90.39845,Grain,28,
3:17:31,100.4238,Grain,29,
3:17:34,110.4584,Grain,30,
3:17:38,120.5132,Grain,31,
3:17:41,130.5592,Grain,32,
3:17:44,140.5977,Grain,33,
3:17:48,150.6824,Grain,34,
3:17:51,160.7155,Grain,35,
3:17:55,170.7276,Grain,36,
3:17:58,180.7531,Grain,37,
3:18:1,190.8027,Grain,38,
3:18:5,200.8072,Grain,38,
3:18:8,210.8586,Grain,39,
3:18:11,220.867,Grain,40,
3:18:15,230.9076,Grain,41,
3:18:18,240.9151,Grain,42,
3:18:21,250.9546,Grain,42,
3:18:25,261.0242,Grain,43,
3:18:28,271.1021,Grain,44,
3:18:31,281.1169,Grain,45,
3:18:35,291.1223,Grain,46,
3:18:38,301.1646,Grain,46,
3:18:41,311.2453,Grain,46,
3:18:45,321.26,Grain,46,
3:18:48,331.3549,Grain,47,
3:18:51,341.368,Grain,48,
3:18:55,351.3856,Grain,49,
3:18:58,361.4155,Grain,49,
3:19:1,371.4662,Grain,50,
3:19:5,381.5125,Grain,51,
3:19:8,391.578,Grain,52,
3:19:11,401.5839,Grain,52,
3:19:15,411.6739,Grain,52,
3:19:18,421.7792,Grain,51,
3:19:22,431.8363,Grain,52,
3:19:25,441.8812,Grain,53,
3:19:28,451.9352,Grain,54,
3:19:32,462.0175,Grain,55,
3:19:35,472.0298,Grain,54,
3:19:38,482.0356,Grain,54,
3:19:42,492.1046,Grain,55,
3:19:45,502.2366,Grain,55,
3:19:48,512.2742,Grain,56,
3:19:52,522.314,Grain,57,
3:19:55,532.3734,Grain,58,
3:19:58,542.4666,Grain,59,
3:20:2,552.4803,Grain,60,
3:20:5,562.5787,Grain,61,
3:20:9,572.6912,Grain,62,
3:20:12,582.7209,Grain,63,
3:20:15,592.7585,Grain,63,
3:20:19,602.8236,Grain,64,
3:20:22,612.8641,Grain,64,
3:20:25,622.9557,Grain,64,
3:20:29,633.0034,Grain,65,
3:20:32,643.017,Grain,66,
3:20:35,653.0709,Grain,67,
3:20:39,663.0854,Grain,68,
3:20:42,673.1798,Grain,69,
3:20:45,683.2399,Grain,69,
3:20:49,693.3105,Grain,70,
3:20:52,703.3743,Grain,71,
3:20:55,713.379,Grain,71,
3:20:59,723.4149,Grain,71,
3:21:2,733.4214,Grain,72,
3:21:5,743.4399,Grain,73,
3:21:9,753.501,Grain,73,
3:21:12,763.5621,Grain,71,
3:21:16,773.6263,Grain,72,
3:21:19,783.6896,Grain,73,
3:21:22,793.723,Grain,74,
3:21:26,803.7588,Grain,74,
3:21:29,813.8234,Grain,74,
3:21:32,823.8496,Grain,74,
3:21:36,833.858,Grain,73,
3:21:39,843.8794,Grain,73,
3:21:42,853.943,Grain,74,
3:21:46,863.9465,Grain,74,
3:21:49,873.9997,Grain,74,
3:21:52,883.9998,Grain,75,
3:21:56,894.0101,Grain,76,
3:21:59,904.0765,Grain,76,
3:22:2,914.1366,Grain,77,
3:22:6,924.2141,Grain,78,
3:22:9,934.2815,Grain,78,
3:22:12,944.3443,Grain,78,
3:22:16,954.3871,Grain,79,
3:22:19,964.4338,Grain,80,
3:22:22,974.5055,Grain,81,
3:22:26,984.5394,Grain,79,
3:22:29,994.5942,Grain,79,
3:22:33,1004.612,Grain,78,
3:22:36,1014.675,Grain,77,
3:22:39,1024.729,Grain,77,
3:22:43,1034.753,Grain,78,
3:22:46,1044.802,Grain,79,
3:22:49,1054.833,Grain,80,
3:22:53,1064.889,Grain,80,
3:22:56,1074.902,Grain,79,
3:22:59,1084.947,Grain,79,
3:23:3,1095.01,Grain,80,
3:23:6,1105.037,Grain,81,
3:23:9,1115.1,Grain,81,
3:23:13,1125.192,Grain,82,
3:23:16,1135.252,Grain,83,
3:23:19,1145.327,Grain,82,
3:23:23,1155.399,Grain,83,
3:23:26,1165.498,Grain,83,
3:23:30,1175.537,Grain,82,
3:23:33,1185.665,Grain,81,
3:23:36,1195.736,Grain,81,
3:23:40,1205.791,Grain,80,
3:23:43,1215.798,Grain,80,
3:23:46,1225.853,Grain,79,
3:23:50,1235.865,Grain,79,
3:23:53,1245.878,Grain,79,
3:23:56,1255.989,Grain,80,
3:24:0,1266.06,Grain,80,
3:24:3,1276.13,Grain,80,
3:24:6,1286.212,Grain,80,
3:24:10,1296.218,Grain,80,
3:24:13,1306.23,Grain,81,
3:24:16,1316.304,Grain,79,
3:24:20,1326.306,Grain,79,
3:24:23,1336.382,Grain,78,
3:24:26,1346.456,Grain,78,
3:24:30,1356.518,Grain,78,
3:24:33,1366.654,Grain,78,
3:24:37,1376.759,Grain,77,
3:24:40,1386.795,Grain,77,
3:24:43,1396.817,Grain,78,
3:24:47,1406.934,Grain,77,
3:24:50,1417.028,Grain,78,
3:24:53,1427.163,Grain,75,
3:24:57,1437.268,Grain,73,
3:25:0,1447.326,Grain,72,
3:25:3,1457.348,Grain,73,
3:25:7,1467.421,Grain,74,
3:25:10,1477.468,Grain,74,
3:25:14,1487.508,Grain,72,
3:25:17,1497.605,Grain,73,
3:25:20,1507.643,Grain,73,
3:25:24,1517.682,Grain,74,
3:25:27,1527.718,Grain,75,
3:25:30,1537.778,Grain,76,
3:25:34,1547.781,Grain,76,
3:25:37,1557.916,Grain,77,
3:25:41,1568.201,Grain,77,
3:25:44,1578.223,Grain,77,
3:25:48,1588.301,Grain,77,
3:25:51,1598.468,Grain,77,
3:25:55,1608.538,Grain,78,
3:25:58,1618.542,Grain,79,
3:26:1,1628.664,Grain,80,
3:26:5,1638.73,Grain,79,
3:26:8,1648.845,Grain,79,
3:26:12,1658.999,Grain,79,
3:26:15,1669.007,Grain,77,
3:26:19,1679.122,Grain,72,
3:26:22,1689.312,Grain,72,
3:26:25,1699.477,Grain,73,
3:26:29,1709.591,Grain,72,
3:26:32,1719.677,Grain,71,
3:26:36,1729.753,Grain,71,
3:26:39,1739.885,Grain,72,
3:26:42,1749.901,Grain,73,
3:26:46,1759.933,Grain,71,
3:26:49,1770.098,Grain,72,
3:26:52,1780.202,Grain,71,
3:26:56,1790.282,Grain,70,
3:26:59,1800.412,Grain,71,
3:27:4,1810.651,Grain,71,
3:27:8,1820.705,Grain,69,
3:27:11,1830.851,Grain,69,
3:27:15,1840.929,Grain,69,
3:27:18,1851.12,Grain,70,
3:27:22,1861.25,Grain,70,
3:27:25,1871.432,Grain,71,
3:27:28,1881.435,Grain,72,
3:27:32,1891.496,Grain,72,
3:27:35,1901.523,Grain,71,
3:27:38,1911.617,Grain,72,
3:27:42,1921.623,Grain,70,
3:27:45,1931.629,Grain,71,
3:27:48,1941.704,Grain,72,
3:27:52,1951.994,Grain,72,
3:27:55,1962.081,Grain,72,
3:27:59,1972.143,Grain,73,
3:28:2,1982.226,Grain,74,
3:28:5,1992.233,Grain,75,
3:28:9,2002.365,Grain,76,
3:28:12,2012.403,Grain,76,
3:28:16,2022.587,Grain,76,
3:28:19,2032.649,Grain,77,
3:28:22,2042.681,Grain,77,
3:28:26,2052.699,Grain,78,
3:28:29,2062.842,Grain,77,
3:28:32,2072.853,Grain,78,
3:28:36,2082.939,Grain,77,
3:28:39,2093.104,Grain,77,
3:28:43,2103.21,Grain,78,
3:28:46,2113.263,Grain,78,
3:28:49,2123.28,Grain,78,
3:28:53,2133.307,Grain,79,
3:28:56,2143.392,Grain,80,
3:28:59,2153.41,Grain,81,
3:29:3,2163.431,Grain,81,
3:29:6,2173.497,Grain,82,
3:29:10,2183.526,Grain,82,
3:29:13,2193.69,Grain,82,
3:29:16,2203.814,Grain,81,
3:29:20,2213.818,Grain,80,
3:29:23,2223.936,Grain,81,
3:29:27,2234.063,Grain,79,
3:29:30,2244.08,Grain,80,
3:29:34,2254.118,Grain,81,
3:29:37,2264.271,Grain,82,
3:29:40,2274.41,Grain,83,
3:29:44,2284.568,Grain,83,
3:29:47,2294.607,Grain,83,
3:29:50,2304.637,Grain,84,
3:29:54,2314.7,Grain,83,
3:29:58,2324.723,Grain,82,
3:30:1,2334.813,Grain,80,
3:30:5,2344.945,Grain,79,
3:30:8,2354.962,Grain,78,
3:30:12,2365.182,Grain,78,
3:30:16,2375.344,Grain,79,
3:30:19,2385.394,Grain,78,
3:30:23,2395.481,Grain,78,
3:30:27,2405.732,Grain,79,
3:30:30,2415.961,Grain,77,
3:30:34,2426.039,Grain,76,
3:30:38,2436.172,Grain,77,
3:30:41,2446.173,Grain,77,
3:30:45,2456.246,Grain,78,
3:30:49,2466.411,Grain,78,
3:30:52,2476.554,Grain,79,
3:30:56,2486.644,Grain,78,
3:30:59,2496.652,Grain,78,
3:31:3,2506.79,Grain,78,
3:31:7,2517.075,Grain,79,
3:31:11,2527.132,Grain,79,
3:31:15,2537.354,Grain,80,
3:31:18,2547.47,Grain,80,
3:31:22,2557.505,Grain,80,
3:31:25,2567.581,Grain,79,
3:31:29,2577.696,Grain,77,
3:31:33,2587.707,Grain,76,
3:31:36,2597.81,Grain,77,
3:31:40,2607.856,Grain,78,
3:31:43,2618.009,Grain,78,
3:31:47,2628.216,Grain,79,
3:31:51,2638.331,Grain,78,
3:31:54,2648.41,Grain,79,
3:31:58,2658.598,Grain,79,
3:32:1,2668.898,Grain,79,
3:32:6,2679.193,Grain,79,
3:32:9,2689.322,Grain,80,
3:32:13,2699.607,Grain,80,
3:32:17,2709.794,Grain,80,
3:32:21,2719.906,Grain,81,
3:32:25,2730.148,Grain,81,
3:32:29,2740.265,Grain,79,
3:32:33,2750.352,Grain,79,
3:32:37,2760.552,Grain,79,
3:32:41,2770.591,Grain,78,
3:32:45,2780.774,Grain,79,
3:32:50,2790.849,Grain,78,
3:32:55,2801.049,Grain,79,
3:32:59,2811.248,Grain,80,
3:33:5,2821.448,Grain,77,
3:33:11,2831.647,Grain,74,
3:33:16,2841.848,Grain,73,
3:33:21,2852.048,Grain,73,
3:33:26,2862.248,Grain,72,
3:33:31,2872.448,Grain,72,
3:33:36,2882.647,Grain,71,
3:33:42,2892.848,Grain,71,
3:33:47,2903.048,Grain,71,
3:33:52,2913.248,Grain,72,
3:33:57,2923.448,Grain,73,
3:34:2,2933.647,Grain,72,
3:34:7,2943.848,Grain,73,
3:34:12,2954.048,Grain,73,
3:34:17,2964.248,Grain,71,
3:34:22,2974.448,Grain,69,
3:34:28,2984.647,Grain,70,
3:34:33,2994.848,Grain,70,
3:34:37,3005.048,Grain,70,
3:34:43,3015.248,Grain,68,
3:34:48,3025.448,Grain,69,
3:34:53,3035.647,Grain,70,
3:34:58,3045.848,Grain,69,
3:35:3,3056.048,Grain,69,
3:35:9,3066.248,Grain,68,
3:35:14,3076.448,Grain,68,
3:35:19,3086.647,Grain,68,
3:35:24,3096.848,Grain,66,
3:35:30,3107.048,Grain,67,
3:35:35,3117.248,Grain,64,
3:35:41,3127.448,Grain,64,
3:35:46,3137.647,Grain,65,
3:35:52,3147.848,Grain,65,
3:35:58,3158.048,Grain,64,
3:36:4,3168.248,Grain,63,
3:36:10,3178.448,Grain,62,
3:36:16,3188.647,Grain,62,
3:36:23,3198.848,Grain,62,
3:36:28,3209.048,Grain,62,
3:36:35,3219.248,Grain,62,
3:36:41,3229.448,Grain,62,
3:36:48,3239.647,Grain,60,
3:36:55,3249.848,Grain,60,
3:37:2,3260.048,Grain,60,
3:37:9,3270.248,Grain,60,
3:37:16,3280.448,Grain,60,
3:37:23,3290.647,Grain,60,
3:37:31,3300.848,Grain,59,
3:37:40,3311.048,Grain,59,
3:37:49,3321.248,Grain,60,
3:37:57,3331.448,Grain,61,
3:38:5,3341.647,Grain,62,
3:38:13,3351.848,Grain,62,
3:38:21,3362.048,Grain,60,
3:38:29,3372.248,Grain,60,
3:38:37,3382.448,Grain,61,
3:38:45,3392.647,Grain,62,
3:38:52,3402.848,Grain,61,
3:39:1,3413.048,Grain,60,
3:39:8,3423.248,Grain,59,
3:39:15,3433.448,Grain,59,
3:39:22,3443.648,Grain,60,
3:39:29,3453.848,Grain,61,
3:39:37,3464.048,Grain,62,
3:39:45,3474.248,Grain,62,
3:39:52,3484.448,Grain,63,
3:40:0,3494.648,Grain,64,
3:40:7,3504.848,Grain,65,
3:40:15,3515.048,Grain,66,
3:40:24,3525.248,Grain,67,
3:40:34,3535.448,Grain,67,
3:40:43,3545.648,Grain,67,
3:40:51,3555.848,Grain,67,
3:40:59,3566.048,Grain,67,
3:41:7,3576.248,Grain,68,
3:41:14,3586.448,Grain,69,
3:41:22,3596.648,Grain,70,
3:41:30,3606.848,Grain,71,
3:41:37,3617.048,Grain,71,
3:41:44,3627.248,Grain,71,
3:41:51,3637.448,Grain,72,
3:41:58,3647.648,Grain,73,
3:42:4,3657.848,Grain,74,
3:42:11,3668.048,Grain,75,
3:42:18,3678.248,Grain,76,
3:42:25,3688.448,Grain,77,
3:42:31,3698.648,Grain,76,
3:42:38,3708.848,Grain,76,
3:42:45,3719.048,Grain,77,
3:42:52,3729.248,Grain,78,
3:42:59,3739.448,Grain,79,
3:43:5,3749.648,Grain,80,
3:43:12,3759.848,Grain,80,
3:43:19,3770.048,Grain,81,
3:43:26,3780.248,Grain,81,
3:43:33,3790.448,Grain,82,
3:43:40,3800.648,Grain,82,
3:43:47,3810.848,Grain,83,
3:43:54,3821.048,Grain,84,
3:44:2,3831.248,Grain,85,
3:44:10,3841.448,Grain,86,
3:44:18,3851.648,Grain,87,
3:44:26,3861.848,Grain,88,
3:44:33,3872.048,Grain,89,
3:44:40,3882.248,Grain,90,
3:44:47,3892.448,Grain,91,
3:44:54,3902.648,Grain,92,
3:45:1,3912.848,Grain,93,
3:45:8,3923.048,Grain,94,
3:45:14,3933.248,Grain,95,
3:45:21,3943.448,Grain,96,
3:45:27,3953.648,Grain,97,
3:45:34,3963.848,Grain,98,
3:45:41,3974.048,Grain,99,
3:45:47,3984.248,Grain,100,
3:45:53,3994.448,Grain,101,
3:45:59,4004.648,Grain,102,
3:46:5,4014.848,Grain,102,
3:46:11,4025.048,Grain,103,
3:46:17,4035.248,Grain,104,
3:46:23,4045.448,Grain,105,
3:46:29,4055.648,Grain,106,
3:46:34,4065.848,Grain,107,
3:46:40,4076.048,Grain,108,
3:46:45,4086.248,Grain,109,
3:46:51,4096.448,Grain,110,
3:46:56,4106.647,Grain,111,
3:47:1,4116.848,Grain,112,
3:47:6,4127.048,Grain,113,
3:47:12,4137.248,Grain,114,
3:47:18,4147.448,Grain,115,
3:47:23,4157.647,Grain,116,
3:47:28,4167.848,Grain,117,
3:47:34,4178.048,Grain,118,
3:47:39,4188.248,Grain,119,
3:47:44,4198.448,Grain,120,
3:47:49,4208.647,Grain,121,
3:47:54,4218.848,Grain,122,
3:47:59,4229.048,Grain,123,
3:48:4,4239.248,Grain,124,
3:48:9,4249.448,Grain,125,
3:48:14,4259.647,Grain,126,
3:48:18,4269.848,Grain,127,
3:48:23,4280.048,Grain,128,
3:48:28,4290.248,Grain,129,
3:48:33,4300.448,Grain,130,
3:48:38,4310.647,Grain,131,
3:48:43,4320.848,Grain,132,
3:48:48,4331.048,Grain,133,
3:48:52,4341.248,Grain,134,
3:48:57,4351.448,Grain,135,
3:49:2,4361.647,Grain,136,
3:49:6,4371.848,Grain,137,
3:49:11,4382.048,Grain,138,
3:49:15,4392.248,Grain,139,
3:49:19,4402.364,Grain,140,
3:49:23,4412.553,Grain,141,
3:49:27,4422.742,Grain,142,
3:49:31,4432.9,Grain,143,
3:49:35,4443.059,Grain,144,
3:49:38,4453.175,Grain,145,
3:49:42,4463.348,Grain,146,
3:49:47,4473.548,Grain,147,
3:49:50,4483.671,Grain,148,
3:49:54,4493.912,Grain,149,
3:49:58,4503.967,Grain,150,
3:50:1,4514.015,Grain,151,
3:50:5,4524.145,Grain,152,
3:50:8,4534.269,Grain,153,
3:50:12,4544.334,Grain,154,
3:50:15,4554.427,Grain,155,
3:50:19,4564.457,Grain,156,
3:50:22,4574.675,Grain,157,
3:50:26,4584.78,Grain,158,
3:50:29,4595.021,Grain,159,
3:50:33,4605.202,Grain,160,
3:50:36,4615.233,Grain,161,
3:50:39,4625.337,Grain,162,
3:50:43,4635.556,Grain,163,
3:50:46,4645.608,Grain,164,
3:50:50,4655.689,Grain,165,
3:50:53,4665.73,Grain,166,
3:50:57,4675.875,Grain,167,
3:51:0,4685.894,Grain,168,
3:51:3,4695.975,Grain,169,
3:51:7,4705.987,Grain,170,
3:51:10,4716.074,Grain,171,
3:51:14,4726.352,Grain,172,
3:51:17,4736.392,Grain,173,
3:51:20,4746.522,Grain,174,
3:51:24,4756.572,Grain,175,
3:51:27,4766.715,Grain,176,
3:51:30,4776.787,Grain,177,
3:51:34,4786.882,Grain,178,
3:51:37,4796.945,Grain,179,
3:51:41,4806.979,Grain,180,
3:51:44,4817.004,Grain,181,
3:51:47,4827.063,Grain,182,
3:51:51,4837.114,Grain,183,
3:51:54,4847.149,Grain,184,
3:51:58,4857.185,Grain,185,
3:52:1,4867.261,Grain,186,
3:52:4,4877.33,Grain,187,
3:52:8,4887.401,Grain,188,
3:52:11,4897.407,Grain,189,
3:52:14,4907.452,Grain,190,
3:52:18,4917.554,Grain,191,
3:52:21,4927.576,Grain,192,
3:52:24,4937.641,Grain,193,
3:52:28,4947.649,Grain,194,
3:52:31,4957.714,Grain,195,
3:52:34,4967.775,Grain,196,
3:52:38,4977.785,Grain,197,
3:52:41,4987.843,Grain,198,
3:52:45,4997.868,Grain,199,
3:52:48,5007.901,Grain,200,
3:52:51,5017.934,Grain,201,
3:52:55,5028.149,Grain,201,
3:52:58,5038.188,Grain,201,
3:53:1,5048.224,Grain,201,
3:53:5,5058.236,Grain,201,
3:53:8,5068.279,Grain,201,
3:53:11,5078.321,Grain,201,
3:53:15,5088.331,Grain,201,
3:53:18,5098.334,Grain,201,
3:53:21,5108.342,Grain,201,
3:53:25,5118.372,Grain,201,
3:53:28,5128.449,Grain,201,
3:53:31,5138.482,Grain,201,
3:53:35,5148.488,Grain,201,
3:53:38,5158.502,Grain,201,
3:53:41,5168.507,Grain,201,
3:53:45,5178.584,Grain,201,
3:53:48,5188.617,Grain,201,
3:53:51,5198.654,Grain,201,
3:53:55,5208.694,Grain,201,
3:53:58,5218.703,Grain,201,
3:54:2,5228.712,Grain,201,
3:54:5,5238.746,Grain,201,
3:54:8,5248.766,Grain,201,
3:54:12,5258.772,Grain,201,
3:54:15,5268.802,Grain,201,
3:54:18,5278.811,Grain,201,
3:54:22,5288.811,Grain,201,
3:54:25,5298.872,Grain,201,
3:54:28,5308.907,Grain,201,
3:54:32,5318.923,Grain,201,
3:54:35,5328.931,Grain,201,
3:54:38,5338.934,Grain,201,
3:54:42,5348.941,Grain,201,
3:54:45,5358.962,Grain,201,
3:54:48,5368.99,Grain,201,
3:54:52,5379.034,Grain,201,
3:54:55,5389.042,Grain,201,
3:54:58,5399.078,Grain,201,
3:55:2,5409.081,Grain,201,
3:55:5,5419.09,Grain,201,
3:55:8,5429.112,Grain,201,
3:55:12,5439.122,Grain,201,
3:55:15,5449.179,Grain,201,
3:55:19,5459.185,Grain,201,
3:55:22,5469.188,Grain,201,
3:55:25,5479.204,Grain,201,
3:55:29,5489.233,Grain,201,
3:55:32,5499.25,Grain,201,
3:55:35,5509.275,Grain,201,
3:55:39,5519.315,Grain,201,
3:55:42,5529.333,Grain,201,
3:55:46,5539.362,Grain,201,
3:55:49,5549.383,Grain,201,
3:55:52,5559.413,Grain,201,
3:55:56,5569.438,Grain,201,
