System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
3:16:58,2.37317,Dog,18,18,18,0,0,0,0,0,18,0,0,0,0,0,12,6,12,6,0,0,0,0,
3:17:31,99.70296,Dog,18,18,0,18,0,0,0,0,18,18,0,0,0,0,12,6,12,6,0,0,0,0,
3:17:46,145.1596,Dog,18,18,0,0,18,0,0,0,18,18,18,0,0,0,12,6,12,6,0,0,0,0,
3:18:2,193.6273,Dog,19,19,1,0,18,0,0,0,19,18,18,0,0,0,13,6,13,6,0,0,0,0,
3:18:10,216.7541,Dog,19,19,1,0,0,18,0,0,19,18,18,18,0,0,13,6,13,6,0,0,0,0,
3:18:17,238.6809,Dog,20,20,2,0,0,18,0,0,20,18,18,18,0,0,13,7,13,7,0,0,0,0,
3:18:23,255.599,Dog,21,21,3,0,0,18,0,0,21,18,18,18,0,0,13,8,13,8,0,0,0,0,
3:18:24,259.52,Dog,21,20,3,0,0,17,0,0,21,18,18,18,0,0,12,8,13,8,0,0,0,1,
3:18:27,268.4894,Dog,22,21,4,0,0,17,0,0,22,18,18,18,0,0,12,9,13,9,0,0,0,1,
3:18:31,280.3463,Dog,23,22,5,0,0,17,0,0,23,18,18,18,0,0,12,10,13,10,0,0,0,1,
3:18:35,291.0135,Dog,24,23,6,0,0,17,0,0,24,18,18,18,0,0,12,11,13,11,0,0,0,1,
3:18:35,291.2232,Dog,24,23,5,1,0,17,0,0,24,19,18,18,0,0,12,11,13,11,0,0,0,1,
3:18:44,320.015,Dog,25,24,6,1,0,17,0,0,25,19,18,18,0,0,13,11,14,11,0,0,0,1,
3:18:47,327.214,Dog,25,24,6,1,0,0,17,0,25,19,18,18,17,0,13,11,14,11,0,0,0,1,
3:18:48,330.3573,Dog,26,25,7,1,0,0,17,0,26,19,18,18,17,0,13,12,14,12,0,0,0,1,
3:18:50,336.252,Dog,26,25,6,2,0,0,17,0,26,20,18,18,17,0,13,12,14,12,0,0,0,1,
3:18:50,336.6286,Dog,26,25,6,1,1,0,17,0,26,20,19,18,17,0,13,12,14,12,0,0,0,1,
3:18:54,348.3028,Dog,27,26,7,1,1,0,17,0,27,20,19,18,17,0,13,13,14,13,0,0,0,1,
3:18:55,352.5163,Dog,27,25,7,1,1,0,16,0,27,20,19,18,17,0,12,13,14,13,0,0,0,2,
3:18:55,353.1273,Dog,27,25,6,2,1,0,16,0,27,21,19,18,17,0,12,13,14,13,0,0,0,2,
3:18:58,361.751,Dog,28,26,7,2,1,0,16,0,28,21,19,18,17,0,12,14,14,14,0,0,0,2,
3:18:58,362.4788,Dog,28,23,7,2,1,0,13,0,28,21,19,18,17,0,9,14,14,14,1,2,0,2,
3:19:0,366.024,Dog,28,23,6,3,1,0,13,0,28,22,19,18,17,0,9,14,14,14,1,2,0,2,
3:19:2,371.9911,Dog,29,24,7,3,1,0,13,0,29,22,19,18,17,0,10,14,15,14,1,2,0,2,
3:19:3,376.9792,Dog,30,25,8,3,1,0,13,0,30,22,19,18,17,0,10,15,15,15,1,2,0,2,
3:19:4,377.8598,Dog,30,25,7,4,1,0,13,0,30,23,19,18,17,0,10,15,15,15,1,2,0,2,
3:19:5,381.7426,Dog,30,25,7,3,2,0,13,0,30,23,20,18,17,0,10,15,15,15,1,2,0,2,
3:19:7,388.5813,Dog,30,25,6,4,2,0,13,0,30,24,20,18,17,0,10,15,15,15,1,2,0,2,
3:19:10,398.6014,Dog,30,25,6,3,3,0,13,0,30,24,21,18,17,0,10,15,15,15,1,2,0,2,
3:19:12,403.4642,Dog,31,26,7,3,3,0,13,0,31,24,21,18,17,0,11,15,16,15,1,2,0,2,
3:19:14,407.9141,Dog,31,25,7,3,3,0,12,0,31,24,21,18,17,0,10,15,16,15,1,3,0,2,
3:19:14,408.2444,Dog,31,25,7,3,2,1,12,0,31,24,21,19,17,0,10,15,16,15,1,3,0,2,
3:19:15,411.5695,Dog,31,25,7,2,3,1,12,0,31,24,22,19,17,0,10,15,16,15,1,3,0,2,
3:19:16,416.0656,Dog,32,26,8,2,3,1,12,0,32,24,22,19,17,0,11,15,17,15,1,3,0,2,
3:19:17,417.5939,Dog,32,26,7,3,3,1,12,0,32,25,22,19,17,0,11,15,17,15,1,3,0,2,
3:19:19,423.1503,Dog,33,27,8,3,3,1,12,0,33,25,22,19,17,0,11,16,17,16,1,3,0,2,
3:19:19,423.396,Dog,33,27,8,2,4,1,12,0,33,25,23,19,17,0,11,16,17,16,1,3,0,2,
3:19:20,427.7513,Dog,34,28,9,2,4,1,12,0,34,25,23,19,17,0,11,17,17,17,1,3,0,2,
3:19:20,427.9684,Dog,34,28,8,3,4,1,12,0,34,26,23,19,17,0,11,17,17,17,1,3,0,2,
3:19:21,429.1323,Dog,35,29,9,3,4,1,12,0,35,26,23,19,17,0,12,17,18,17,1,3,0,2,
3:19:22,434.0439,Dog,35,29,9,2,5,1,12,0,35,26,24,19,17,0,12,17,18,17,1,3,0,2,
3:19:24,440.6756,Dog,35,28,9,2,4,1,12,0,35,26,24,19,17,0,12,16,18,17,1,4,0,2,
3:19:26,445.8399,Dog,36,29,9,3,4,1,12,0,36,27,24,19,17,0,13,16,19,17,1,4,0,2,
3:19:30,457.5811,Dog,36,28,9,3,3,1,12,0,36,27,24,19,17,0,13,15,19,17,1,5,0,2,
3:19:31,459.2747,Dog,36,28,8,4,3,1,12,0,36,28,24,19,17,0,13,15,19,17,1,5,0,2,
3:19:32,463.0696,Dog,36,28,8,3,4,1,12,0,36,28,25,19,17,0,13,15,19,17,1,5,0,2,
3:19:33,466.3759,Dog,36,27,8,3,4,1,11,0,36,28,25,19,17,0,13,14,19,17,1,6,0,2,
3:19:34,469.5185,Dog,36,27,7,4,4,1,11,0,36,29,25,19,17,0,13,14,19,17,1,6,0,2,
3:19:35,473.3718,Dog,36,27,7,3,5,1,11,0,36,29,26,19,17,0,13,14,19,17,1,6,0,2,
3:19:36,474.5819,Dog,36,27,6,4,5,1,11,0,36,30,26,19,17,0,13,14,19,17,1,6,0,2,
3:19:38,482.3051,Dog,36,26,6,4,4,1,11,0,36,30,26,19,17,0,13,13,19,17,1,7,0,2,
3:19:39,483.0044,Dog,36,26,6,4,3,2,11,0,36,30,26,20,17,0,13,13,19,17,1,7,0,2,
3:19:41,489.7898,Dog,36,26,6,4,3,2,0,11,36,30,26,20,17,11,13,13,19,17,1,7,0,2,
3:19:41,491.3289,Dog,36,26,6,3,4,2,0,11,36,30,27,20,17,11,13,13,19,17,1,7,0,2,
3:19:42,492.2147,Dog,37,27,7,3,4,2,0,11,37,30,27,20,17,11,14,13,20,17,1,7,0,2,
3:19:42,492.9402,Dog,37,26,7,3,3,2,0,11,37,30,27,20,17,11,14,12,20,17,1,8,0,2,
3:19:45,501.1161,Dog,37,26,6,4,3,2,0,11,37,31,27,20,17,11,14,12,20,17,1,8,0,2,
3:19:46,504.8536,Dog,37,26,6,3,4,2,0,11,37,31,28,20,17,11,14,12,20,17,1,8,0,2,
3:19:47,506.9045,Dog,38,27,7,3,4,2,0,11,38,31,28,20,17,11,15,12,21,17,1,8,0,2,
3:19:48,509.8988,Dog,38,25,7,3,4,2,0,9,38,31,28,20,17,11,14,11,21,17,1,8,2,2,
3:19:49,513.5931,Dog,38,25,6,4,4,2,0,9,38,32,28,20,17,11,14,11,21,17,1,8,2,2,
3:19:49,515.1126,Dog,38,25,6,3,5,2,0,9,38,32,29,20,17,11,14,11,21,17,1,8,2,2,
3:19:51,518.7476,Dog,38,25,6,3,5,1,1,9,38,32,29,20,18,11,14,11,21,17,1,8,2,2,
3:19:51,520.0292,Dog,38,24,6,2,6,1,1,8,38,32,30,20,18,11,14,10,21,17,1,8,3,2,
3:19:51,520.7692,Dog,38,24,5,3,6,1,1,8,38,33,30,20,18,11,14,10,21,17,1,8,3,2,
3:19:52,521.9728,Dog,38,23,5,3,5,1,1,8,38,33,30,20,18,11,13,10,21,17,1,9,3,2,
3:19:52,523.1067,Dog,40,24,7,3,5,1,1,7,40,33,30,20,18,11,12,12,21,19,1,9,3,3,
3:19:53,525.2646,Dog,40,24,6,4,5,1,1,7,40,34,30,20,18,11,12,12,21,19,1,9,3,3,
3:19:53,526.7278,Dog,40,24,5,5,5,1,1,7,40,35,30,20,18,11,12,12,21,19,1,9,3,3,
3:19:55,532.3734,Dog,40,23,5,5,4,1,1,7,40,35,30,20,18,11,12,11,21,19,1,10,3,3,
