System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
3:16:58,2.37317,Lion,12,12,12,0,0,0,0,0,12,0,0,0,0,0,10,2,10,2,0,0,0,0,
3:17:33,107.2071,Lion,12,12,0,12,0,0,0,0,12,12,0,0,0,0,10,2,10,2,0,0,0,0,
3:17:50,156.2158,Lion,12,12,0,0,12,0,0,0,12,12,12,0,0,0,10,2,10,2,0,0,0,0,
3:18:15,233.2111,Lion,12,12,0,0,0,12,0,0,12,12,12,12,0,0,10,2,10,2,0,0,0,0,
3:18:55,352.2157,Lion,12,12,0,0,0,0,12,0,12,12,12,12,12,0,10,2,10,2,0,0,0,0,
3:19:6,386.1678,Lion,13,12,1,0,0,0,11,0,13,12,12,12,12,0,10,2,11,2,1,0,0,0,
3:19:19,425.6397,Lion,13,10,1,0,0,0,9,0,13,12,12,12,12,0,9,1,11,2,3,0,0,0,
3:19:41,491.2211,Lion,13,10,0,1,0,0,9,0,13,13,12,12,12,0,9,1,11,2,3,0,0,0,
3:19:50,517.9816,Lion,14,11,1,1,0,0,9,0,14,13,12,12,12,0,9,2,11,3,3,0,0,0,
3:19:53,527.3255,Lion,14,11,1,1,0,0,0,9,14,13,12,12,12,9,9,2,11,3,3,0,0,0,
3:19:58,540.1763,Lion,14,11,1,0,1,0,0,9,14,13,13,12,12,9,9,2,11,3,3,0,0,0,
3:20:3,557.4238,Lion,14,10,1,0,1,0,0,8,14,13,13,12,12,9,8,2,11,3,3,0,1,0,
3:20:5,562.7064,Lion,15,11,2,0,1,0,0,8,15,13,13,12,12,9,9,2,12,3,3,0,1,0,
3:20:7,567.4774,Lion,15,8,2,0,1,0,0,5,15,13,13,12,12,9,6,2,12,3,3,0,4,0,
3:20:10,577.5404,Lion,15,6,2,0,1,0,0,3,15,13,13,12,12,9,4,2,12,3,3,0,6,0,
3:20:17,597.6235,Lion,15,4,2,0,1,0,0,1,15,13,13,12,12,9,3,1,12,3,3,0,8,0,
3:20:23,617.2211,Lion,15,4,2,0,0,1,0,1,15,13,13,13,12,9,3,1,12,3,3,0,8,0,
3:20:25,623.0596,Lion,15,4,1,1,0,1,0,1,15,14,13,13,12,9,3,1,12,3,3,0,8,0,
3:20:40,667.7548,Lion,15,4,0,2,0,1,0,1,15,15,13,13,12,9,3,1,12,3,3,0,8,0,
3:20:40,668.0192,Lion,15,3,0,2,0,1,0,0,15,15,13,13,12,9,2,1,12,3,3,0,9,0,
3:20:42,672.009,Lion,15,3,0,1,1,1,0,0,15,15,14,13,12,9,2,1,12,3,3,0,9,0,
3:20:57,716.6644,Lion,15,3,0,0,2,1,0,0,15,15,15,13,12,9,2,1,12,3,3,0,9,0,
3:21:1,728.6616,Lion,15,2,0,0,1,1,0,0,15,15,15,13,12,9,2,0,12,3,4,0,9,0,
3:21:3,736.1762,Lion,15,2,0,0,1,0,1,0,15,15,15,13,13,9,2,0,12,3,4,0,9,0,
3:21:22,793.723,Lion,15,2,0,0,0,1,1,0,15,15,15,14,13,9,2,0,12,3,4,0,9,0,
3:22:1,911.2408,Lion,15,2,0,0,0,1,0,1,15,15,15,14,13,10,2,0,12,3,4,0,9,0,
3:22:2,912.7504,Lion,15,2,0,0,0,0,1,1,15,15,15,14,14,10,2,0,12,3,4,0,9,0,
3:22:15,951.4792,Lion,15,1,0,0,0,0,1,0,15,15,15,14,14,10,1,0,12,3,4,0,10,0,
3:23:0,1087.724,Lion,15,1,0,0,0,0,0,1,15,15,15,14,14,11,1,0,12,3,4,0,10,0,
3:23:14,1128.036,Lion,15,0,0,0,0,0,0,0,15,15,15,14,14,11,0,0,12,3,4,0,11,0,
