System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
3:16:58,2.37317,Pig,24,24,24,0,0,0,0,0,24,0,0,0,0,0,14,10,14,10,0,0,0,0,
3:17:2,13.31876,Pig,24,23,23,0,0,0,0,0,24,0,0,0,0,0,14,9,14,10,0,0,0,1,
3:17:5,23.29656,Pig,24,22,22,0,0,0,0,0,24,0,0,0,0,0,13,9,14,10,0,0,0,2,
3:17:17,57.33569,Pig,24,21,21,0,0,0,0,0,24,0,0,0,0,0,13,8,14,10,0,0,0,3,
3:17:26,84.96214,Pig,24,20,20,0,0,0,0,0,24,0,0,0,0,0,12,8,14,10,0,0,0,4,
3:17:28,91.7448,Pig,24,19,19,0,0,0,0,0,24,0,0,0,0,0,11,8,14,10,0,0,0,5,
3:17:33,107.2071,Pig,24,19,0,19,0,0,0,0,24,19,0,0,0,0,11,8,14,10,0,0,0,5,
3:17:50,156.2158,Pig,24,19,0,0,19,0,0,0,24,19,19,0,0,0,11,8,14,10,0,0,0,5,
3:17:55,171.9124,Pig,24,18,0,0,18,0,0,0,24,19,19,0,0,0,11,7,14,10,0,0,0,6,
3:17:58,180.5737,Pig,24,17,0,0,17,0,0,0,24,19,19,0,0,0,10,7,14,10,0,0,0,7,
3:18:1,190.435,Pig,27,20,3,0,17,0,0,0,27,19,19,0,0,0,11,9,15,12,0,0,0,7,
3:18:14,229.5671,Pig,27,19,2,0,17,0,0,0,27,19,19,0,0,0,11,8,15,12,0,0,0,8,
3:18:15,233.2111,Pig,27,19,2,0,0,17,0,0,27,19,19,17,0,0,11,8,15,12,0,0,0,8,
3:18:21,250.666,Pig,30,22,5,0,0,17,0,0,30,19,19,17,0,0,13,9,17,13,0,0,0,8,
3:18:28,272.291,Pig,33,25,8,0,0,17,0,0,33,19,19,17,0,0,15,10,19,14,0,0,0,8,
3:18:36,295.4749,Pig,33,25,6,2,0,17,0,0,33,21,19,17,0,0,15,10,19,14,0,0,0,8,
3:18:41,310.16,Pig,33,24,6,1,0,17,0,0,33,21,19,17,0,0,14,10,19,14,0,0,0,9,
3:18:52,344.5029,Pig,33,24,6,0,1,17,0,0,33,21,20,17,0,0,14,10,19,14,0,0,0,9,
3:18:55,351.0785,Pig,36,27,9,0,1,17,0,0,36,21,20,17,0,0,15,12,20,16,0,0,0,9,
3:18:55,352.2157,Pig,36,27,9,0,1,0,17,0,36,21,20,17,17,0,15,12,20,16,0,0,0,9,
3:18:56,355.7125,Pig,36,27,6,3,1,0,17,0,36,24,20,17,17,0,15,12,20,16,0,0,0,9,
3:19:3,377.3726,Pig,36,27,3,6,1,0,17,0,36,27,20,17,17,0,15,12,20,16,0,0,0,9,
3:19:4,379.2112,Pig,36,24,3,6,1,0,14,0,36,27,20,17,17,0,13,11,20,16,2,1,0,9,
3:19:7,389.3076,Pig,36,23,3,6,0,0,14,0,36,27,20,17,17,0,13,10,20,16,2,2,0,9,
3:19:7,389.6606,Pig,39,26,6,6,0,0,14,0,39,27,20,17,17,0,16,10,23,16,2,2,0,9,
3:19:10,396.6027,Pig,39,25,5,6,0,0,14,0,39,27,20,17,17,0,15,10,23,16,2,2,0,10,
3:19:10,397.4921,Pig,42,28,8,6,0,0,14,0,42,27,20,17,17,0,16,12,24,18,2,2,0,10,
3:19:12,404.6833,Pig,42,28,8,3,3,0,14,0,42,27,23,17,17,0,16,12,24,18,2,2,0,10,
3:19:18,421.205,Pig,45,31,11,3,3,0,14,0,45,27,23,17,17,0,18,13,26,19,2,2,0,10,
3:19:20,426.3465,Pig,45,31,11,0,6,0,14,0,45,27,26,17,17,0,18,13,26,19,2,2,0,10,
3:19:22,434.0439,Pig,45,30,11,0,6,0,13,0,45,27,26,17,17,0,18,12,26,19,2,2,0,11,
3:19:23,436.6328,Pig,51,35,14,0,5,0,13,0,48,27,26,17,17,0,20,15,29,22,2,3,0,11,
3:19:23,436.7518,Pig,51,35,17,0,5,0,13,0,51,27,26,17,17,0,20,15,29,22,2,3,0,11,
3:19:30,456.1142,Pig,51,35,14,3,5,0,13,0,51,30,26,17,17,0,20,15,29,22,2,3,0,11,
3:19:32,463.0696,Pig,51,34,14,3,5,0,12,0,51,30,26,17,17,0,20,14,29,22,2,4,0,11,
3:19:35,470.9541,Pig,51,33,13,3,5,0,12,0,51,30,26,17,17,0,20,13,29,22,2,4,0,12,
3:19:35,471.1715,Pig,51,30,13,3,2,0,12,0,51,30,26,17,17,0,18,12,29,22,2,7,0,12,
3:19:35,473.174,Pig,54,33,16,3,2,0,12,0,54,30,26,17,17,0,19,14,30,24,2,7,0,12,
3:19:37,478.1454,Pig,57,36,19,3,2,0,12,0,57,30,26,17,17,0,20,16,31,26,2,7,0,12,
3:19:38,481.6975,Pig,57,36,19,3,0,2,12,0,57,30,26,19,17,0,20,16,31,26,2,7,0,12,
3:19:43,494.7472,Pig,57,36,17,5,0,2,12,0,57,32,26,19,17,0,20,16,31,26,2,7,0,12,
3:19:45,501.676,Pig,60,39,20,5,0,2,12,0,60,32,26,19,17,0,21,18,32,28,2,7,0,12,
3:19:45,502.5226,Pig,60,39,18,7,0,2,12,0,60,34,26,19,17,0,21,18,32,28,2,7,0,12,
3:19:46,505.1389,Pig,60,39,18,4,3,2,12,0,60,34,29,19,17,0,21,18,32,28,2,7,0,12,
3:19:50,516.3075,Pig,60,38,18,3,3,2,12,0,60,34,29,19,17,0,20,18,32,28,2,7,0,13,
