System Time:,Simulation Time:,VegetableType:,CurrentNumber:,
3:58:9,10.02146,Grain,20,
3:58:12,20.0441,Grain,21,
3:58:15,30.12964,Grain,22,
3:58:19,40.28785,Grain,23,
3:58:22,50.31713,Grain,24,
3:58:25,60.3819,Grain,25,
3:58:29,70.52121,Grain,26,
3:58:32,80.57063,Grain,27,
3:58:35,90.61654,Grain,28,
3:58:39,100.6648,Grain,29,
3:58:42,110.7367,Grain,30,
3:58:45,120.7485,Grain,31,
3:58:49,130.7494,Grain,32,
3:58:52,140.7931,Grain,33,
3:58:56,150.8364,Grain,34,
3:58:59,160.875,Grain,35,
3:59:2,170.9419,Grain,36,
3:59:6,180.9758,Grain,37,
3:59:9,191.0469,Grain,38,
3:59:12,201.1634,Grain,39,
3:59:16,211.3083,Grain,40,
3:59:19,221.3724,Grain,41,
3:59:22,231.4296,Grain,42,
3:59:26,241.4686,Grain,43,
3:59:29,251.4905,Grain,44,
3:59:32,261.5311,Grain,45,
3:59:36,271.5375,Grain,46,
3:59:39,281.5397,Grain,47,
3:59:42,291.5768,Grain,48,
3:59:46,301.6888,Grain,49,
3:59:49,311.718,Grain,50,
3:59:52,321.7581,Grain,51,
3:59:56,331.8047,Grain,52,
3:59:59,341.86,Grain,53,
4:0:3,351.8694,Grain,54,
4:0:6,361.895,Grain,55,
4:0:9,371.9241,Grain,56,
4:0:13,381.9849,Grain,57,
4:0:16,392.1141,Grain,57,
4:0:19,402.1902,Grain,58,
4:0:23,412.3321,Grain,59,
4:0:26,422.4157,Grain,60,
4:0:29,432.4199,Grain,61,
4:0:33,442.4387,Grain,62,
4:0:36,452.492,Grain,63,
4:0:39,462.5035,Grain,64,
4:0:43,472.5734,Grain,64,
4:0:46,482.6436,Grain,65,
4:0:49,492.6684,Grain,66,
4:0:53,502.6723,Grain,67,
4:0:56,512.6813,Grain,68,
4:0:59,522.6993,Grain,68,
4:1:3,532.7044,Grain,69,
4:1:6,542.7274,Grain,70,
4:1:9,552.731,Grain,71,
4:1:13,562.7899,Grain,72,
4:1:16,572.8289,Grain,73,
4:1:20,582.8369,Grain,74,
4:1:23,592.9067,Grain,75,
4:1:26,602.9792,Grain,74,
4:1:30,613.0106,Grain,75,
4:1:33,623.0712,Grain,76,
4:1:36,633.1318,Grain,76,
4:1:40,643.1702,Grain,77,
4:1:43,653.1703,Grain,78,
4:1:46,663.2131,Grain,79,
4:1:50,673.2161,Grain,79,
4:1:53,683.2592,Grain,80,
4:1:56,693.3072,Grain,81,
4:2:0,703.3478,Grain,81,
4:2:3,713.3713,Grain,82,
4:2:6,723.4189,Grain,83,
4:2:10,733.4247,Grain,84,
4:2:13,743.4614,Grain,85,
4:2:16,753.4702,Grain,86,
4:2:20,763.5292,Grain,87,
4:2:23,773.5612,Grain,88,
4:2:26,783.5742,Grain,89,
4:2:30,793.5756,Grain,90,
4:2:33,803.6185,Grain,91,
4:2:36,813.6608,Grain,92,
4:2:40,823.6841,Grain,93,
4:2:43,833.7121,Grain,94,
4:2:47,843.7156,Grain,95,
4:2:50,853.7522,Grain,96,
4:2:53,863.7719,Grain,97,
4:2:57,873.8134,Grain,97,
4:3:0,883.8495,Grain,98,
4:3:3,893.9155,Grain,99,
4:3:7,903.9482,Grain,100,
4:3:10,913.9681,Grain,100,
4:3:13,924.0123,Grain,100,
4:3:17,934.0243,Grain,100,
4:3:20,944.0248,Grain,101,
4:3:23,954.0412,Grain,102,
4:3:27,964.0529,Grain,102,
4:3:30,974.1119,Grain,103,
4:3:33,984.1316,Grain,103,
4:3:37,994.194,Grain,104,
4:3:40,1004.219,Grain,105,
4:3:43,1014.245,Grain,106,
4:3:47,1024.276,Grain,106,
4:3:50,1034.328,Grain,106,
4:3:53,1044.352,Grain,107,
4:3:57,1054.377,Grain,108,
4:4:0,1064.401,Grain,109,
4:4:3,1074.425,Grain,110,
4:4:7,1084.465,Grain,111,
4:4:10,1094.471,Grain,112,
4:4:13,1104.524,Grain,113,
4:4:17,1114.562,Grain,114,
4:4:20,1124.594,Grain,115,
4:4:23,1134.608,Grain,116,
4:4:27,1144.644,Grain,117,
4:4:30,1154.67,Grain,118,
4:4:33,1164.671,Grain,119,
4:4:37,1174.758,Grain,120,
4:4:40,1184.776,Grain,121,
4:4:44,1194.806,Grain,122,
4:4:47,1204.832,Grain,123,
4:4:50,1214.955,Grain,124,
4:4:54,1224.974,Grain,125,
4:4:57,1235.017,Grain,126,
4:5:0,1245.031,Grain,127,
4:5:4,1255.035,Grain,128,
4:5:7,1265.075,Grain,129,
4:5:10,1275.082,Grain,130,
4:5:14,1285.174,Grain,130,
4:5:17,1295.179,Grain,131,
4:5:20,1305.181,Grain,132,
4:5:24,1315.182,Grain,133,
4:5:27,1325.185,Grain,134,
