System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
3:58:7,5.252082,Chicken,24,24,24,0,0,0,0,0,24,0,0,0,0,0,13,11,13,11,0,0,0,0,
3:58:12,20.94053,Chicken,24,23,23,0,0,0,0,0,24,0,0,0,0,0,12,11,13,11,0,0,0,1,
3:58:19,42.56287,Chicken,24,23,0,23,0,0,0,0,24,23,0,0,0,0,12,11,13,11,0,0,0,1,
3:58:22,50.11631,Chicken,24,22,0,22,0,0,0,0,24,23,0,0,0,0,12,10,13,11,0,0,0,2,
3:58:32,80.12393,Chicken,24,22,0,0,22,0,0,0,24,23,22,0,0,0,12,10,13,11,0,0,0,2,
3:58:34,86.91783,Chicken,24,21,0,0,21,0,0,0,24,23,22,0,0,0,12,9,13,11,0,0,0,3,
3:58:44,117.6123,Chicken,24,21,0,0,0,21,0,0,24,23,22,21,0,0,12,9,13,11,0,0,0,3,
3:58:56,152.5664,Chicken,27,24,3,0,0,21,0,0,27,23,22,21,0,0,13,11,14,13,0,0,0,3,
3:58:57,156.4075,Chicken,30,27,6,0,0,21,0,0,30,23,22,21,0,0,14,13,15,15,0,0,0,3,
3:59:6,182.1905,Chicken,30,26,6,0,0,20,0,0,30,23,22,21,0,0,13,13,15,15,0,0,0,4,
3:59:9,190.1863,Chicken,30,26,3,3,0,20,0,0,30,26,22,21,0,0,13,13,15,15,0,0,0,4,
3:59:9,192.6062,Chicken,30,26,3,3,0,0,20,0,30,26,22,21,20,0,13,13,15,15,0,0,0,4,
3:59:10,193.9336,Chicken,30,26,0,6,0,0,20,0,30,29,22,21,20,0,13,13,15,15,0,0,0,4,
3:59:13,203.9516,Chicken,30,25,0,6,0,0,19,0,30,29,22,21,20,0,12,13,15,15,0,0,0,5,
3:59:15,209.305,Chicken,30,24,0,6,0,0,18,0,30,29,22,21,20,0,11,13,15,15,0,0,0,6,
3:59:15,210.6407,Chicken,30,23,0,6,0,0,17,0,30,29,22,21,20,0,10,13,15,15,0,0,0,7,
3:59:16,212.1561,Chicken,30,22,0,6,0,0,16,0,30,29,22,21,20,0,10,12,15,15,0,0,0,8,
3:59:20,223.0943,Chicken,30,21,0,6,0,0,15,0,30,29,22,21,20,0,10,11,15,15,0,0,0,9,
3:59:21,227.6211,Chicken,30,21,0,3,3,0,15,0,30,29,25,21,20,0,10,11,15,15,0,0,0,9,
3:59:22,231.4296,Chicken,30,21,0,0,6,0,15,0,30,29,28,21,20,0,10,11,15,15,0,0,0,9,
3:59:24,234.9043,Chicken,30,20,0,0,6,0,14,0,30,29,28,21,20,0,10,10,15,15,0,0,0,10,
3:59:26,243.7299,Chicken,30,18,0,0,6,0,12,0,30,29,28,21,20,0,8,10,15,15,0,2,0,10,
3:59:30,255.6504,Chicken,33,20,3,0,6,0,11,0,33,29,28,21,20,0,9,11,17,16,0,3,0,10,
3:59:31,258.2037,Chicken,36,22,6,0,5,0,11,0,36,29,28,21,20,0,9,13,18,18,0,4,0,10,
3:59:33,262.5213,Chicken,39,24,9,0,4,0,11,0,39,29,28,21,20,0,10,14,20,19,0,5,0,10,
3:59:34,265.1326,Chicken,39,24,9,0,2,2,11,0,39,29,28,23,20,0,10,14,20,19,0,5,0,10,
3:59:35,269.0497,Chicken,39,24,9,0,0,4,11,0,39,29,28,25,20,0,10,14,20,19,0,5,0,10,
3:59:38,277.7418,Chicken,39,23,8,0,0,4,11,0,39,29,28,25,20,0,9,14,20,19,0,5,0,11,
3:59:41,286.3393,Chicken,39,23,8,0,0,4,0,11,39,29,28,25,20,11,9,14,20,19,0,5,0,11,
3:59:41,286.5415,Chicken,39,22,8,0,0,4,0,10,39,29,28,25,20,11,9,13,20,19,0,5,0,12,
3:59:43,293.1803,Chicken,39,22,6,2,0,4,0,10,39,31,28,25,20,11,9,13,20,19,0,5,0,12,
3:59:44,295.7138,Chicken,39,22,3,5,0,4,0,10,39,34,28,25,20,11,9,13,20,19,0,5,0,12,
3:59:44,296.0058,Chicken,39,21,3,5,0,4,0,9,39,34,28,25,20,11,9,12,20,19,0,5,0,13,
3:59:45,300.1288,Chicken,39,21,0,8,0,4,0,9,39,37,28,25,20,11,9,12,20,19,0,5,0,13,
3:59:46,303.3857,Chicken,39,20,0,7,0,4,0,9,39,37,28,25,20,11,8,12,20,19,0,5,0,14,
