System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
3:58:7,5.252082,Cow,24,24,24,0,0,0,0,0,24,0,0,0,0,0,17,7,17,7,0,0,0,0,
3:58:11,17.58617,Cow,24,23,23,0,0,0,0,0,24,0,0,0,0,0,16,7,17,7,0,0,0,1,
3:58:27,65.41595,Cow,24,22,22,0,0,0,0,0,24,0,0,0,0,0,15,7,17,7,0,0,0,2,
3:58:34,85.66724,Cow,24,21,21,0,0,0,0,0,24,0,0,0,0,0,15,6,17,7,0,0,0,3,
3:58:37,95.47632,Cow,24,20,20,0,0,0,0,0,24,0,0,0,0,0,14,6,17,7,0,0,0,4,
3:58:47,125.0801,Cow,24,20,0,20,0,0,0,0,24,20,0,0,0,0,14,6,17,7,0,0,0,4,
3:58:50,135.3967,Cow,24,19,0,19,0,0,0,0,24,20,0,0,0,0,13,6,17,7,0,0,0,5,
3:59:6,181.0862,Cow,24,19,0,0,19,0,0,0,24,20,19,0,0,0,13,6,17,7,0,0,0,5,
3:59:10,195.5245,Cow,24,18,0,0,18,0,0,0,24,20,19,0,0,0,12,6,17,7,0,0,0,6,
3:59:35,269.1467,Cow,24,18,0,0,0,18,0,0,24,20,19,18,0,0,12,6,17,7,0,0,0,6,
3:59:45,299.1018,Cow,25,19,1,0,0,18,0,0,25,20,19,18,0,0,12,7,17,8,0,0,0,6,
4:0:17,395.9188,Cow,25,17,1,0,0,16,0,0,25,20,19,18,0,0,11,6,17,8,2,0,0,6,
4:0:20,405.0968,Cow,25,17,1,0,0,0,16,0,25,20,19,18,16,0,11,6,17,8,2,0,0,6,
4:0:25,419.0865,Cow,25,17,0,1,0,0,16,0,25,21,19,18,16,0,11,6,17,8,2,0,0,6,
4:0:27,425.8927,Cow,26,18,1,1,0,0,16,0,26,21,19,18,16,0,12,6,18,8,2,0,0,6,
4:0:31,438.0848,Cow,26,17,1,1,0,0,15,0,26,21,19,18,16,0,11,6,18,8,2,1,0,6,
4:0:34,447.4578,Cow,27,18,2,1,0,0,15,0,27,21,19,18,16,0,12,6,19,8,2,1,0,6,
4:0:37,454.5698,Cow,28,19,3,1,0,0,15,0,28,21,19,18,16,0,12,7,19,9,2,1,0,6,
4:0:39,462.0163,Cow,29,20,4,1,0,0,15,0,29,21,19,18,16,0,13,7,20,9,2,1,0,6,
4:0:44,475.0859,Cow,29,20,4,0,1,0,15,0,29,21,20,18,16,0,13,7,20,9,2,1,0,6,
4:0:46,480.8553,Cow,29,19,3,0,1,0,15,0,29,21,20,18,16,0,13,6,20,9,2,1,0,7,
4:0:51,497.4977,Cow,30,20,4,0,1,0,15,0,30,21,20,18,16,0,14,6,21,9,2,1,0,7,
4:1:2,529.7748,Cow,30,19,4,0,1,0,14,0,30,21,20,18,16,0,13,6,21,9,2,1,0,8,
4:1:7,545.9231,Cow,30,19,3,1,1,0,14,0,30,22,20,18,16,0,13,6,21,9,2,1,0,8,
4:1:11,557.1,Cow,31,20,4,1,1,0,14,0,31,22,20,18,16,0,13,7,21,10,2,1,0,8,
4:1:13,563.0754,Cow,31,20,4,1,0,1,14,0,31,22,20,19,16,0,13,7,21,10,2,1,0,8,
4:1:14,567.4826,Cow,31,20,3,2,0,1,14,0,31,23,20,19,16,0,13,7,21,10,2,1,0,8,
4:1:19,582.1879,Cow,31,20,2,3,0,1,14,0,31,24,20,19,16,0,13,7,21,10,2,1,0,8,
4:1:21,585.8763,Cow,32,21,3,3,0,1,14,0,32,24,20,19,16,0,14,7,22,10,2,1,0,8,
4:1:24,597.1147,Cow,33,22,4,3,0,1,14,0,33,24,20,19,16,0,14,8,22,11,2,1,0,8,
4:1:24,597.6696,Cow,34,23,5,3,0,1,14,0,34,24,20,19,16,0,15,8,23,11,2,1,0,8,
4:1:26,601.9308,Cow,34,23,5,2,1,1,14,0,34,24,21,19,16,0,15,8,23,11,2,1,0,8,
4:1:27,605.2731,Cow,34,23,5,2,1,1,0,14,34,24,21,19,16,14,15,8,23,11,2,1,0,8,
4:1:30,615.3309,Cow,34,22,5,2,1,1,0,13,34,24,21,19,16,14,15,7,23,11,2,1,1,8,
4:1:31,617.5325,Cow,34,22,4,3,1,1,0,13,34,25,21,19,16,14,15,7,23,11,2,1,1,8,
4:1:33,623.5302,Cow,34,22,4,2,2,1,0,13,34,25,22,19,16,14,15,7,23,11,2,1,1,8,
4:1:35,629.134,Cow,35,23,5,2,2,1,0,13,35,25,22,19,16,14,16,7,24,11,2,1,1,8,
4:1:38,638.2324,Cow,35,23,5,1,3,1,0,13,35,25,23,19,16,14,16,7,24,11,2,1,1,8,
4:1:42,651.5776,Cow,36,24,6,1,3,1,0,13,36,25,23,19,16,14,16,8,24,12,2,1,1,8,
4:1:44,655.5683,Cow,36,22,6,1,3,1,0,11,36,25,23,19,16,14,14,8,24,12,2,1,3,8,
4:1:47,665.6224,Cow,36,18,6,1,3,1,0,7,36,25,23,19,16,14,10,8,24,12,2,1,7,8,
