System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
3:58:7,5.252082,Dog,18,18,18,0,0,0,0,0,18,0,0,0,0,0,10,8,10,8,0,0,0,0,
3:58:39,102.5616,Dog,18,18,0,18,0,0,0,0,18,18,0,0,0,0,10,8,10,8,0,0,0,0,
3:58:55,148.0387,Dog,18,18,0,0,18,0,0,0,18,18,18,0,0,0,10,8,10,8,0,0,0,0,
3:59:4,176.8926,Dog,19,19,1,0,18,0,0,0,19,18,18,0,0,0,10,9,10,9,0,0,0,0,
3:59:5,178.9314,Dog,20,20,2,0,18,0,0,0,20,18,18,0,0,0,11,9,11,9,0,0,0,0,
3:59:18,219.569,Dog,20,20,2,0,0,18,0,0,20,18,18,18,0,0,11,9,11,9,0,0,0,0,
3:59:29,250.1544,Dog,21,21,3,0,0,18,0,0,21,18,18,18,0,0,11,10,11,10,0,0,0,0,
3:59:37,274.4709,Dog,21,21,2,1,0,18,0,0,21,19,18,18,0,0,11,10,11,10,0,0,0,0,
3:59:37,276.4772,Dog,21,21,1,2,0,18,0,0,21,20,18,18,0,0,11,10,11,10,0,0,0,0,
3:59:52,319.9066,Dog,21,21,1,1,1,18,0,0,21,20,19,18,0,0,11,10,11,10,0,0,0,0,
3:59:52,321.4337,Dog,21,20,1,1,1,17,0,0,21,20,19,18,0,0,10,10,11,10,0,1,0,0,
3:59:53,321.9482,Dog,21,20,1,0,2,17,0,0,21,20,20,18,0,0,10,10,11,10,0,1,0,0,
3:59:55,330.0698,Dog,21,20,1,0,2,0,17,0,21,20,20,18,17,0,10,10,11,10,0,1,0,0,
4:0:1,347.71,Dog,21,20,0,1,2,0,17,0,21,21,20,18,17,0,10,10,11,10,0,1,0,0,
4:0:7,365.288,Dog,21,19,0,1,2,0,16,0,21,21,20,18,17,0,9,10,11,10,0,2,0,0,
4:0:12,380.8979,Dog,21,18,0,1,1,0,16,0,21,21,20,18,17,0,8,10,11,10,0,3,0,0,
4:0:16,391.6287,Dog,21,18,0,1,0,1,16,0,21,21,20,19,17,0,8,10,11,10,0,3,0,0,
4:0:16,393.2592,Dog,21,18,0,0,1,1,16,0,21,21,21,19,17,0,8,10,11,10,0,3,0,0,
4:0:22,410.7985,Dog,21,11,0,0,1,1,9,0,21,21,21,19,17,0,4,7,11,10,1,9,0,0,
4:0:36,452.134,Dog,21,10,0,0,0,1,9,0,21,21,21,19,17,0,4,6,11,10,1,10,0,0,
4:0:42,471.4473,Dog,22,11,1,0,0,1,9,0,22,21,21,19,17,0,4,7,11,11,1,10,0,0,
4:0:49,492.588,Dog,22,11,1,0,0,1,0,9,22,21,21,19,17,9,4,7,11,11,1,10,0,0,
4:0:53,501.9164,Dog,22,11,1,0,0,0,1,9,22,21,21,19,18,9,4,7,11,11,1,10,0,0,
4:0:53,502.597,Dog,22,10,1,0,0,0,1,8,22,21,21,19,18,9,3,7,11,11,1,10,1,0,
4:0:56,512.6136,Dog,22,9,1,0,0,0,1,7,22,21,21,19,18,9,3,6,11,11,1,10,2,0,
4:1:3,532.7044,Dog,22,7,1,0,0,0,1,5,22,21,21,19,18,9,2,5,11,11,1,10,4,0,
4:1:6,542.7274,Dog,22,6,1,0,0,0,1,4,22,21,21,19,18,9,1,5,11,11,1,10,5,0,
4:1:9,552.731,Dog,22,4,1,0,0,0,1,2,22,21,21,19,18,9,0,4,11,11,1,10,7,0,
4:1:13,562.7899,Dog,22,3,1,0,0,0,1,1,22,21,21,19,18,9,0,3,11,11,1,10,8,0,
4:1:15,568.9754,Dog,22,3,0,1,0,0,1,1,22,22,21,19,18,9,0,3,11,11,1,10,8,0,
4:1:16,572.8289,Dog,22,2,0,1,0,0,1,0,22,22,21,19,18,9,0,2,11,11,1,10,9,0,
4:1:30,614.5092,Dog,22,2,0,0,1,0,1,0,22,22,22,19,18,9,0,2,11,11,1,10,9,0,
4:1:47,664.4424,Dog,22,2,0,0,1,0,0,1,22,22,22,19,18,10,0,2,11,11,1,10,9,0,
4:1:50,673.4321,Dog,22,1,0,0,0,0,0,1,22,22,22,19,18,10,0,1,11,11,1,11,9,0,
4:2:10,734.8406,Dog,22,0,0,0,0,0,0,0,22,22,22,19,18,10,0,0,11,11,1,11,10,0,
