System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
3:58:7,5.252082,Lion,12,12,12,0,0,0,0,0,12,0,0,0,0,0,7,5,7,5,0,0,0,0,
3:58:42,110.1176,Lion,12,12,0,12,0,0,0,0,12,12,0,0,0,0,7,5,7,5,0,0,0,0,
3:58:58,159.0943,Lion,12,12,0,0,12,0,0,0,12,12,12,0,0,0,7,5,7,5,0,0,0,0,
3:59:24,236.0789,Lion,12,12,0,0,0,12,0,0,12,12,12,12,0,0,7,5,7,5,0,0,0,0,
3:59:36,271.5375,Lion,13,13,1,0,0,12,0,0,13,12,12,12,0,0,8,5,8,5,0,0,0,0,
4:0:4,355.1572,Lion,13,13,1,0,0,0,12,0,13,12,12,12,12,0,8,5,8,5,0,0,0,0,
4:0:11,376.6067,Lion,13,13,0,1,0,0,12,0,13,13,12,12,12,0,8,5,8,5,0,0,0,0,
4:0:13,383.0028,Lion,13,12,0,1,0,0,11,0,13,13,12,12,12,0,7,5,8,5,0,1,0,0,
4:0:20,405.5677,Lion,14,13,1,1,0,0,11,0,14,13,12,12,12,0,8,5,9,5,0,1,0,0,
4:0:27,425.5631,Lion,14,13,1,0,1,0,11,0,14,13,13,12,12,0,8,5,9,5,0,1,0,0,
4:0:30,433.827,Lion,15,14,2,0,1,0,11,0,15,13,13,12,12,0,9,5,10,5,0,1,0,0,
4:0:46,482.2079,Lion,15,13,2,0,0,0,11,0,15,13,13,12,12,0,8,5,10,5,1,1,0,0,
4:0:55,510.579,Lion,15,13,1,1,0,0,11,0,15,14,13,12,12,0,8,5,10,5,1,1,0,0,
4:1:1,526.2392,Lion,16,14,2,1,0,0,11,0,16,14,13,12,12,0,8,6,10,6,1,1,0,0,
4:1:2,530.0491,Lion,16,14,2,1,0,0,0,11,16,14,13,12,12,11,8,6,10,6,1,1,0,0,
4:1:5,538.8409,Lion,16,14,1,2,0,0,0,11,16,15,13,12,12,11,8,6,10,6,1,1,0,0,
4:1:12,559.564,Lion,16,14,1,1,1,0,0,11,16,15,14,12,12,11,8,6,10,6,1,1,0,0,
4:1:12,560.2753,Lion,16,13,1,1,1,0,0,10,16,15,14,12,12,11,8,5,10,6,1,1,1,0,
4:1:13,562.2438,Lion,17,14,2,1,1,0,0,10,17,15,14,12,12,11,9,5,11,6,1,1,1,0,
4:1:19,580.369,Lion,17,13,2,1,1,0,0,9,17,15,14,12,12,11,9,4,11,6,1,1,2,0,
4:1:21,587.8316,Lion,17,13,2,0,2,0,0,9,17,15,15,12,12,11,9,4,11,6,1,1,2,0,
4:1:22,590.3785,Lion,17,12,2,0,2,0,0,8,17,15,15,12,12,11,8,4,11,6,1,1,3,0,
4:1:23,592.4283,Lion,18,13,3,0,2,0,0,8,18,15,15,12,12,11,9,4,12,6,1,1,3,0,
4:1:25,600.4114,Lion,18,9,3,0,2,0,0,4,18,15,15,12,12,11,6,3,12,6,1,1,7,0,
4:1:28,608.1176,Lion,19,10,4,0,2,0,0,4,19,15,15,12,12,11,7,3,13,6,1,1,7,0,
4:1:29,610.4648,Lion,19,9,4,0,2,0,0,3,19,15,15,12,12,11,6,3,13,6,1,1,8,0,
4:1:35,630.5564,Lion,19,7,4,0,2,0,0,1,19,15,15,12,12,11,6,1,13,6,1,1,10,0,
4:1:36,631.2645,Lion,19,7,3,1,2,0,0,1,19,16,15,12,12,11,6,1,13,6,1,1,10,0,
4:1:38,636.7015,Lion,19,7,3,1,1,1,0,1,19,16,15,13,12,11,6,1,13,6,1,1,10,0,
4:1:39,640.5753,Lion,19,6,3,1,1,1,0,0,19,16,15,13,12,11,5,1,13,6,1,1,11,0,
4:1:40,644.4869,Lion,19,5,3,1,0,1,0,0,19,16,15,13,12,11,4,1,13,6,2,1,11,0,
