System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
3:58:7,5.252082,Pig,24,24,24,0,0,0,0,0,24,0,0,0,0,0,13,11,13,11,0,0,0,0,
3:58:10,14.50873,Pig,24,23,23,0,0,0,0,0,24,0,0,0,0,0,12,11,13,11,0,0,0,1,
3:58:11,18.22398,Pig,24,22,22,0,0,0,0,0,24,0,0,0,0,0,12,10,13,11,0,0,0,2,
3:58:19,40.99866,Pig,24,21,21,0,0,0,0,0,24,0,0,0,0,0,11,10,13,11,0,0,0,3,
3:58:19,42.39013,Pig,24,20,20,0,0,0,0,0,24,0,0,0,0,0,11,9,13,11,0,0,0,4,
3:58:21,46.07941,Pig,24,19,19,0,0,0,0,0,24,0,0,0,0,0,10,9,13,11,0,0,0,5,
3:58:26,61.42453,Pig,24,18,18,0,0,0,0,0,24,0,0,0,0,0,9,9,13,11,0,0,0,6,
3:58:27,64.85976,Pig,24,17,17,0,0,0,0,0,24,0,0,0,0,0,8,9,13,11,0,0,0,7,
3:58:39,101.4829,Pig,24,16,16,0,0,0,0,0,24,0,0,0,0,0,8,8,13,11,0,0,0,8,
3:58:42,110.1176,Pig,24,16,0,16,0,0,0,0,24,16,0,0,0,0,8,8,13,11,0,0,0,8,
3:58:55,150.0636,Pig,24,15,0,15,0,0,0,0,24,16,0,0,0,0,8,7,13,11,0,0,0,9,
3:58:58,159.0943,Pig,24,15,0,0,15,0,0,0,24,16,15,0,0,0,8,7,13,11,0,0,0,9,
3:59:8,188.5859,Pig,24,14,0,0,14,0,0,0,24,16,15,0,0,0,7,7,13,11,0,0,0,10,
3:59:24,236.0789,Pig,24,14,0,0,0,14,0,0,24,16,15,14,0,0,7,7,13,11,0,0,0,10,
3:59:34,266.5837,Pig,24,13,0,0,0,13,0,0,24,16,15,14,0,0,6,7,13,11,0,0,0,11,
3:59:49,311.4074,Pig,27,16,3,0,0,13,0,0,27,16,15,14,0,0,6,10,13,14,0,0,0,11,
3:59:56,333.5802,Pig,27,15,3,0,0,12,0,0,27,16,15,14,0,0,6,9,13,14,0,0,0,12,
4:0:1,348.4543,Pig,27,14,2,0,0,12,0,0,27,16,15,14,0,0,6,8,13,14,0,0,0,13,
4:0:4,355.1572,Pig,27,14,2,0,0,0,12,0,27,16,15,14,12,0,6,8,13,14,0,0,0,13,
4:0:4,357.587,Pig,30,17,5,0,0,0,12,0,30,16,15,14,12,0,7,10,14,16,0,0,0,13,
4:0:13,382.1273,Pig,30,15,5,0,0,0,10,0,30,16,15,14,12,0,5,10,14,16,0,2,0,13,
4:0:14,386.3189,Pig,30,14,5,0,0,0,9,0,30,16,15,14,12,0,5,9,14,16,0,2,0,14,
4:0:24,416.3645,Pig,30,14,3,2,0,0,9,0,30,18,15,14,12,0,5,9,14,16,0,2,0,14,
4:0:28,429.7708,Pig,33,17,6,2,0,0,9,0,33,18,15,14,12,0,7,10,16,17,0,2,0,14,
4:0:38,457.2429,Pig,36,20,9,2,0,0,9,0,36,18,15,14,12,0,8,12,17,19,0,2,0,14,
4:0:39,462.5905,Pig,36,20,6,5,0,0,9,0,36,21,15,14,12,0,8,12,17,19,0,2,0,14,
4:0:40,465.3641,Pig,36,20,6,3,2,0,9,0,36,21,17,14,12,0,8,12,17,19,0,2,0,14,
4:0:44,476.2133,Pig,36,19,5,3,2,0,9,0,36,21,17,14,12,0,8,11,17,19,0,2,0,15,
4:0:55,510.1739,Pig,36,17,5,3,0,0,9,0,36,21,17,14,12,0,8,9,17,19,0,4,0,15,
4:0:56,511.6024,Pig,36,17,5,0,3,0,9,0,36,21,20,14,12,0,8,9,17,19,0,4,0,15,
4:1:2,530.0491,Pig,36,17,5,0,3,0,0,9,36,21,20,14,12,9,8,9,17,19,0,4,0,15,
4:1:3,534.8112,Pig,36,17,2,3,3,0,0,9,36,24,20,14,12,9,8,9,17,19,0,4,0,15,
4:1:5,539.4741,Pig,39,20,5,3,3,0,0,9,39,24,20,14,12,9,10,10,19,20,0,4,0,15,
4:1:5,540.127,Pig,39,19,5,3,3,0,0,8,39,24,20,14,12,9,9,10,19,20,0,4,1,15,
4:1:11,556.4319,Pig,39,16,5,3,0,0,0,8,39,24,20,14,12,9,8,8,19,20,0,7,1,15,
4:1:13,562.2438,Pig,39,16,3,5,0,0,0,8,39,26,20,14,12,9,8,8,19,20,0,7,1,15,
4:1:20,583.8014,Pig,39,16,3,2,3,0,0,8,39,26,23,14,12,9,8,8,19,20,0,7,1,15,
4:1:22,589.8614,Pig,39,15,3,2,3,0,0,7,39,26,23,14,12,9,8,7,19,20,0,7,1,16,
4:1:25,600.4114,Pig,39,13,3,2,3,0,0,5,39,26,23,14,12,9,6,7,19,20,0,7,3,16,
4:1:29,610.4648,Pig,39,11,3,2,3,0,0,3,39,26,23,14,12,9,5,6,19,20,0,7,5,16,
4:1:29,611.2602,Pig,39,11,3,0,5,0,0,3,39,26,25,14,12,9,5,6,19,20,0,7,5,16,
4:1:32,620.4849,Pig,39,9,3,0,5,0,0,1,39,26,25,14,12,9,5,4,19,20,0,7,7,16,
4:1:35,628.689,Pig,39,6,3,0,2,0,0,1,39,26,25,14,12,9,3,3,19,20,0,10,7,16,
4:1:40,644.4869,Pig,39,6,0,3,2,0,0,1,39,29,25,14,12,9,3,3,19,20,0,10,7,16,
4:1:44,656.0578,Pig,39,5,0,3,1,0,0,1,39,29,25,14,12,9,3,2,19,20,0,11,7,16,
4:1:45,660.6665,Pig,39,4,0,3,1,0,0,0,39,29,25,14,12,9,3,1,19,20,0,11,8,16,
4:1:55,688.2156,Pig,39,4,0,3,0,1,0,0,39,29,25,15,12,9,3,1,19,20,0,11,8,16,
4:1:57,693.6836,Pig,39,4,0,0,3,1,0,0,39,29,28,15,12,9,3,1,19,20,0,11,8,16,
4:2:11,738.3372,Pig,39,2,0,0,1,1,0,0,39,29,28,15,12,9,1,1,19,20,2,11,8,16,
4:2:13,743.7861,Pig,42,5,3,0,1,1,0,0,42,29,28,15,12,9,4,1,22,20,2,11,8,16,
4:2:22,770.4642,Pig,42,5,3,0,0,2,0,0,42,29,28,16,12,9,4,1,22,20,2,11,8,16,
4:2:27,785.0587,Pig,42,4,2,0,0,2,0,0,42,29,28,16,12,9,3,1,22,20,2,11,8,17,
4:2:34,807.2386,Pig,42,4,2,0,0,1,1,0,42,29,28,16,13,9,3,1,22,20,2,11,8,17,
4:2:40,825.6672,Pig,45,7,5,0,0,1,1,0,45,29,28,16,13,9,4,3,23,22,2,11,8,17,
4:2:48,848.813,Pig,45,7,3,2,0,1,1,0,45,31,28,16,13,9,4,3,23,22,2,11,8,17,
