System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
17:22:37,1.750392,Fox,18,18,18,0,0,0,0,0,18,0,0,0,0,0,13,5,13,5,0,0,0,0,
17:23:4,84.0304,Fox,18,18,0,18,0,0,0,0,18,18,0,0,0,0,13,5,13,5,0,0,0,0,
17:23:17,122.5418,Fox,18,18,0,0,18,0,0,0,18,18,18,0,0,0,13,5,13,5,0,0,0,0,
17:23:36,179.1491,Fox,20,20,2,0,18,0,0,0,20,18,18,0,0,0,14,6,14,6,0,0,0,0,
17:23:37,183.0705,Fox,20,20,2,0,0,18,0,0,20,18,18,18,0,0,14,6,14,6,0,0,0,0,
17:24:2,257.3274,Fox,22,22,4,0,0,18,0,0,22,18,18,18,0,0,15,7,15,7,0,0,0,0,
17:24:3,261.7757,Fox,22,22,2,2,0,18,0,0,22,20,18,18,0,0,15,7,15,7,0,0,0,0,
17:24:8,276.6483,Fox,22,22,2,2,0,0,18,0,22,20,18,18,18,0,15,7,15,7,0,0,0,0,
17:24:16,300.2562,Fox,22,22,2,0,2,0,18,0,22,20,20,18,18,0,15,7,15,7,0,0,0,0,
17:24:29,338.3627,Fox,24,24,4,0,2,0,18,0,24,20,20,18,18,0,16,8,16,8,0,0,0,0,
17:24:29,339.9135,Fox,24,24,2,2,2,0,18,0,24,22,20,18,18,0,16,8,16,8,0,0,0,0,
17:24:36,360.6628,Fox,24,24,2,2,0,2,18,0,24,22,20,20,18,0,16,8,16,8,0,0,0,0,
17:24:38,364.6046,Fox,26,26,4,2,0,2,18,0,26,22,20,20,18,0,18,8,18,8,0,0,0,0,
17:24:40,371.2878,Fox,26,25,4,2,0,1,18,0,26,22,20,20,18,0,17,8,18,8,1,0,0,0,
17:24:42,378.3409,Fox,26,25,4,0,2,1,18,0,26,22,22,20,18,0,17,8,18,8,1,0,0,0,
17:24:48,396.6461,Fox,26,20,4,0,2,1,13,0,26,22,22,20,18,0,14,6,18,8,2,4,0,0,
17:24:54,412.336,Fox,28,22,6,0,2,1,13,0,28,22,22,20,18,0,16,6,20,8,2,4,0,0,
17:24:54,414.1066,Fox,28,22,6,0,2,1,0,13,28,22,22,20,18,13,16,6,20,8,2,4,0,0,
17:24:54,414.3612,Fox,30,24,8,0,2,1,0,13,30,22,22,20,18,13,17,7,21,9,2,4,0,0,
17:24:56,420.856,Fox,30,24,6,2,2,1,0,13,30,24,22,20,18,13,17,7,21,9,2,4,0,0,
17:24:58,424.1215,Fox,30,23,6,2,2,1,0,12,30,24,22,20,18,13,16,7,21,9,2,4,1,0,
17:25:2,438.8473,Fox,30,23,6,2,0,3,0,12,30,24,22,22,18,13,16,7,21,9,2,4,1,0,
17:25:4,444.2651,Fox,30,21,6,2,0,3,0,10,30,24,22,22,18,13,14,7,21,9,2,4,3,0,
17:25:5,447.1515,Fox,30,21,4,4,0,3,0,10,30,26,22,22,18,13,14,7,21,9,2,4,3,0,
17:25:8,454.2013,Fox,30,21,4,4,0,2,1,10,30,26,22,22,19,13,14,7,21,9,2,4,3,0,
17:25:9,459.3875,Fox,30,21,4,2,2,2,1,10,30,26,24,22,19,13,14,7,21,9,2,4,3,0,
17:25:11,464.3589,Fox,30,16,4,2,2,2,1,5,30,26,24,22,19,13,11,5,21,9,2,4,8,0,
17:25:18,484.4427,Fox,30,14,4,2,2,2,1,3,30,26,24,22,19,13,9,5,21,9,2,4,10,0,
17:25:18,485.6131,Fox,30,14,4,0,4,2,1,3,30,26,26,22,19,13,9,5,21,9,2,4,10,0,
17:25:19,488.6827,Fox,32,16,6,0,4,2,1,3,32,26,26,22,19,13,11,5,23,9,2,4,10,0,
17:25:21,494.4698,Fox,32,15,6,0,4,2,1,2,32,26,26,22,19,13,10,5,23,9,2,4,11,0,
17:25:21,494.9248,Fox,32,15,4,2,4,2,1,2,32,28,26,22,19,13,10,5,23,9,2,4,11,0,
17:25:22,496.8707,Fox,32,15,2,4,4,2,1,2,32,30,26,22,19,13,10,5,23,9,2,4,11,0,
17:25:24,504.4982,Fox,32,14,2,4,4,2,1,1,32,30,26,22,19,13,9,5,23,9,2,4,12,0,
17:25:29,519.9362,Fox,32,14,2,4,2,4,1,1,32,30,26,24,19,13,9,5,23,9,2,4,12,0,
17:25:31,524.6099,Fox,32,13,2,4,2,4,1,0,32,30,26,24,19,13,9,4,23,9,2,4,13,0,
17:25:34,532.3718,Fox,32,13,2,4,2,2,3,0,32,30,26,24,21,13,9,4,23,9,2,4,13,0,
17:25:34,533.3923,Fox,32,13,2,2,4,2,3,0,32,30,28,24,21,13,9,4,23,9,2,4,13,0,
17:25:35,535.387,Fox,32,13,2,0,6,2,3,0,32,30,30,24,21,13,9,4,23,9,2,4,13,0,
