System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
17:22:37,1.750392,Lion,12,12,12,0,0,0,0,0,12,0,0,0,0,0,4,8,4,8,0,0,0,0,
17:23:12,106.5966,Lion,12,12,0,12,0,0,0,0,12,12,0,0,0,0,4,8,4,8,0,0,0,0,
17:23:28,155.5915,Lion,12,12,0,0,12,0,0,0,12,12,12,0,0,0,4,8,4,8,0,0,0,0,
17:23:54,232.589,Lion,12,12,0,0,0,12,0,0,12,12,12,12,0,0,4,8,4,8,0,0,0,0,
17:24:3,261.3873,Lion,13,13,1,0,0,12,0,0,13,12,12,12,0,0,4,9,4,9,0,0,0,0,
17:24:22,316.659,Lion,14,14,2,0,0,12,0,0,14,12,12,12,0,0,5,9,5,9,0,0,0,0,
17:24:31,343.0658,Lion,15,14,3,0,0,11,0,0,15,12,12,12,0,0,5,9,6,9,1,0,0,0,
17:24:33,351.5928,Lion,15,14,3,0,0,0,11,0,15,12,12,12,11,0,5,9,6,9,1,0,0,0,
17:24:38,366.4166,Lion,15,14,2,1,0,0,11,0,15,13,12,12,11,0,5,9,6,9,1,0,0,0,
17:24:55,415.3997,Lion,15,14,2,0,1,0,11,0,15,13,13,12,11,0,5,9,6,9,1,0,0,0,
17:24:57,421.6791,Lion,15,14,1,1,1,0,11,0,15,14,13,12,11,0,5,9,6,9,1,0,0,0,
17:24:58,425.0151,Lion,15,10,1,1,1,0,7,0,15,14,13,12,11,0,5,5,6,9,4,1,0,0,
17:25:6,448.1767,Lion,15,10,0,2,1,0,7,0,15,15,13,12,11,0,5,5,6,9,4,1,0,0,
17:25:13,470.6838,Lion,15,10,0,1,2,0,7,0,15,15,14,12,11,0,5,5,6,9,4,1,0,0,
17:25:20,492.3988,Lion,15,10,0,1,1,1,7,0,15,15,14,13,11,0,5,5,6,9,4,1,0,0,
17:25:22,497.0623,Lion,15,10,0,0,2,1,7,0,15,15,15,13,11,0,5,5,6,9,4,1,0,0,
17:25:32,526.576,Lion,15,10,0,0,2,1,0,7,15,15,15,13,11,7,5,5,6,9,4,1,0,0,
17:25:35,536.6396,Lion,15,8,0,0,2,1,0,5,15,15,15,13,11,7,4,4,6,9,4,1,2,0,
17:25:39,547.6841,Lion,15,8,0,0,1,2,0,5,15,15,15,14,11,7,4,4,6,9,4,1,2,0,
17:25:45,566.8923,Lion,15,7,0,0,1,2,0,4,15,15,15,14,11,7,3,4,6,9,4,1,3,0,
17:25:48,574.1194,Lion,15,7,0,0,0,3,0,4,15,15,15,15,11,7,3,4,6,9,4,1,3,0,
17:25:52,586.9818,Lion,15,5,0,0,0,3,0,2,15,15,15,15,11,7,3,2,6,9,4,1,5,0,
17:25:55,597.0234,Lion,15,3,0,0,0,3,0,0,15,15,15,15,11,7,2,1,6,9,4,1,7,0,
17:26:0,611.3655,Lion,15,3,0,0,0,2,1,0,15,15,15,15,12,7,2,1,6,9,4,1,7,0,
17:26:18,666.663,Lion,15,3,0,0,0,1,2,0,15,15,15,15,13,7,2,1,6,9,4,1,7,0,
17:26:27,693.0784,Lion,15,3,0,0,0,0,3,0,15,15,15,15,14,7,2,1,6,9,4,1,7,0,
17:26:58,786.3005,Lion,15,3,0,0,0,0,2,1,15,15,15,15,14,8,2,1,6,9,4,1,7,0,
17:27:17,841.6674,Lion,15,3,0,0,0,0,1,2,15,15,15,15,14,9,2,1,6,9,4,1,7,0,
17:27:22,856.606,Lion,15,2,0,0,0,0,1,1,15,15,15,15,14,9,2,0,6,9,4,1,8,0,
17:27:26,868.1176,Lion,15,2,0,0,0,0,0,2,15,15,15,15,14,10,2,0,6,9,4,1,8,0,
17:27:30,881.7804,Lion,15,1,0,0,0,0,0,1,15,15,15,15,14,10,1,0,6,9,4,1,9,0,
17:27:59,968.3292,Lion,15,0,0,0,0,0,0,0,15,15,15,15,14,10,0,0,6,9,4,1,10,0,
