System Time:,Simulation Time:,VegetableType:,CurrentNumber:,
19:4:1,10.073,Grain,20,
19:4:4,20.12584,Grain,21,
19:4:8,30.14773,Grain,22,
19:4:11,40.22506,Grain,23,
19:4:14,50.23625,Grain,24,
19:4:18,60.33067,Grain,25,
19:4:21,70.37965,Grain,26,
19:4:24,80.42508,Grain,27,
19:4:28,90.43296,Grain,28,
19:4:31,100.4754,Grain,29,
19:4:34,110.5207,Grain,29,
19:4:38,120.581,Grain,30,
19:4:41,130.6079,Grain,31,
19:4:44,140.6502,Grain,32,
19:4:48,150.6592,Grain,33,
19:4:51,160.6852,Grain,34,
19:4:54,170.7427,Grain,34,
19:4:58,180.7792,Grain,35,
19:5:1,190.7815,Grain,35,
19:5:4,200.8315,Grain,36,
19:5:8,210.9071,Grain,37,
19:5:11,220.9774,Grain,38,
19:5:15,231.0181,Grain,39,
19:5:18,241.0759,Grain,40,
19:5:21,251.1143,Grain,41,
19:5:25,261.1495,Grain,42,
19:5:28,271.1503,Grain,43,
19:5:31,281.1844,Grain,44,
19:5:35,291.1884,Grain,45,
19:5:38,301.1924,Grain,45,
19:5:41,311.2414,Grain,46,
19:5:45,321.3275,Grain,47,
19:5:48,331.4302,Grain,48,
19:5:51,341.4989,Grain,48,
19:5:55,351.503,Grain,49,
19:5:58,361.5681,Grain,50,
19:6:1,371.5897,Grain,51,
19:6:5,381.6283,Grain,52,
19:6:8,391.672,Grain,53,
19:6:11,401.7014,Grain,53,
19:6:15,411.7624,Grain,53,
19:6:18,421.8516,Grain,54,
19:6:21,431.8654,Grain,55,
19:6:25,441.8755,Grain,56,
19:6:28,451.9529,Grain,57,
19:6:32,461.9689,Grain,58,
19:6:35,472.0237,Grain,59,
19:6:38,482.0721,Grain,60,
19:6:42,492.145,Grain,61,
19:6:45,502.2108,Grain,62,
19:6:48,512.3096,Grain,63,
19:6:52,522.365,Grain,64,
19:6:55,532.4098,Grain,65,
19:6:58,542.4931,Grain,66,
19:7:2,552.5816,Grain,67,
19:7:5,562.6113,Grain,68,
19:7:8,572.627,Grain,67,
19:7:12,582.6495,Grain,68,
19:7:15,592.7,Grain,68,
19:7:19,602.7881,Grain,69,
19:7:22,612.8807,Grain,70,
19:7:25,622.9404,Grain,70,
19:7:29,632.976,Grain,71,
19:7:32,642.9765,Grain,72,
19:7:35,653.0019,Grain,73,
19:7:39,663.0033,Grain,74,
19:7:42,673.0155,Grain,75,
19:7:45,683.0372,Grain,76,
19:7:49,693.0648,Grain,77,
19:7:52,703.0875,Grain,77,
19:7:55,713.1501,Grain,78,
19:7:59,723.1526,Grain,79,
19:8:2,733.197,Grain,80,
19:8:5,743.2261,Grain,81,
19:8:9,753.2692,Grain,82,
19:8:12,763.2695,Grain,82,
19:8:15,773.2797,Grain,82,
19:8:19,783.2999,Grain,83,
19:8:22,793.3717,Grain,84,
19:8:25,803.3915,Grain,85,
19:8:29,813.3936,Grain,86,
19:8:32,823.4373,Grain,87,
19:8:35,833.4653,Grain,88,
19:8:39,843.4908,Grain,87,
19:8:42,853.5394,Grain,87,
19:8:45,863.56,Grain,88,
19:8:49,873.6078,Grain,89,
19:8:52,883.6538,Grain,89,
19:8:56,893.7098,Grain,89,
19:8:59,903.7207,Grain,90,
19:9:2,913.763,Grain,91,
19:9:6,923.7927,Grain,92,
19:9:9,933.8559,Grain,93,
19:9:12,943.8636,Grain,94,
19:9:16,953.9058,Grain,95,
19:9:19,963.9309,Grain,96,
19:9:22,973.9929,Grain,97,
19:9:26,984.0408,Grain,98,
19:9:29,994.082,Grain,99,
19:9:32,1004.13,Grain,100,
19:9:36,1014.163,Grain,101,
19:9:39,1024.2,Grain,102,
19:9:42,1034.211,Grain,103,
19:9:46,1044.278,Grain,104,
19:9:49,1054.302,Grain,105,
19:9:52,1064.355,Grain,106,
19:9:56,1074.409,Grain,106,
19:9:59,1084.434,Grain,107,
19:10:2,1094.449,Grain,108,
19:10:6,1104.487,Grain,108,
19:10:9,1114.497,Grain,108,
19:10:12,1124.535,Grain,108,
19:10:16,1134.579,Grain,109,
19:10:19,1144.584,Grain,109,
19:10:23,1154.668,Grain,107,
19:10:26,1164.716,Grain,108,
19:10:29,1174.784,Grain,108,
19:10:33,1184.786,Grain,108,
19:10:36,1194.834,Grain,108,
19:10:39,1204.848,Grain,109,
19:10:43,1214.849,Grain,110,
19:10:46,1224.875,Grain,108,
19:10:49,1234.911,Grain,109,
19:10:53,1244.981,Grain,110,
19:10:56,1255.002,Grain,111,
19:10:59,1265.041,Grain,112,
19:11:3,1275.084,Grain,112,
19:11:6,1285.141,Grain,111,
19:11:9,1295.195,Grain,111,
19:11:13,1305.251,Grain,111,
19:11:16,1315.308,Grain,110,
19:11:19,1325.348,Grain,110,
19:11:23,1335.385,Grain,111,
19:11:26,1345.424,Grain,112,
19:11:29,1355.53,Grain,112,
19:11:33,1365.627,Grain,112,
19:11:36,1375.644,Grain,113,
19:11:40,1385.698,Grain,113,
19:11:43,1395.747,Grain,113,
19:11:46,1405.797,Grain,112,
19:11:50,1415.894,Grain,113,
19:11:53,1425.975,Grain,114,
19:11:56,1436.001,Grain,113,
19:12:0,1446.027,Grain,113,
19:12:3,1456.057,Grain,114,
19:12:6,1466.093,Grain,111,
19:12:10,1476.163,Grain,112,
19:12:13,1486.201,Grain,112,
19:12:16,1496.289,Grain,113,
19:12:20,1506.401,Grain,114,
19:12:23,1516.426,Grain,115,
19:12:26,1526.547,Grain,113,
19:12:30,1536.601,Grain,114,
19:12:33,1546.737,Grain,111,
