System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
19:03:59,3.340582,Chicken,24,24,24,0,0,0,0,0,24,0,0,0,0,0,13,11,13,11,0,0,0,0
19:04:08,31.3423,Chicken,24,23,23,0,0,0,0,0,24,0,0,0,0,0,12,11,13,11,0,0,0,1
19:04:11,40.71281,Chicken,24,23,0,23,0,0,0,0,24,23,0,0,0,0,12,11,13,11,0,0,0,1
19:04:24,78.13128,Chicken,24,23,0,0,23,0,0,0,24,23,23,0,0,0,12,11,13,11,0,0,0,1
19:04:36,115.6542,Chicken,24,23,0,0,0,23,0,0,24,23,23,23,0,0,12,11,13,11,0,0,0,1
19:04:37,118.8253,Chicken,24,22,0,0,0,22,0,0,24,23,23,23,0,0,12,10,13,11,0,0,0,2
19:04:54,169.4879,Chicken,27,25,3,0,0,22,0,0,27,23,23,23,0,0,12,13,13,14,0,0,0,2
19:05:00,187.7939,Chicken,27,24,2,0,0,22,0,0,27,23,23,23,0,0,12,12,13,14,0,0,0,3
19:05:01,190.6899,Chicken,27,24,2,0,0,0,22,0,27,23,23,23,22,0,12,12,13,14,0,0,0,3
19:05:02,192.5758,Chicken,30,27,5,0,0,0,22,0,30,23,23,23,22,0,14,13,15,15,0,0,0,3
19:05:05,202.5462,Chicken,30,26,5,0,0,0,21,0,30,23,23,23,22,0,13,13,15,15,0,0,0,4
19:05:07,207.0106,Chicken,30,26,3,2,0,0,21,0,30,25,23,23,22,0,13,13,15,15,0,0,0,4
19:05:11,221.712,Chicken,30,24,3,2,0,0,19,0,30,25,23,23,22,0,11,13,15,15,0,0,0,6
19:05:12,224.7641,Chicken,30,23,3,2,0,0,18,0,30,25,23,23,22,0,11,12,15,15,0,0,0,7
19:05:14,230.108,Chicken,30,23,0,5,0,0,18,0,30,28,23,23,22,0,11,12,15,15,0,0,0,7
