System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
19:3:59,3.340582,Cow,24,24,24,0,0,0,0,0,24,0,0,0,0,0,12,12,12,12,0,0,0,0,
19:4:10,36.19738,Cow,24,23,23,0,0,0,0,0,24,0,0,0,0,0,12,11,12,12,0,0,0,1,
19:4:16,55.19182,Cow,24,22,22,0,0,0,0,0,24,0,0,0,0,0,12,10,12,12,0,0,0,2,
19:4:39,123.1359,Cow,24,22,0,22,0,0,0,0,24,22,0,0,0,0,12,10,12,12,0,0,0,2,
19:4:48,151.3266,Cow,24,21,0,21,0,0,0,0,24,22,0,0,0,0,11,10,12,12,0,0,0,3,
19:4:57,179.1562,Cow,24,21,0,0,21,0,0,0,24,22,21,0,0,0,11,10,12,12,0,0,0,3,
19:5:10,216.8402,Cow,25,22,1,0,21,0,0,0,25,22,21,0,0,0,11,11,12,13,0,0,0,3,
19:5:27,267.1884,Cow,25,22,1,0,0,21,0,0,25,22,21,21,0,0,11,11,12,13,0,0,0,3,
19:5:28,270.336,Cow,26,23,2,0,0,21,0,0,26,22,21,21,0,0,12,11,13,13,0,0,0,3,
19:5:30,277.3491,Cow,26,22,2,0,0,20,0,0,26,22,21,21,0,0,11,11,13,13,0,0,0,4,
19:5:42,313.8092,Cow,27,23,3,0,0,20,0,0,27,22,21,21,0,0,12,11,14,13,0,0,0,4,
19:5:43,315.7813,Cow,28,24,4,0,0,20,0,0,28,22,21,21,0,0,12,12,14,14,0,0,0,4,
19:5:43,316.3969,Cow,29,25,5,0,0,20,0,0,29,22,21,21,0,0,13,12,15,14,0,0,0,4,
19:5:50,336.8659,Cow,29,25,4,1,0,20,0,0,29,23,21,21,0,0,13,12,15,14,0,0,0,4,
19:6:8,390.4277,Cow,29,25,3,2,0,20,0,0,29,24,21,21,0,0,13,12,15,14,0,0,0,4,
19:6:8,392.9417,Cow,29,25,3,1,1,20,0,0,29,24,22,21,0,0,13,12,15,14,0,0,0,4,
19:6:9,394.0257,Cow,29,22,3,1,1,17,0,0,29,24,22,21,0,0,12,10,15,14,0,3,0,4,
19:6:12,403.1777,Cow,29,22,3,1,1,0,17,0,29,24,22,21,17,0,12,10,15,14,0,3,0,4,
19:6:13,407.1688,Cow,30,23,4,1,1,0,17,0,30,24,22,21,17,0,12,11,15,15,0,3,0,4,
19:6:22,433.877,Cow,30,23,3,2,1,0,17,0,30,25,22,21,17,0,12,11,15,15,0,3,0,4,
19:6:23,435.794,Cow,30,23,2,3,1,0,17,0,30,26,22,21,17,0,12,11,15,15,0,3,0,4,
