System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
19:3:59,3.340582,Dog,18,18,18,0,0,0,0,0,18,0,0,0,0,0,10,8,10,8,0,0,0,0,
19:4:31,100.6252,Dog,18,18,0,18,0,0,0,0,18,18,0,0,0,0,10,8,10,8,0,0,0,0,
19:4:46,146.1413,Dog,18,18,0,0,18,0,0,0,18,18,18,0,0,0,10,8,10,8,0,0,0,0,
19:4:56,176.8388,Dog,19,19,1,0,18,0,0,0,19,18,18,0,0,0,10,9,10,9,0,0,0,0,
19:5:10,217.6508,Dog,19,19,1,0,0,18,0,0,19,18,18,18,0,0,10,9,10,9,0,0,0,0,
19:5:21,251.8875,Dog,20,20,2,0,0,18,0,0,20,18,18,18,0,0,11,9,11,9,0,0,0,0,
19:5:22,254.515,Dog,21,21,3,0,0,18,0,0,21,18,18,18,0,0,12,9,12,9,0,0,0,0,
19:5:29,274.3496,Dog,21,21,2,1,0,18,0,0,21,19,18,18,0,0,12,9,12,9,0,0,0,0,
19:5:29,274.8351,Dog,22,22,3,1,0,18,0,0,22,19,18,18,0,0,12,10,12,10,0,0,0,0,
19:5:39,305.0974,Dog,23,23,4,1,0,18,0,0,23,19,18,18,0,0,13,10,13,10,0,0,0,0,
19:5:42,313.0276,Dog,24,24,5,1,0,18,0,0,24,19,18,18,0,0,13,11,13,11,0,0,0,0,
19:5:44,319.5431,Dog,24,23,5,1,0,17,0,0,24,19,18,18,0,0,12,11,13,11,0,1,0,0,
19:5:44,319.8699,Dog,24,23,5,0,1,17,0,0,24,19,19,18,0,0,12,11,13,11,0,1,0,0,
19:5:47,328.1808,Dog,24,23,5,0,1,0,17,0,24,19,19,18,17,0,12,11,13,11,0,1,0,0,
19:5:47,329.1905,Dog,25,24,6,0,1,0,17,0,25,19,19,18,17,0,13,11,14,11,0,1,0,0,
19:5:54,349.4029,Dog,25,24,5,1,1,0,17,0,25,20,19,18,17,0,13,11,14,11,0,1,0,0,
19:5:55,352.0734,Dog,25,24,4,2,1,0,17,0,25,21,19,18,17,0,13,11,14,11,0,1,0,0,
19:5:59,363.3881,Dog,25,23,4,2,1,0,16,0,25,21,19,18,17,0,12,11,14,11,0,2,0,0,
19:6:2,372.3529,Dog,25,23,3,3,1,0,16,0,25,22,19,18,17,0,12,11,14,11,0,2,0,0,
19:6:4,378.7921,Dog,25,22,3,3,0,0,16,0,25,22,19,18,17,0,12,10,14,11,0,3,0,0,
19:6:9,394.9771,Dog,25,22,3,2,1,0,16,0,25,22,20,18,17,0,12,10,14,11,0,3,0,0,
19:6:9,395.2934,Dog,26,23,4,2,1,0,16,0,26,22,20,18,17,0,13,10,15,11,0,3,0,0,
19:6:10,397.4985,Dog,26,23,4,1,2,0,16,0,26,22,21,18,17,0,13,10,15,11,0,3,0,0,
19:6:12,402.6052,Dog,26,23,3,2,2,0,16,0,26,23,21,18,17,0,13,10,15,11,0,3,0,0,
19:6:14,408.8127,Dog,26,19,3,2,2,0,12,0,26,23,21,18,17,0,11,8,15,11,0,7,0,0,
19:6:14,410.5102,Dog,26,19,2,3,2,0,12,0,26,24,21,18,17,0,11,8,15,11,0,7,0,0,
19:6:15,412.3419,Dog,27,20,3,3,2,0,12,0,27,24,21,18,17,0,11,9,15,12,0,7,0,0,
19:6:17,417.8177,Dog,27,20,3,2,3,0,12,0,27,24,22,18,17,0,11,9,15,12,0,7,0,0,
19:6:20,426.7461,Dog,27,20,2,3,3,0,12,0,27,25,22,18,17,0,11,9,15,12,0,7,0,0,
19:6:27,448.1341,Dog,27,20,2,2,4,0,12,0,27,25,23,18,17,0,11,9,15,12,0,7,0,0,
19:6:27,449.298,Dog,28,21,3,2,4,0,12,0,28,25,23,18,17,0,11,10,15,13,0,7,0,0,
19:6:29,453.8131,Dog,28,20,3,2,3,0,12,0,28,25,23,18,17,0,10,10,15,13,0,8,0,0,
19:6:30,456.0565,Dog,28,20,3,1,4,0,12,0,28,25,24,18,17,0,10,10,15,13,0,8,0,0,
19:6:34,469.0005,Dog,28,20,3,1,3,1,12,0,28,25,24,19,17,0,10,10,15,13,0,8,0,0,
19:6:35,472.2245,Dog,28,20,3,0,4,1,12,0,28,25,25,19,17,0,10,10,15,13,0,8,0,0,
19:6:36,476.7437,Dog,28,19,3,0,3,1,12,0,28,25,25,19,17,0,10,9,15,13,0,9,0,0,
19:6:37,477.2622,Dog,29,19,4,0,2,1,12,0,29,25,25,19,17,0,10,9,16,13,0,10,0,0,
19:6:40,488.7234,Dog,30,20,5,0,2,1,12,0,30,25,25,19,17,0,10,10,16,14,0,10,0,0,
19:6:41,489.3607,Dog,31,21,6,0,2,1,12,0,31,25,25,19,17,0,10,11,16,15,0,10,0,0,
19:6:41,490.7065,Dog,31,21,6,0,2,1,0,12,31,25,25,19,17,12,10,11,16,15,0,10,0,0,
19:6:42,492.7848,Dog,31,21,5,1,2,1,0,12,31,26,25,19,17,12,10,11,16,15,0,10,0,0,
19:6:44,500.7086,Dog,31,20,5,1,2,1,0,11,31,26,25,19,17,12,10,10,16,15,0,10,1,0,
19:6:47,509.8786,Dog,31,20,4,2,2,1,0,11,31,27,25,19,17,12,10,10,16,15,0,10,1,0,
19:6:48,510.7885,Dog,31,17,4,2,2,1,0,8,31,27,25,19,17,12,9,8,16,15,0,10,4,0,
19:6:49,514.9715,Dog,31,16,4,2,1,1,0,8,31,27,25,19,17,12,9,7,16,15,0,11,4,0,
19:6:54,530.9291,Dog,31,15,4,2,1,1,0,7,31,27,25,19,17,12,8,7,16,15,0,11,5,0,
19:6:55,531.1138,Dog,31,14,4,2,0,1,0,7,31,27,25,19,17,12,7,7,16,15,0,12,5,0,
19:6:57,538.3047,Dog,31,14,4,1,1,1,0,7,31,27,26,19,17,12,7,7,16,15,0,12,5,0,
19:6:58,540.9866,Dog,31,13,4,1,1,1,0,6,31,27,26,19,17,12,6,7,16,15,0,12,6,0,
19:7:0,546.8381,Dog,31,13,3,2,1,1,0,6,31,28,26,19,17,12,6,7,16,15,0,12,6,0,
19:7:1,550.9944,Dog,31,12,3,2,1,1,0,5,31,28,26,19,17,12,6,6,16,15,0,12,7,0,
19:7:3,555.394,Dog,31,12,3,1,2,1,0,5,31,28,27,19,17,12,6,6,16,15,0,12,7,0,
19:7:8,571.0701,Dog,31,9,3,1,2,1,0,2,31,28,27,19,17,12,4,5,16,15,0,12,10,0,
19:7:9,574.7984,Dog,31,9,2,2,2,1,0,2,31,29,27,19,17,12,4,5,16,15,0,12,10,0,
19:7:11,579.5457,Dog,31,9,2,2,2,0,1,2,31,29,27,19,18,12,4,5,16,15,0,12,10,0,
19:7:13,586.2466,Dog,31,9,1,3,2,0,1,2,31,30,27,19,18,12,4,5,16,15,0,12,10,0,
19:7:13,586.9593,Dog,31,9,0,4,2,0,1,2,31,31,27,19,18,12,4,5,16,15,0,12,10,0,
19:7:15,591.1409,Dog,31,8,0,4,2,0,1,1,31,31,27,19,18,12,3,5,16,15,0,12,11,0,
19:7:15,592.3686,Dog,31,8,0,3,3,0,1,1,31,31,28,19,18,12,3,5,16,15,0,12,11,0,
19:7:17,597.224,Dog,31,7,0,3,2,0,1,1,31,31,28,19,18,12,2,5,16,15,0,13,11,0,
19:7:18,601.1506,Dog,31,6,0,3,2,0,1,0,31,31,28,19,18,12,2,4,16,15,0,13,12,0,
19:7:22,614.285,Dog,31,5,0,3,1,0,1,0,31,31,28,19,18,12,2,3,16,15,0,14,12,0,
19:7:24,620.2485,Dog,31,5,0,2,2,0,1,0,31,31,29,19,18,12,2,3,16,15,0,14,12,0,
19:7:26,624.3873,Dog,32,6,1,2,2,0,1,0,32,31,29,19,18,12,3,3,17,15,0,14,12,0,
19:7:28,631.7103,Dog,32,6,1,1,3,0,1,0,32,31,30,19,18,12,3,3,17,15,0,14,12,0,
19:7:28,632.437,Dog,32,6,1,0,4,0,1,0,32,31,31,19,18,12,3,3,17,15,0,14,12,0,
19:7:35,651.2548,Dog,32,5,1,0,3,0,1,0,32,31,31,19,18,12,3,2,17,15,0,15,12,0,
19:7:44,679.1843,Dog,32,4,1,0,2,0,1,0,32,31,31,19,18,12,2,2,17,15,0,16,12,0,
19:7:48,690.6757,Dog,32,3,1,0,1,0,1,0,32,31,31,19,18,12,2,1,17,15,0,17,12,0,
19:7:48,691.3307,Dog,32,2,1,0,0,0,1,0,32,31,31,19,18,12,2,0,17,15,0,18,12,0,
19:7:54,709.4625,Dog,32,1,1,0,0,0,0,0,32,31,31,19,18,12,1,0,17,15,0,19,12,0,
19:7:58,721.9247,Dog,32,1,0,1,0,0,0,0,32,32,31,19,18,12,1,0,17,15,0,19,12,0,
19:8:13,767.3894,Dog,32,1,0,0,1,0,0,0,32,32,32,19,18,12,1,0,17,15,0,19,12,0,
19:8:33,826.3396,Dog,32,0,0,0,0,0,0,0,32,32,32,19,18,12,0,0,17,15,0,20,12,0,
