System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
19:03:59,3.340582,Fox,18,18,18,0,0,0,0,0,18,0,0,0,0,0,8,10,8,10,0,0,0,0
19:04:26,85.65182,Fox,18,18,0,18,0,0,0,0,18,18,0,0,0,0,8,10,8,10,0,0,0,0
19:04:39,124.1868,Fox,18,18,0,0,18,0,0,0,18,18,18,0,0,0,8,10,8,10,0,0,0,0
19:04:51,160.288,Fox,20,20,2,0,18,0,0,0,20,18,18,0,0,0,9,11,9,11,0,0,0,0
19:04:52,161.9995,Fox,22,22,4,0,18,0,0,0,22,18,18,0,0,0,10,12,10,12,0,0,0,0
19:04:59,184.6812,Fox,22,22,4,0,0,18,0,0,22,18,18,18,0,0,10,12,10,12,0,0,0,0
19:05:05,201.1194,Fox,24,24,6,0,0,18,0,0,24,18,18,18,0,0,10,14,10,14,0,0,0,0
19:05:10,218.0181,Fox,26,26,8,0,0,18,0,0,26,18,18,18,0,0,12,14,12,14,0,0,0,0
19:05:17,237.4857,Fox,28,27,10,0,0,17,0,0,28,18,18,18,0,0,13,14,14,14,0,1,0,0
19:05:17,238.1397,Fox,30,29,12,0,0,17,0,0,30,18,18,18,0,0,14,15,15,15,0,1,0,0
19:05:18,242.7915,Fox,30,29,10,2,0,17,0,0,30,20,18,18,0,0,14,15,15,15,0,1,0,0
19:05:19,244.4895,Fox,30,29,8,4,0,17,0,0,30,22,18,18,0,0,14,15,15,15,0,1,0,0
19:05:21,250.1016,Fox,32,31,10,4,0,17,0,0,32,22,18,18,0,0,15,16,16,16,0,1,0,0
19:05:29,274.3496,Fox,34,33,12,4,0,17,0,0,34,22,18,18,0,0,16,17,17,17,0,1,0,0
19:05:30,277.9589,Fox,36,35,14,4,0,17,0,0,36,22,18,18,0,0,16,19,17,19,0,1,0,0
19:05:30,278.1541,Fox,36,35,14,4,0,0,17,0,36,22,18,18,17,0,16,19,17,19,0,1,0,0
19:05:31,281.2826,Fox,36,35,14,2,2,0,17,0,36,22,20,18,17,0,16,19,17,19,0,1,0,0
19:05:32,283.0391,Fox,36,35,14,0,4,0,17,0,36,22,22,18,17,0,16,19,17,19,0,1,0,0
19:05:32,283.6589,Fox,36,35,12,2,4,0,17,0,36,24,22,18,17,0,16,19,17,19,0,1,0,0
19:05:38,300.5154,Fox,36,35,10,4,4,0,17,0,36,26,22,18,17,0,16,19,17,19,0,1,0,0
19:05:41,311.3361,Fox,36,34,10,4,4,0,16,0,36,26,22,18,17,0,15,19,17,19,0,2,0,0
19:05:42,312.1825,Fox,38,36,12,4,4,0,16,0,38,26,22,18,17,0,16,20,18,20,0,2,0,0
19:05:43,316.0696,Fox,40,37,14,4,3,0,16,0,40,26,22,18,17,0,17,20,20,20,0,3,0,0
19:05:43,317.8923,Fox,42,38,16,4,2,0,16,0,42,26,22,18,17,0,17,21,21,21,0,4,0,0
19:05:44,320.0524,Fox,42,38,14,6,2,0,16,0,42,28,22,18,17,0,17,21,21,21,0,4,0,0
19:05:44,320.6714,Fox,42,38,12,8,2,0,16,0,42,30,22,18,17,0,17,21,21,21,0,4,0,0
19:05:45,322.1388,Fox,42,38,12,6,4,0,16,0,42,30,24,18,17,0,17,21,21,21,0,4,0,0
19:05:48,332.6018,Fox,42,38,10,8,4,0,16,0,42,32,24,18,17,0,17,21,21,21,0,4,0,0
19:05:51,339.0406,Fox,42,38,10,6,6,0,16,0,42,32,26,18,17,0,17,21,21,21,0,4,0,0
19:05:51,340.8236,Fox,44,40,12,6,6,0,16,0,44,32,26,18,17,0,19,21,23,21,0,4,0,0
19:05:51,341.7901,Fox,44,40,12,6,5,1,16,0,44,32,26,19,17,0,19,21,23,21,0,4,0,0
19:05:52,343.5595,Fox,44,40,12,6,4,2,16,0,44,32,26,20,17,0,19,21,23,21,0,4,0,0
19:05:53,347.636,Fox,46,42,14,6,4,2,16,0,46,32,26,20,17,0,20,22,24,22,0,4,0,0
19:05:56,356.8743,Fox,46,42,12,8,4,2,16,0,46,34,26,20,17,0,20,22,24,22,0,4,0,0
19:05:57,358.5048,Fox,46,42,12,6,6,2,16,0,46,34,28,20,17,0,20,22,24,22,0,4,0,0
19:05:57,359.2264,Fox,46,42,12,4,8,2,16,0,46,34,30,20,17,0,20,22,24,22,0,4,0,0
19:05:58,360.4962,Fox,46,42,10,6,8,2,16,0,46,36,30,20,17,0,20,22,24,22,0,4,0,0
19:06:01,371.1073,Fox,46,42,10,4,10,2,16,0,46,36,32,20,17,0,20,22,24,22,0,4,0,0
19:06:05,382.66,Fox,46,42,10,4,8,4,16,0,46,36,32,22,17,0,20,22,24,22,0,4,0,0
19:06:09,393.2434,Fox,46,41,10,4,8,3,16,0,46,36,32,22,17,0,20,21,24,22,0,5,0,0
19:06:09,394.7736,Fox,46,41,8,6,8,3,16,0,46,38,32,22,17,0,20,21,24,22,0,5,0,0
19:06:09,395.382,Fox,46,41,8,4,10,3,16,0,46,38,34,22,17,0,20,21,24,22,0,5,0,0
19:06:09,395.9561,Fox,48,43,10,4,10,3,16,0,48,38,34,22,17,0,20,23,24,24,0,5,0,0
19:06:10,398.3118,Fox,48,42,10,4,10,3,15,0,48,38,34,22,17,0,20,22,24,24,0,6,0,0
19:06:10,398.5918,Fox,50,44,10,6,10,3,15,0,50,40,34,22,17,0,20,24,24,26,0,6,0,0
19:06:10,398.9731,Fox,50,44,10,4,12,3,15,0,50,40,36,22,17,0,20,24,24,26,0,6,0,0
19:06:11,399.541,Fox,50,44,10,4,10,5,15,0,50,40,36,24,17,0,20,24,24,26,0,6,0,0
19:06:11,400.4453,Fox,50,44,8,6,10,5,15,0,50,42,36,24,17,0,20,24,24,26,0,6,0,0
19:06:12,404.3529,Fox,52,46,10,6,10,5,15,0,52,42,36,24,17,0,21,25,25,27,0,6,0,0
19:06:13,407.4598,Fox,54,47,12,6,9,5,15,0,54,42,36,24,17,0,21,26,26,28,0,7,0,0
19:06:16,415.6759,Fox,54,47,12,6,9,5,0,15,54,42,36,24,17,15,21,26,26,28,0,7,0,0
19:06:17,419.0487,Fox,54,47,12,6,7,7,0,15,54,42,36,26,17,15,21,26,26,28,0,7,0,0
19:06:17,419.665,Fox,54,47,12,6,5,9,0,15,54,42,36,28,17,15,21,26,26,28,0,7,0,0
19:06:19,423.4002,Fox,56,49,10,8,5,9,0,15,54,44,36,28,17,15,22,27,27,29,0,7,0,0
19:06:19,423.4949,Fox,56,49,12,8,5,9,0,15,56,44,36,28,17,15,22,27,27,29,0,7,0,0
19:06:19,425.6885,Fox,56,46,12,8,5,9,0,12,56,44,36,28,17,15,22,24,27,29,0,7,3,0
19:06:21,430.1431,Fox,56,46,10,10,5,9,0,12,56,46,36,28,17,15,22,24,27,29,0,7,3,0
19:06:21,430.3164,Fox,56,45,10,10,5,8,0,12,56,46,36,28,17,15,22,23,27,29,0,8,3,0
19:06:21,431.6129,Fox,56,45,10,10,4,9,0,12,56,46,36,29,17,15,22,23,27,29,0,8,3,0
19:06:22,432.97,Fox,58,47,12,10,4,9,0,12,58,46,36,29,17,15,22,25,27,31,0,8,3,0
19:06:22,433.2539,Fox,58,47,12,8,6,9,0,12,58,46,38,29,17,15,22,25,27,31,0,8,3,0
19:06:23,435.335,Fox,58,47,12,8,6,8,1,12,58,46,38,29,18,15,22,25,27,31,0,8,3,0
19:06:23,435.7039,Fox,58,46,12,8,6,8,1,11,58,46,38,29,18,15,22,24,27,31,0,8,4,0
19:06:23,437.0912,Fox,58,46,12,6,8,7,2,11,58,46,40,29,19,15,22,24,27,31,0,8,4,0
19:06:24,438.9191,Fox,58,46,12,4,10,7,2,11,58,46,42,29,19,15,22,24,27,31,0,8,4,0
19:06:25,442.2482,Fox,58,45,12,4,10,6,2,11,58,46,42,29,19,15,22,23,27,31,0,9,4,0
19:06:26,445.092,Fox,60,47,14,4,10,6,2,11,60,46,42,29,19,15,24,23,29,31,0,9,4,0
19:06:26,445.2946,Fox,62,49,16,4,10,6,2,11,62,46,42,29,19,15,25,24,30,32,0,9,4,0
19:06:26,445.7611,Fox,62,48,16,4,10,6,2,10,62,46,42,29,19,15,25,23,30,32,0,9,5,0
19:06:29,453.4282,Fox,62,47,16,4,10,6,1,10,62,46,42,29,19,15,25,22,30,32,0,10,5,0
19:06:29,453.8131,Fox,62,46,16,4,10,5,1,10,62,46,42,29,19,15,24,22,30,32,0,11,5,0
19:06:29,455.8611,Fox,62,44,16,4,8,7,1,8,62,46,42,31,19,15,23,21,30,32,0,11,7,0
19:06:31,459.5139,Fox,62,44,16,4,6,9,1,8,62,46,42,33,19,15,23,21,30,32,0,11,7,0
19:06:31,461.9689,Fox,62,44,16,2,8,9,1,8,62,46,44,33,19,15,23,21,30,32,0,11,7,0
19:06:33,465.8113,Fox,62,39,16,2,8,9,1,3,62,46,44,33,19,15,20,19,30,32,0,11,12,0
19:06:34,468.7968,Fox,64,40,16,0,9,9,1,3,62,46,46,33,19,15,20,20,31,33,0,12,12,0
19:06:34,468.9033,Fox,64,40,18,0,9,9,1,3,64,46,46,33,19,15,20,20,31,33,0,12,12,0
19:06:36,475.1838,Fox,66,41,20,0,8,9,1,3,66,46,46,33,19,15,20,21,32,34,0,13,12,0
19:06:36,475.83,Fox,66,40,20,0,8,9,1,2,66,46,46,33,19,15,20,20,32,34,0,13,13,0
19:06:36,476.2112,Fox,66,40,20,0,8,8,2,2,66,46,46,33,20,15,20,20,32,34,0,13,13,0
19:06:37,478.5081,Fox,66,40,18,2,8,8,2,2,66,48,46,33,20,15,20,20,32,34,0,13,13,0
19:06:38,481.1508,Fox,66,40,16,4,8,8,2,2,66,50,46,33,20,15,20,20,32,34,0,13,13,0
