System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
19:3:59,3.340582,Pig,24,24,24,0,0,0,0,0,24,0,0,0,0,0,10,14,10,14,0,0,0,0,
19:4:1,9.080445,Pig,24,23,23,0,0,0,0,0,24,0,0,0,0,0,10,13,10,14,0,0,0,1,
19:4:5,21.93701,Pig,24,22,22,0,0,0,0,0,24,0,0,0,0,0,10,12,10,14,0,0,0,2,
19:4:12,42.52508,Pig,24,21,21,0,0,0,0,0,24,0,0,0,0,0,10,11,10,14,0,0,0,3,
19:4:16,55.19182,Pig,24,20,20,0,0,0,0,0,24,0,0,0,0,0,10,10,10,14,0,0,0,4,
19:4:19,65.57519,Pig,24,19,19,0,0,0,0,0,24,0,0,0,0,0,10,9,10,14,0,0,0,5,
19:4:22,74.545,Pig,24,18,18,0,0,0,0,0,24,0,0,0,0,0,10,8,10,14,0,0,0,6,
19:4:29,95.21796,Pig,24,17,17,0,0,0,0,0,24,0,0,0,0,0,9,8,10,14,0,0,0,7,
19:4:34,108.1583,Pig,24,17,0,17,0,0,0,0,24,17,0,0,0,0,9,8,10,14,0,0,0,7,
19:4:35,112.6629,Pig,24,16,0,16,0,0,0,0,24,17,0,0,0,0,8,8,10,14,0,0,0,8,
19:4:45,142.8366,Pig,24,15,0,15,0,0,0,0,24,17,0,0,0,0,7,8,10,14,0,0,0,9,
19:4:50,157.1806,Pig,24,15,0,0,15,0,0,0,24,17,15,0,0,0,7,8,10,14,0,0,0,9,
19:5:11,219.3611,Pig,24,14,0,0,14,0,0,0,24,17,15,0,0,0,7,7,10,14,0,0,0,10,
19:5:16,234.1448,Pig,24,14,0,0,0,14,0,0,24,17,15,14,0,0,7,7,10,14,0,0,0,10,
19:5:20,248.5582,Pig,27,17,3,0,0,14,0,0,27,17,15,14,0,0,8,9,11,16,0,0,0,10,
19:5:25,263.3908,Pig,27,16,3,0,0,13,0,0,27,17,15,14,0,0,7,9,11,16,0,0,0,11,
19:5:27,267.7689,Pig,27,15,3,0,0,12,0,0,27,17,15,14,0,0,6,9,11,16,0,0,0,12,
19:5:30,276.1344,Pig,27,14,3,0,0,11,0,0,27,17,15,14,0,0,6,8,11,16,0,0,0,13,
19:5:35,292.528,Pig,27,13,3,0,0,10,0,0,27,17,15,14,0,0,6,7,11,16,0,0,0,14,
19:5:44,318.834,Pig,30,16,6,0,0,10,0,0,30,17,15,14,0,0,6,10,11,19,0,0,0,14,
19:5:55,353.172,Pig,30,16,6,0,0,0,10,0,30,17,15,14,10,0,6,10,11,19,0,0,0,14,
19:5:55,353.6418,Pig,30,16,3,3,0,0,10,0,30,20,15,14,10,0,6,10,11,19,0,0,0,14,
19:6:11,401.2479,Pig,30,15,3,3,0,0,9,0,30,20,15,14,10,0,5,10,11,19,0,0,0,15,
19:6:12,402.6052,Pig,30,15,3,0,3,0,9,0,30,20,18,14,10,0,5,10,11,19,0,0,0,15,
19:6:14,408.5355,Pig,30,14,3,0,3,0,8,0,30,20,18,14,10,0,5,9,11,19,0,0,0,16,
19:6:17,419.5777,Pig,30,13,3,0,3,0,7,0,30,20,18,14,10,0,5,8,11,19,0,0,0,17,
19:6:19,423.8686,Pig,30,13,0,3,3,0,7,0,30,23,18,14,10,0,5,8,11,19,0,0,0,17,
19:6:19,424.5084,Pig,33,16,3,3,3,0,7,0,33,23,18,14,10,0,6,10,12,21,0,0,0,17,
19:6:22,433.877,Pig,36,19,6,3,3,0,7,0,36,23,18,14,10,0,6,13,12,24,0,0,0,17,
19:6:24,439.5527,Pig,39,22,9,3,3,0,7,0,39,23,18,14,10,0,8,14,14,25,0,0,0,17,
19:6:34,468.208,Pig,39,21,9,3,3,0,6,0,39,23,18,14,10,0,8,13,14,25,0,0,0,18,
19:6:35,472.8742,Pig,39,21,9,0,6,0,6,0,39,23,21,14,10,0,8,13,14,25,0,0,0,18,
19:6:37,479.6284,Pig,39,21,9,0,3,3,6,0,39,23,21,17,10,0,8,13,14,25,0,0,0,18,
19:6:52,522.6501,Pig,42,24,12,0,3,3,6,0,42,23,21,17,10,0,9,15,15,27,0,0,0,18,
19:6:52,522.8484,Pig,42,23,12,0,3,2,6,0,42,23,21,17,10,0,8,15,15,27,0,1,0,18,
19:6:54,528.1915,Pig,42,23,12,0,3,2,0,6,42,23,21,17,10,6,8,15,15,27,0,1,0,18,
19:6:54,529.5851,Pig,42,23,9,3,3,2,0,6,42,26,21,17,10,6,8,15,15,27,0,1,0,18,
19:6:55,533.1545,Pig,45,26,12,3,3,2,0,6,45,26,21,17,10,6,10,16,17,28,0,1,0,18,
19:6:57,538.046,Pig,45,25,12,3,3,2,0,5,45,26,21,17,10,6,9,16,17,28,0,1,0,19,
19:6:57,538.9167,Pig,45,25,9,6,3,2,0,5,45,29,21,17,10,6,9,16,17,28,0,1,0,19,
19:6:59,544.7181,Pig,45,25,6,9,3,2,0,5,45,32,21,17,10,6,9,16,17,28,0,1,0,19,
19:7:1,549.8263,Pig,45,25,6,9,0,5,0,5,45,32,21,20,10,6,9,16,17,28,0,1,0,19,
19:7:2,554.3933,Pig,45,24,6,9,0,5,0,4,45,32,21,20,10,6,9,15,17,28,0,1,0,20,
19:7:10,578.3911,Pig,45,23,6,9,0,5,0,3,45,32,21,20,10,6,8,15,17,28,0,1,1,20,
19:7:10,578.5497,Pig,45,23,6,6,3,5,0,3,45,32,24,20,10,6,8,15,17,28,0,1,1,20,
19:7:13,587.942,Pig,45,23,6,3,6,5,0,3,45,32,27,20,10,6,8,15,17,28,0,1,1,20,
19:7:15,593.5323,Pig,45,23,6,0,9,5,0,3,45,32,30,20,10,6,8,15,17,28,0,1,1,20,
19:7:17,598.5692,Pig,45,22,6,0,9,3,2,2,45,32,30,20,12,6,8,14,17,28,0,1,2,20,
19:7:22,613.0781,Pig,45,21,6,0,9,3,1,2,45,32,30,20,12,6,8,13,17,28,0,2,2,20,
19:7:25,623.3271,Pig,45,18,6,0,6,3,1,2,45,32,30,20,12,6,7,11,17,28,0,5,2,20,
19:7:27,627.6405,Pig,45,18,3,3,6,3,1,2,45,35,30,20,12,6,7,11,17,28,0,5,2,20,
19:7:29,632.743,Pig,45,15,3,3,3,3,1,2,45,35,30,20,12,6,7,8,17,28,0,8,2,20,
19:7:30,636.5795,Pig,45,14,3,3,3,3,0,2,45,35,30,20,12,6,7,7,17,28,0,9,2,20,
19:7:30,638.1894,Pig,45,14,0,6,3,3,0,2,45,38,30,20,12,6,7,7,17,28,0,9,2,20,
19:7:30,638.4164,Pig,45,11,0,6,0,3,0,2,45,38,30,20,12,6,5,6,17,28,0,12,2,20,
19:7:30,638.647,Pig,45,10,0,6,0,3,0,1,45,38,30,20,12,6,4,6,17,28,0,12,3,20,
19:7:37,658.709,Pig,45,9,0,6,0,3,0,0,45,38,30,20,12,6,3,6,17,28,0,12,4,20,
19:7:41,668.7988,Pig,45,9,0,6,0,0,3,0,45,38,30,20,15,6,3,6,17,28,0,12,4,20,
19:7:43,676.6675,Pig,45,9,0,3,3,0,3,0,45,38,33,20,15,6,3,6,17,28,0,12,4,20,
19:7:47,687.174,Pig,45,9,0,0,6,0,3,0,45,38,36,20,15,6,3,6,17,28,0,12,4,20,
19:7:58,721.488,Pig,45,6,0,0,3,0,3,0,45,38,36,20,15,6,2,4,17,28,0,15,4,20,
19:8:3,735.9085,Pig,48,9,3,0,3,0,3,0,48,38,36,20,15,6,5,4,20,28,0,15,4,20,
19:8:12,764.1584,Pig,48,9,3,0,0,3,3,0,48,38,36,23,15,6,5,4,20,28,0,15,4,20,
19:8:17,778.212,Pig,51,12,6,0,0,3,3,0,51,38,36,23,15,6,7,5,22,29,0,15,4,20,
19:8:30,818.1437,Pig,54,15,9,0,0,3,3,0,54,38,36,23,15,6,9,6,24,30,0,15,4,20,
19:8:38,840.9609,Pig,54,15,6,3,0,3,3,0,54,41,36,23,15,6,9,6,24,30,0,15,4,20,
19:8:39,843.8185,Pig,54,15,6,3,0,3,0,3,54,41,36,23,15,9,9,6,24,30,0,15,4,20,
19:8:52,883.133,Pig,54,15,6,3,0,0,3,3,54,41,36,23,18,9,9,6,24,30,0,15,4,20,
19:8:52,883.249,Pig,54,15,3,6,0,0,3,3,54,44,36,23,18,9,9,6,24,30,0,15,4,20,
19:8:52,883.9904,Pig,54,13,3,6,0,0,3,1,54,44,36,23,18,9,9,4,24,30,0,15,6,20,
19:8:54,889.9402,Pig,54,13,3,3,3,0,3,1,54,44,39,23,18,9,9,4,24,30,0,15,6,20,
19:8:55,893.1046,Pig,54,12,2,3,3,0,3,1,54,44,39,23,18,9,8,4,24,30,0,15,6,21,
19:8:58,900.3956,Pig,57,15,5,3,3,0,3,1,57,44,39,23,18,9,9,6,25,32,0,15,6,21,
19:9:4,918.5292,Pig,60,18,8,3,3,0,3,1,60,44,39,23,18,9,10,8,26,34,0,15,6,21,
19:9:5,923.1586,Pig,60,18,6,5,3,0,3,1,60,46,39,23,18,9,10,8,26,34,0,15,6,21,
19:9:8,932.2366,Pig,60,18,6,2,6,0,3,1,60,46,42,23,18,9,10,8,26,34,0,15,6,21,
19:9:9,934.1518,Pig,60,17,6,2,6,0,3,0,60,46,42,23,18,9,10,7,26,34,0,15,7,21,
19:9:9,934.7571,Pig,60,14,6,2,3,0,3,0,60,46,42,23,18,9,7,7,26,34,0,18,7,21,
19:9:22,972.1633,Pig,60,14,6,0,5,0,3,0,60,46,44,23,18,9,7,7,26,34,0,18,7,21,
19:9:23,977.0809,Pig,60,11,6,0,2,0,3,0,60,46,44,23,18,9,5,6,26,34,0,21,7,21,
19:9:29,995.2661,Pig,63,13,9,0,2,0,2,0,63,46,44,23,18,9,6,7,28,35,0,22,7,21,
19:9:33,1005.42,Pig,63,13,6,3,2,0,2,0,63,49,44,23,18,9,6,7,28,35,0,22,7,21,
19:9:37,1016.99,Pig,63,11,6,3,0,0,2,0,63,49,44,23,18,9,5,6,28,35,0,24,7,21,
19:9:39,1023.499,Pig,63,11,3,6,0,0,2,0,63,52,44,23,18,9,5,6,28,35,0,24,7,21,
19:9:49,1054.466,Pig,63,11,3,3,3,0,2,0,63,52,47,23,18,9,5,6,28,35,0,24,7,21,
19:9:50,1058.128,Pig,63,11,3,3,3,0,0,2,63,52,47,23,18,11,5,6,28,35,0,24,7,21,
19:9:51,1060.758,Pig,66,14,6,3,3,0,0,2,66,52,47,23,18,11,7,7,30,36,0,24,7,21,
19:9:55,1072.533,Pig,66,14,6,0,6,0,0,2,66,52,50,23,18,11,7,7,30,36,0,24,7,21,
19:10:4,1099.3,Pig,66,12,6,0,4,0,0,2,66,52,50,23,18,11,6,6,30,36,1,25,7,21,
19:10:4,1100.303,Pig,66,12,3,3,4,0,0,2,66,55,50,23,18,11,6,6,30,36,1,25,7,21,
19:10:7,1108.414,Pig,66,11,3,3,4,0,0,1,66,55,50,23,18,11,5,6,30,36,1,25,8,21,
19:10:15,1131.443,Pig,66,11,3,3,3,1,0,1,66,55,50,24,18,11,5,6,30,36,1,25,8,21,
19:10:16,1135.694,Pig,69,14,6,3,3,1,0,1,69,55,50,24,18,11,6,8,31,38,1,25,8,21,
19:10:20,1147.383,Pig,69,13,5,3,3,1,0,1,69,55,50,24,18,11,6,7,31,38,1,25,8,22,
19:10:21,1149.269,Pig,69,13,5,0,6,1,0,1,69,55,53,24,18,11,6,7,31,38,1,25,8,22,
19:10:21,1149.565,Pig,69,13,5,0,3,4,0,1,69,55,53,27,18,11,6,7,31,38,1,25,8,22,
19:10:26,1165.791,Pig,69,13,2,3,3,4,0,1,69,58,53,27,18,11,6,7,31,38,1,25,8,22,
19:10:31,1179.692,Pig,69,12,1,3,3,4,0,1,69,58,53,27,18,11,6,6,31,38,1,25,8,23,
19:10:34,1188.648,Pig,69,11,1,3,3,4,0,0,69,58,53,27,18,11,6,5,31,38,1,25,9,23,
19:10:36,1194.133,Pig,69,9,1,3,1,4,0,0,69,58,53,27,18,11,4,5,31,38,1,27,9,23,
19:10:37,1196.65,Pig,69,8,1,3,1,3,0,0,69,58,53,27,18,11,4,4,31,38,1,28,9,23,
19:10:43,1214.777,Pig,69,8,1,0,4,3,0,0,69,58,56,27,18,11,4,4,31,38,1,28,9,23,
19:10:43,1214.93,Pig,69,7,1,0,4,2,0,0,69,58,56,27,18,11,4,3,31,38,1,28,9,24,
19:10:44,1218.895,Pig,72,10,4,0,4,2,0,0,72,58,56,27,18,11,4,6,31,41,1,28,9,24,
19:10:46,1226.314,Pig,72,10,4,0,3,3,0,0,72,58,56,28,18,11,4,6,31,41,1,28,9,24,
19:10:51,1240.731,Pig,72,10,3,1,3,3,0,0,72,59,56,28,18,11,4,6,31,41,1,28,9,24,
19:10:54,1250.488,Pig,72,10,3,1,3,2,1,0,72,59,56,28,19,11,4,6,31,41,1,28,9,24,
19:10:58,1259.652,Pig,72,7,3,1,0,2,1,0,72,59,56,28,19,11,2,5,31,41,1,31,9,24,
19:11:0,1268.541,Pig,72,7,3,1,0,1,2,0,72,59,56,28,20,11,2,5,31,41,1,31,9,24,
19:11:8,1289.727,Pig,72,7,3,0,1,1,2,0,72,59,57,28,20,11,2,5,31,41,1,31,9,24,
19:11:19,1323.987,Pig,72,7,0,3,1,1,2,0,72,62,57,28,20,11,2,5,31,41,1,31,9,24,
19:11:26,1345.325,Pig,72,7,0,3,1,0,3,0,72,62,57,28,21,11,2,5,31,41,1,31,9,24,
19:11:33,1366.779,Pig,72,7,0,3,0,1,3,0,72,62,57,29,21,11,2,5,31,41,1,31,9,24,
19:11:35,1372.994,Pig,72,7,0,0,3,1,3,0,72,62,60,29,21,11,2,5,31,41,1,31,9,24,
19:11:53,1425.487,Pig,72,7,0,0,3,1,2,1,72,62,60,29,21,12,2,5,31,41,1,31,9,24,
19:11:59,1443.636,Pig,72,7,0,0,3,1,1,2,72,62,60,29,21,13,2,5,31,41,1,31,9,24,
19:12:1,1449.968,Pig,72,7,0,0,0,4,1,2,72,62,60,32,21,13,2,5,31,41,1,31,9,24,
19:12:13,1485.846,Pig,72,6,0,0,0,3,2,1,72,62,60,32,22,13,2,4,31,41,1,31,10,24,
19:12:24,1520.427,Pig,72,6,0,0,0,3,1,2,72,62,60,32,22,14,2,4,31,41,1,31,10,24,
19:12:39,1564.605,Pig,72,5,0,0,0,3,1,1,72,62,60,32,22,14,1,4,31,41,1,31,11,24,
19:12:41,1569.005,Pig,72,5,0,0,0,0,4,1,72,62,60,32,25,14,1,4,31,41,1,31,11,24,
19:12:48,1590.834,Pig,72,4,0,0,0,0,4,0,72,62,60,32,25,14,1,3,31,41,1,31,12,24,
19:13:11,1660.803,Pig,72,4,0,0,0,0,3,1,72,62,60,32,25,15,1,3,31,41,1,31,12,24,
19:13:38,1741.363,Pig,72,3,0,0,0,0,3,0,72,62,60,32,25,15,0,3,31,41,1,31,13,24,
19:13:39,1744.204,Pig,72,3,0,0,0,0,0,3,72,62,60,32,25,18,0,3,31,41,1,31,13,24,
