System Time:,Simulation Time:,VegetableType:,CurrentNumber:,
14:32:53,10.09301,Grain,20,
14:32:56,20.15767,Grain,21,
14:33:0,30.1988,Grain,22,
14:33:3,40.23483,Grain,23,
14:33:6,50.2432,Grain,24,
14:33:10,60.29684,Grain,25,
14:33:13,70.31541,Grain,26,
14:33:16,80.3223,Grain,27,
14:33:20,90.36835,Grain,28,
14:33:23,100.4228,Grain,29,
14:33:26,110.4751,Grain,30,
14:33:30,120.4893,Grain,31,
14:33:33,130.5563,Grain,32,
14:33:36,140.5932,Grain,33,
14:33:40,150.6211,Grain,34,
14:33:43,160.6764,Grain,35,
14:33:46,170.6833,Grain,36,
14:33:50,180.7452,Grain,37,
14:33:53,190.8059,Grain,37,
14:33:56,200.838,Grain,37,
14:34:0,210.8397,Grain,38,
14:34:3,220.9167,Grain,38,
14:34:7,230.9397,Grain,38,
14:34:10,241.0096,Grain,39,
14:34:13,251.0285,Grain,40,
14:34:17,261.0673,Grain,41,
14:34:20,271.1215,Grain,42,
14:34:23,281.1604,Grain,41,
14:34:27,291.2024,Grain,41,
14:34:30,301.2363,Grain,42,
14:34:33,311.2955,Grain,43,
14:34:37,321.304,Grain,44,
14:34:40,331.3347,Grain,45,
14:34:43,341.3573,Grain,46,
14:34:47,351.3912,Grain,46,
14:34:50,361.4626,Grain,46,
14:34:53,371.4634,Grain,46,
14:34:57,381.4779,Grain,47,
14:35:0,391.556,Grain,48,
14:35:3,401.6208,Grain,49,
14:35:7,411.6335,Grain,50,
14:35:10,421.6828,Grain,51,
14:35:13,431.6891,Grain,51,
14:35:17,441.7157,Grain,50,
14:35:20,451.7531,Grain,50,
14:35:23,461.7734,Grain,50,
14:35:27,471.7896,Grain,50,
14:35:30,481.8414,Grain,51,
14:35:34,491.8892,Grain,52,
14:35:37,501.9309,Grain,52,
14:35:40,511.9827,Grain,52,
14:35:44,522.0452,Grain,53,
14:35:47,532.1189,Grain,53,
14:35:50,542.1476,Grain,54,
14:35:54,552.1499,Grain,54,
14:35:57,562.1989,Grain,55,
14:36:0,572.2755,Grain,55,
14:36:4,582.332,Grain,55,
14:36:7,592.3429,Grain,56,
14:36:10,602.429,Grain,56,
14:36:14,612.4893,Grain,55,
14:36:17,622.5086,Grain,55,
14:36:20,632.5981,Grain,55,
14:36:24,642.6191,Grain,55,
14:36:27,652.6394,Grain,55,
14:36:30,662.6708,Grain,55,
14:36:34,672.752,Grain,53,
14:36:37,682.756,Grain,54,
14:36:41,692.8677,Grain,55,
14:36:44,702.8715,Grain,56,
14:36:47,712.9116,Grain,57,
14:36:51,722.9972,Grain,56,
14:36:54,733.1077,Grain,56,
14:36:57,743.139,Grain,57,
14:37:1,753.2106,Grain,58,
14:37:4,763.2326,Grain,59,
14:37:7,773.2526,Grain,60,
14:37:11,783.2941,Grain,60,
14:37:14,793.3255,Grain,60,
14:37:17,803.3264,Grain,60,
14:37:21,813.4094,Grain,61,
14:37:24,823.4697,Grain,62,
14:37:27,833.5106,Grain,63,
14:37:31,843.5945,Grain,63,
14:37:34,853.6175,Grain,64,
14:37:37,863.6998,Grain,64,
14:37:41,873.7495,Grain,65,
14:37:44,883.7587,Grain,63,
14:37:47,893.8299,Grain,64,
14:37:51,903.9132,Grain,64,
14:37:54,914.0559,Grain,65,
14:37:58,924.1346,Grain,66,
14:38:1,934.1872,Grain,67,
