System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
14:32:50,1.890826,Cow,24,24,24,0,0,0,0,0,24,0,0,0,0,0,10,14,10,14,0,0,0,0,
14:33:9,59.8379,Cow,24,23,23,0,0,0,0,0,24,0,0,0,0,0,10,13,10,14,0,0,0,1,
14:33:30,121.683,Cow,24,23,0,23,0,0,0,0,24,23,0,0,0,0,10,13,10,14,0,0,0,1,
14:33:49,177.7277,Cow,24,23,0,0,23,0,0,0,24,23,23,0,0,0,10,13,10,14,0,0,0,1,
14:34:2,217.4855,Cow,25,24,1,0,23,0,0,0,25,23,23,0,0,0,10,14,10,15,0,0,0,1,
14:34:9,239.2261,Cow,25,23,1,0,22,0,0,0,25,23,23,0,0,0,9,14,10,15,0,0,0,2,
14:34:9,239.4603,Cow,25,22,1,0,21,0,0,0,25,23,23,0,0,0,8,14,10,15,0,0,0,3,
14:34:18,265.7665,Cow,25,22,1,0,0,21,0,0,25,23,23,21,0,0,8,14,10,15,0,0,0,3,
14:34:19,268.6031,Cow,26,23,2,0,0,21,0,0,26,23,23,21,0,0,9,14,11,15,0,0,0,3,
14:34:33,311.3916,Cow,27,24,3,0,0,21,0,0,27,23,23,21,0,0,9,15,11,16,0,0,0,3,
14:34:36,318.7762,Cow,27,23,3,0,0,20,0,0,27,23,23,21,0,0,8,15,11,16,0,1,0,3,
14:34:37,322.3688,Cow,27,21,2,0,0,19,0,0,27,23,23,21,0,0,6,15,11,16,0,1,0,5,
14:34:42,337.5293,Cow,27,21,1,1,0,19,0,0,27,24,23,21,0,0,6,15,11,16,0,1,0,5,
14:35:0,392.8564,Cow,27,19,1,1,0,17,0,0,27,24,23,21,0,0,6,13,11,16,0,3,0,5,
14:35:1,393.5725,Cow,27,19,1,0,1,17,0,0,27,24,24,21,0,0,6,13,11,16,0,3,0,5,
14:35:3,401.7125,Cow,27,19,1,0,1,0,17,0,27,24,24,21,17,0,6,13,11,16,0,3,0,5,
14:35:13,431.4315,Cow,27,19,0,1,1,0,17,0,27,25,24,21,17,0,6,13,11,16,0,3,0,5,
14:35:14,434.4999,Cow,28,20,1,1,1,0,17,0,28,25,24,21,17,0,7,13,12,16,0,3,0,5,
14:35:19,447.1911,Cow,29,21,2,1,1,0,17,0,29,25,24,21,17,0,7,14,12,17,0,3,0,5,
14:35:30,481.4854,Cow,29,21,2,1,0,1,17,0,29,25,24,22,17,0,7,14,12,17,0,3,0,5,
14:35:32,487.4846,Cow,29,21,2,0,1,1,17,0,29,25,25,22,17,0,7,14,12,17,0,3,0,5,
14:35:40,511.818,Cow,29,20,1,0,1,1,17,0,29,25,25,22,17,0,7,13,12,17,0,3,0,6,
14:35:44,523.1277,Cow,29,19,1,0,0,1,17,0,29,25,25,22,17,0,7,12,12,17,1,3,0,6,
14:35:44,523.7158,Cow,29,18,1,0,0,1,16,0,29,25,25,22,17,0,6,12,12,17,1,3,0,7,
14:35:45,525.1433,Cow,29,17,1,0,0,1,15,0,29,25,25,22,17,0,6,11,12,17,1,4,0,7,
14:35:46,528.8445,Cow,30,18,2,0,0,1,15,0,30,25,25,22,17,0,7,11,13,17,1,4,0,7,
14:35:54,554.5047,Cow,30,18,1,1,0,1,15,0,30,26,25,22,17,0,7,11,13,17,1,4,0,7,
14:36:8,594.9507,Cow,30,17,1,1,0,1,14,0,30,26,25,22,17,0,7,10,13,17,1,4,0,8,
14:36:8,596.4725,Cow,30,16,1,1,0,1,13,0,30,26,25,22,17,0,7,9,13,17,1,4,0,9,
