System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
14:32:50,1.890826,Dog,18,18,18,0,0,0,0,0,18,0,0,0,0,0,8,10,8,10,0,0,0,0,
14:33:23,99.16608,Dog,18,18,0,18,0,0,0,0,18,18,0,0,0,0,8,10,8,10,0,0,0,0,
14:33:38,144.7135,Dog,18,18,0,0,18,0,0,0,18,18,18,0,0,0,8,10,8,10,0,0,0,0,
14:34:2,216.239,Dog,18,18,0,0,0,18,0,0,18,18,18,18,0,0,8,10,8,10,0,0,0,0,
14:34:18,265.0395,Dog,19,19,1,0,0,18,0,0,19,18,18,18,0,0,8,11,8,11,0,0,0,0,
14:34:34,312.6221,Dog,19,18,1,0,0,17,0,0,19,18,18,18,0,0,7,11,8,11,0,0,0,1,
14:34:38,326.7059,Dog,19,18,1,0,0,0,17,0,19,18,18,18,17,0,7,11,8,11,0,0,0,1,
14:34:42,337.6182,Dog,19,17,1,0,0,0,16,0,19,18,18,18,17,0,6,11,8,11,0,0,0,2,
14:34:43,340.4194,Dog,19,16,1,0,0,0,15,0,19,18,18,18,17,0,6,10,8,11,0,0,0,3,
14:34:48,356.0995,Dog,20,16,2,0,0,0,14,0,20,18,18,18,17,0,5,11,8,12,1,0,0,3,
14:34:50,362.5439,Dog,20,16,1,1,0,0,14,0,20,19,18,18,17,0,5,11,8,12,1,0,0,3,
14:35:5,407.695,Dog,20,12,1,1,0,0,10,0,20,19,18,18,17,0,3,9,8,12,1,4,0,3,
14:35:6,408.0578,Dog,20,12,1,0,1,0,10,0,20,19,19,18,17,0,3,9,8,12,1,4,0,3,
14:35:20,452.7144,Dog,20,11,1,0,1,0,9,0,20,19,19,18,17,0,3,8,8,12,1,5,0,3,
14:35:21,453.6533,Dog,20,11,0,1,1,0,9,0,20,20,19,18,17,0,3,8,8,12,1,5,0,3,
14:35:25,467.1199,Dog,20,10,0,1,0,0,9,0,20,20,19,18,17,0,3,7,8,12,2,5,0,3,
14:35:33,489.2364,Dog,20,10,0,1,0,0,0,9,20,20,19,18,17,9,3,7,8,12,2,5,0,3,
14:35:36,499.0847,Dog,20,10,0,0,1,0,0,9,20,20,20,18,17,9,3,7,8,12,2,5,0,3,
14:35:39,509.3018,Dog,20,9,0,0,1,0,0,8,20,20,20,18,17,9,3,6,8,12,2,5,1,3,
14:35:43,519.3438,Dog,20,8,0,0,1,0,0,7,20,20,20,18,17,9,3,5,8,12,2,5,2,3,
14:35:46,529.3555,Dog,20,7,0,0,1,0,0,6,20,20,20,18,17,9,3,4,8,12,2,5,3,3,
14:35:51,544.0394,Dog,20,6,0,0,1,0,0,5,20,20,20,18,17,9,3,3,8,12,2,5,3,4,
14:35:56,558.2393,Dog,20,5,0,0,0,0,0,5,20,20,20,18,17,9,3,2,8,12,3,5,3,4,
14:35:56,559.4749,Dog,20,4,0,0,0,0,0,4,20,20,20,18,17,9,3,1,8,12,3,5,4,4,
14:35:59,569.5205,Dog,20,3,0,0,0,0,0,3,20,20,20,18,17,9,3,0,8,12,3,5,5,4,
14:36:3,579.5685,Dog,20,2,0,0,0,0,0,2,20,20,20,18,17,9,2,0,8,12,3,5,6,4,
14:36:16,619.7678,Dog,20,1,0,0,0,0,0,1,20,20,20,18,17,9,1,0,8,12,3,5,7,4,
14:36:23,639.8242,Dog,20,0,0,0,0,0,0,0,20,20,20,18,17,9,0,0,8,12,3,5,8,4,
