System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
14:32:50,1.890826,Lion,12,12,12,0,0,0,0,0,12,0,0,0,0,0,6,6,6,6,0,0,0,0,
14:33:25,106.6816,Lion,12,12,0,12,0,0,0,0,12,12,0,0,0,0,6,6,6,6,0,0,0,0,
14:33:41,155.6667,Lion,12,12,0,0,12,0,0,0,12,12,12,0,0,0,6,6,6,6,0,0,0,0,
14:34:7,232.7261,Lion,12,12,0,0,0,12,0,0,12,12,12,12,0,0,6,6,6,6,0,0,0,0,
14:34:14,252.2584,Lion,13,13,1,0,0,12,0,0,13,12,12,12,0,0,6,7,6,7,0,0,0,0,
14:34:28,295.1006,Lion,14,14,2,0,0,12,0,0,14,12,12,12,0,0,6,8,6,8,0,0,0,0,
14:34:47,351.7751,Lion,14,14,2,0,0,0,12,0,14,12,12,12,12,0,6,8,6,8,0,0,0,0,
14:34:49,357.2295,Lion,14,14,1,1,0,0,12,0,14,13,12,12,12,0,6,8,6,8,0,0,0,0,
14:34:51,363.5896,Lion,15,15,2,1,0,0,12,0,15,13,12,12,12,0,6,9,6,9,0,0,0,0,
14:35:3,400.1326,Lion,15,15,1,2,0,0,12,0,15,14,12,12,12,0,6,9,6,9,0,0,0,0,
14:35:5,406.2542,Lion,15,15,1,1,1,0,12,0,15,14,13,12,12,0,6,9,6,9,0,0,0,0,
14:35:19,449.1172,Lion,16,16,2,0,2,0,12,0,16,14,14,12,12,0,7,9,7,9,0,0,0,0,
14:35:26,468.5973,Lion,16,16,1,1,2,0,12,0,16,15,14,12,12,0,7,9,7,9,0,0,0,0,
14:35:26,469.6927,Lion,17,17,2,1,2,0,12,0,17,15,14,12,12,0,8,9,8,9,0,0,0,0,
14:35:31,483.2417,Lion,17,17,2,1,1,1,12,0,17,15,14,13,12,0,8,9,8,9,0,0,0,0,
14:35:32,488.0488,Lion,18,18,3,1,1,1,12,0,18,15,14,13,12,0,8,10,8,10,0,0,0,0,
14:35:34,493.1466,Lion,19,19,4,1,1,1,12,0,19,15,14,13,12,0,9,10,9,10,0,0,0,0,
14:35:42,517.6188,Lion,19,19,4,0,2,1,12,0,19,15,15,13,12,0,9,10,9,10,0,0,0,0,
14:35:45,524.9646,Lion,20,20,5,0,2,1,12,0,20,15,15,13,12,0,9,11,9,11,0,0,0,0,
14:35:45,526.1669,Lion,20,20,5,0,1,2,12,0,20,15,15,14,12,0,9,11,9,11,0,0,0,0,
14:35:45,526.7399,Lion,20,20,5,0,1,2,0,12,20,15,15,14,12,12,9,11,9,11,0,0,0,0,
14:35:46,530.6217,Lion,21,21,6,0,1,2,0,12,21,15,15,14,12,12,9,12,9,12,0,0,0,0,
14:35:48,536.7418,Lion,21,20,6,0,1,2,0,11,21,15,15,14,12,12,8,12,9,12,0,0,1,0,
14:35:52,546.8182,Lion,21,19,6,0,1,2,0,10,21,15,15,14,12,12,8,11,9,12,0,0,2,0,
14:35:54,554.1713,Lion,21,19,5,1,1,2,0,10,21,16,15,14,12,12,8,11,9,12,0,0,2,0,
14:35:55,556.8481,Lion,21,18,5,1,1,2,0,9,21,16,15,14,12,12,7,11,9,12,0,0,3,0,
14:35:58,566.3183,Lion,22,19,6,1,1,2,0,9,22,16,15,14,12,12,8,11,10,12,0,0,3,0,
14:35:59,566.9049,Lion,22,17,6,1,1,2,0,7,22,16,15,14,12,12,8,9,10,12,0,0,5,0,
14:36:1,574.6863,Lion,22,17,5,2,1,2,0,7,22,17,15,14,12,12,8,9,10,12,0,0,5,0,
14:36:2,576.9386,Lion,22,16,5,2,1,2,0,6,22,17,15,14,12,12,7,9,10,12,0,0,6,0,
14:36:4,582.6012,Lion,23,17,6,2,1,2,0,6,23,17,15,14,12,12,7,10,10,13,0,0,6,0,
14:36:7,593.1318,Lion,23,17,5,3,1,2,0,6,23,18,15,14,12,12,7,10,10,13,0,0,6,0,
14:36:8,594.6638,Lion,23,17,5,3,0,3,0,6,23,18,15,15,12,12,7,10,10,13,0,0,6,0,
14:36:9,597.0344,Lion,23,15,5,3,0,3,0,4,23,18,15,15,12,12,6,9,10,13,0,0,8,0,
14:36:9,598.2289,Lion,23,15,4,4,0,3,0,4,23,19,15,15,12,12,6,9,10,13,0,0,8,0,
14:36:10,602.3056,Lion,23,15,4,4,0,2,1,4,23,19,15,15,13,12,6,9,10,13,0,0,8,0,
14:36:11,603.1828,Lion,23,15,4,3,1,2,1,4,23,19,16,15,13,12,6,9,10,13,0,0,8,0,
14:36:12,607.0375,Lion,23,14,4,3,1,2,1,3,23,19,16,15,13,12,5,9,10,13,0,0,9,0,
14:36:14,612.0073,Lion,24,15,5,3,1,2,1,3,24,19,16,15,13,12,5,10,10,14,0,0,9,0,
14:36:15,617.0717,Lion,24,13,5,3,1,2,1,1,24,19,16,15,13,12,5,8,10,14,0,0,11,0,
14:36:17,623.7325,Lion,24,13,5,2,2,2,1,1,24,19,17,15,13,12,5,8,10,14,0,0,11,0,
14:36:19,627.1053,Lion,24,12,5,2,2,2,1,0,24,19,17,15,13,12,4,8,10,14,0,0,12,0,
14:36:20,630.0385,Lion,24,12,4,3,2,2,1,0,24,20,17,15,13,12,4,8,10,14,0,0,12,0,
14:36:21,635.6785,Lion,24,12,3,4,2,2,1,0,24,21,17,15,13,12,4,8,10,14,0,0,12,0,
14:36:24,642.1494,Lion,24,12,3,3,3,2,1,0,24,21,18,15,13,12,4,8,10,14,0,0,12,0,
14:36:25,645.1248,Lion,24,12,3,3,3,1,2,0,24,21,18,15,14,12,4,8,10,14,0,0,12,0,
14:36:25,647.1887,Lion,24,12,3,2,4,1,2,0,24,21,19,15,14,12,4,8,10,14,0,0,12,0,
14:36:30,660.1951,Lion,24,11,3,2,3,1,2,0,24,21,19,15,14,12,3,8,10,14,1,0,12,0,
14:36:33,671.3533,Lion,24,11,2,3,3,1,2,0,24,22,19,15,14,12,3,8,10,14,1,0,12,0,
14:36:36,678.9938,Lion,24,11,2,2,4,1,2,0,24,22,20,15,14,12,3,8,10,14,1,0,12,0,
14:36:36,680.7596,Lion,24,10,2,2,3,1,2,0,24,22,20,15,14,12,2,8,10,14,1,1,12,0,
14:36:38,684.6439,Lion,24,10,2,1,4,1,2,0,24,22,21,15,14,12,2,8,10,14,1,1,12,0,
14:36:39,687.6771,Lion,24,10,1,2,4,1,2,0,24,23,21,15,14,12,2,8,10,14,1,1,12,0,
14:36:43,699.1288,Lion,24,9,1,2,3,1,2,0,24,23,21,15,14,12,2,7,10,14,2,1,12,0,
14:36:47,713.6597,Lion,24,9,1,2,3,0,3,0,24,23,21,15,15,12,2,7,10,14,2,1,12,0,
14:36:49,717.0854,Lion,24,9,0,3,3,0,3,0,24,24,21,15,15,12,2,7,10,14,2,1,12,0,
14:36:50,720.3856,Lion,24,9,0,2,4,0,3,0,24,24,22,15,15,12,2,7,10,14,2,1,12,0,
14:36:51,724.1815,Lion,24,9,0,2,3,1,3,0,24,24,22,16,15,12,2,7,10,14,2,1,12,0,
14:36:55,736.0514,Lion,24,8,0,2,2,1,3,0,24,24,22,16,15,12,2,6,10,14,2,2,12,0,
14:36:55,736.6637,Lion,24,8,0,1,3,1,3,0,24,24,23,16,15,12,2,6,10,14,2,2,12,0,
14:36:57,741.3427,Lion,24,7,0,1,2,1,3,0,24,24,23,16,15,12,2,5,10,14,2,3,12,0,
14:37:5,766.0157,Lion,24,7,0,0,3,1,3,0,24,24,24,16,15,12,2,5,10,14,2,3,12,0,
14:37:9,777.3405,Lion,24,7,0,0,3,1,2,1,24,24,24,16,15,13,2,5,10,14,2,3,12,0,
14:37:14,793.3255,Lion,24,6,0,0,2,1,2,1,24,24,24,16,15,13,2,4,10,14,3,3,12,0,
14:37:15,797.3848,Lion,24,6,0,0,1,2,2,1,24,24,24,17,15,13,2,4,10,14,3,3,12,0,
14:37:23,820.1348,Lion,24,6,0,0,1,2,1,2,24,24,24,17,15,14,2,4,10,14,3,3,12,0,
14:37:29,837.7855,Lion,24,5,0,0,1,2,1,1,24,24,24,17,15,14,2,3,10,14,3,3,13,0,
14:37:31,843.1365,Lion,24,5,0,0,0,2,2,1,24,24,24,18,16,14,2,3,10,14,3,3,13,0,
14:37:46,888.6555,Lion,24,5,0,0,0,2,1,2,24,24,24,18,16,15,2,3,10,14,3,3,13,0,
14:37:53,910.455,Lion,24,4,0,0,0,2,1,1,24,24,24,18,16,15,2,2,10,14,3,3,14,0,
14:37:55,916.3707,Lion,24,4,0,0,0,1,2,1,24,24,24,18,17,15,2,2,10,14,3,3,14,0,
14:37:56,918.881,Lion,24,3,0,0,0,1,2,0,24,24,24,18,17,15,2,1,10,14,3,3,15,0,
14:38:0,931.8444,Lion,24,2,0,0,0,1,1,0,24,24,24,18,17,15,1,1,10,14,3,4,15,0,
14:38:10,962.0623,Lion,24,2,0,0,0,0,2,0,24,24,24,18,18,15,1,1,10,14,3,4,15,0,
14:38:29,1018.211,Lion,24,2,0,0,0,0,1,1,24,24,24,18,18,16,1,1,10,14,3,4,15,0,
14:38:32,1028.228,Lion,24,1,0,0,0,0,1,0,24,24,24,18,18,16,0,1,10,14,3,4,16,0,
14:39:9,1137.091,Lion,24,1,0,0,0,0,0,1,24,24,24,18,18,17,0,1,10,14,3,4,16,0,
14:39:46,1247.614,Lion,24,0,0,0,0,0,0,0,24,24,24,18,18,17,0,0,10,14,3,4,17,0,
