System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath,,
14:32:50,1.890826,Pig,24,24,24,0,0,0,0,0,24,0,0,0,0,0,10,14,10,14,0,0,0,0,,24
14:33:04,44.6049,Pig,24,23,23,0,0,0,0,0,24,0,0,0,0,0,10,13,10,14,0,0,0,1,,23
14:33:06,48.94507,Pig,24,22,22,0,0,0,0,0,24,0,0,0,0,0,10,12,10,14,0,0,0,2,,22
14:33:14,72.2102,Pig,24,21,21,0,0,0,0,0,24,0,0,0,0,0,10,11,10,14,0,0,0,3,,21
14:33:15,76.60513,Pig,24,20,20,0,0,0,0,0,24,0,0,0,0,0,10,10,10,14,0,0,0,4,,20
14:33:16,80.03394,Pig,24,19,19,0,0,0,0,0,24,0,0,0,0,0,9,10,10,14,0,0,0,5,,19
14:33:24,103.6886,Pig,24,18,18,0,0,0,0,0,24,0,0,0,0,0,8,10,10,14,0,0,0,6,,18
14:33:25,106.6816,Pig,24,18,0,18,0,0,0,0,24,18,0,0,0,0,8,10,10,14,0,0,0,6,,18
14:33:41,155.6667,Pig,24,18,0,0,18,0,0,0,24,18,18,0,0,0,8,10,10,14,0,0,0,6,,18
14:33:52,187.9289,Pig,27,21,3,0,18,0,0,0,27,18,18,0,0,0,10,11,12,15,0,0,0,6,,21
14:34:07,232.7261,Pig,27,21,3,0,0,18,0,0,27,18,18,18,0,0,10,11,12,15,0,0,0,6,,21
14:34:09,237.6039,Pig,27,20,3,0,0,17,0,0,27,18,18,18,0,0,10,10,12,15,0,0,0,7,,20
14:34:12,248.1259,Pig,30,23,6,0,0,17,0,0,30,18,18,18,0,0,13,10,15,15,0,0,0,7,,23
14:34:20,269.9427,Pig,30,22,6,0,0,16,0,0,30,18,18,18,0,0,12,10,15,15,0,1,0,7,,22
14:34:24,282.7,Pig,33,25,9,0,0,16,0,0,33,18,18,18,0,0,13,12,16,17,0,1,0,7,,25
14:34:25,287.5587,Pig,36,28,12,0,0,16,0,0,36,18,18,18,0,0,14,14,17,19,0,1,0,7,,28
14:34:27,292.9247,Pig,36,28,9,3,0,16,0,0,36,21,18,18,0,0,14,14,17,19,0,1,0,7,,28
14:34:44,341.996,Pig,36,28,9,0,3,16,0,0,36,21,21,18,0,0,14,14,17,19,0,1,0,7,,28
14:34:47,351.7751,Pig,36,28,9,0,3,0,16,0,36,21,21,18,16,0,14,14,17,19,0,1,0,7,,28
14:34:47,353.1353,Pig,36,28,6,3,3,0,16,0,36,24,21,18,16,0,14,14,17,19,0,1,0,7,,28
14:34:51,364.3521,Pig,39,31,9,3,3,0,16,0,39,24,21,18,16,0,15,16,18,21,0,1,0,7,,31
