Animals,Chicken,Dog,Lion,Fox,Cow,Pig,
Puppy,,,,,,,
View distance (Puppy),20,23,23,26,22,22,
Walking speed (Puppy),3.3,3.55,3.5,3.65,3.2,3.2,
Age group limit (Puppy),37.5,97.5,105,82.5,120,105,
Hunger (Puppy),1.3,1.1,1.1,1.15,1,1.1,
Thirst (Puppy),1.3,1.1,1.1,1.15,1,1.1,
Juvenile,,,,,,,
View distance (Juvenile),22,25,25,28,24,24,
Walking speed (Juvenile),3.6,3.85,3.65,3.85,3.4,3.6,
Age group limit (Juvenile),75,143,154,121,176,154,
Hunger (Juvenile),1.55,1.3,1.22,1.35,1.35,1.35,
Thirst (Juvenile),1.55,1.3,1.22,1.35,1.35,1.35,
YoungAdult,,,,,,,
View distance (YoungAdult),23,27,27,30,26,24,
Walking speed (YoungAdult),4.1,4.05,3.85,4.15,3.6,3.9,
Age group limit (YoungAdult),112.5,214.5,231,181.5,264,231,
Hunger (YoungAdult),1.65,1.4,1.3,1.45,1.5,1.5,
Thirst (YoungAdult),1.65,1.4,1.3,1.45,1.5,1.5,
Adult,,,,,,,
View distance (Adult),25,29,29,32,28,25,
Walking speed (Adult),4.3,4.2,4.1,4.25,4,4.1,
Age group limit (Adult),187.5,325,350,275,400,350,
Hunger (Adult),1.55,1.3,1.2,1.35,1.35,1.4,
Thirst (Adult),1.55,1.3,1.2,1.35,1.35,1.4,
AgedAdult,,,,,,,
View distance (AgedAdult),22,25,25,28,24,24,
Walking speed (AgedAdult),3.7,3.7,3.55,3.85,3.4,3.6,
Age group limit (AgedAdult),281.25,487.5,525,412.5,600,525,
Hunger (AgedAdult),1.25,1.1,1.1,1.15,1.1,1.3,
Thirst (AgedAdult),1.25,1.1,1.1,1.15,1.1,1.3,
Elder,,,,,,,
View distance (Elder),18,21,21,24,21,22,
Walking speed (Elder),3.2,3.2,3.3,3.35,2.9,3.1,
Age group limit (Elder),375,650,700,550,800,700,
Hunger (Elder),1,0.7,0.7,0.7,0.8,0.9,
Thirst (Elder),1,0.7,0.7,0.7,0.8,0.9,
HungerThresherhold,80,70,70,70,80,80,
ThirstThresherhold,80,70,70,70,80,80,
Avarage lifetime,375,650,700,550,800,700,
Enemys,Dog & Fox & Lion,Lion,None,Lion & Dog,Lion & Dog & Fox,Fox & Lion & Dog,
Foods,Grain,Chicken,Chicken & Cow & Pig & Fox & Dog,Chicken & Pig,Grain,Grain,
Most childbirth in a pregnancy,3,1,1,2,1,3,
Mating duration,12,8,8,8,12,10,
Pregnacy duration,55,65,70,65,80,70,
Spermatogenesis duration,50,30,30,30,30,30,
Pack forming,True,True,True,True,True,True,
