System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
2:34:49,2.072567,Cow,24,24,24,0,0,0,0,0,24,0,0,0,0,0,11,13,11,13,0,0,0,0,
2:35:29,121.9414,Cow,24,24,0,24,0,0,0,0,24,24,0,0,0,0,11,13,11,13,0,0,0,0,
2:35:48,177.9803,Cow,24,24,0,0,24,0,0,0,24,24,24,0,0,0,11,13,11,13,0,0,0,0,
2:35:51,186.9292,Cow,24,23,0,0,23,0,0,0,24,24,24,0,0,0,11,12,11,13,0,0,0,1,
2:36:1,215.7735,Cow,25,24,1,0,23,0,0,0,25,24,24,0,0,0,11,13,11,14,0,0,0,1,
2:36:1,216.6589,Cow,26,25,2,0,23,0,0,0,26,24,24,0,0,0,11,14,11,15,0,0,0,1,
2:36:8,237.3966,Cow,27,26,3,0,23,0,0,0,27,24,24,0,0,0,12,14,12,15,0,0,0,1,
2:36:13,252.1269,Cow,28,27,4,0,23,0,0,0,28,24,24,0,0,0,12,15,12,16,0,0,0,1,
2:36:17,265.9259,Cow,28,27,4,0,0,23,0,0,28,24,24,23,0,0,12,15,12,16,0,0,0,1,
2:36:22,280.3123,Cow,29,28,5,0,0,23,0,0,29,24,24,23,0,0,12,16,12,17,0,0,0,1,
2:36:24,287.1357,Cow,29,27,5,0,0,22,0,0,29,24,24,23,0,0,11,16,12,17,0,0,0,2,
2:36:41,335.7819,Cow,29,27,4,1,0,22,0,0,29,25,24,23,0,0,11,16,12,17,0,0,0,2,
2:36:41,336.7003,Cow,29,27,3,2,0,22,0,0,29,26,24,23,0,0,11,16,12,17,0,0,0,2,
2:36:42,339.6495,Cow,30,28,4,2,0,22,0,0,30,26,24,23,0,0,11,17,12,18,0,0,0,2,
2:36:45,348.1568,Cow,31,29,5,2,0,22,0,0,31,26,24,23,0,0,12,17,13,18,0,0,0,2,
2:36:48,357.4565,Cow,31,29,4,3,0,22,0,0,31,27,24,23,0,0,12,17,13,18,0,0,0,2,
2:36:50,363.9715,Cow,32,30,5,3,0,22,0,0,32,27,24,23,0,0,13,17,14,18,0,0,0,2,
2:36:50,364.2689,Cow,33,31,6,3,0,22,0,0,33,27,24,23,0,0,14,17,15,18,0,0,0,2,
2:36:53,372.2556,Cow,33,31,5,4,0,22,0,0,33,28,24,23,0,0,14,17,15,18,0,0,0,2,
2:36:56,381.5186,Cow,33,30,5,4,0,21,0,0,33,28,24,23,0,0,13,17,15,18,0,1,0,2,
2:37:0,391.9213,Cow,33,30,5,3,1,21,0,0,33,28,25,23,0,0,13,17,15,18,0,1,0,2,
2:37:0,393.0072,Cow,33,30,5,2,2,21,0,0,33,28,26,23,0,0,13,17,15,18,0,1,0,2,
2:37:3,400.4405,Cow,33,30,4,3,2,21,0,0,33,29,26,23,0,0,13,17,15,18,0,1,0,2,
2:37:3,402.0872,Cow,33,30,4,3,2,0,21,0,33,29,26,23,21,0,13,17,15,18,0,1,0,2,
2:37:7,413.1423,Cow,34,31,5,3,2,0,21,0,34,29,26,23,21,0,13,18,15,19,0,1,0,2,
2:37:7,413.6706,Cow,34,31,5,2,3,0,21,0,34,29,27,23,21,0,13,18,15,19,0,1,0,2,
2:37:12,427.3231,Cow,34,30,5,2,2,0,21,0,34,29,27,23,21,0,13,17,15,19,0,2,0,2,
2:37:13,428.3069,Cow,34,30,5,1,3,0,21,0,34,29,28,23,21,0,13,17,15,19,0,2,0,2,
2:37:19,444.1622,Cow,35,31,6,1,3,0,21,0,35,29,28,23,21,0,14,17,16,19,0,2,0,2,
2:37:19,445.0576,Cow,36,32,7,1,3,0,21,0,36,29,28,23,21,0,14,18,16,20,0,2,0,2,
2:37:23,456.3788,Cow,36,32,7,0,4,0,21,0,36,29,29,23,21,0,14,18,16,20,0,2,0,2,
2:37:24,459.6753,Cow,36,32,6,1,4,0,21,0,36,30,29,23,21,0,14,18,16,20,0,2,0,2,
