System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
2:34:49,2.072567,Fox,18,18,18,0,0,0,0,0,18,0,0,0,0,0,7,11,7,11,0,0,0,0,
2:35:17,84.41035,Fox,18,18,0,18,0,0,0,0,18,18,0,0,0,0,7,11,7,11,0,0,0,0,
2:35:30,122.944,Fox,18,18,0,0,18,0,0,0,18,18,18,0,0,0,7,11,7,11,0,0,0,0,
2:35:41,157.7146,Fox,20,20,2,0,18,0,0,0,20,18,18,0,0,0,9,11,9,11,0,0,0,0,
2:35:41,157.9407,Fox,22,22,4,0,18,0,0,0,22,18,18,0,0,0,9,13,9,13,0,0,0,0,
2:35:46,171.905,Fox,24,24,6,0,18,0,0,0,24,18,18,0,0,0,10,14,10,14,0,0,0,0,
2:35:50,183.3934,Fox,24,24,6,0,0,18,0,0,24,18,18,18,0,0,10,14,10,14,0,0,0,0,
2:36:7,234.9065,Fox,26,26,8,0,0,18,0,0,26,18,18,18,0,0,12,14,12,14,0,0,0,0,
2:36:9,240.292,Fox,26,26,6,2,0,18,0,0,26,20,18,18,0,0,12,14,12,14,0,0,0,0,
2:36:9,240.5483,Fox,26,26,4,4,0,18,0,0,26,22,18,18,0,0,12,14,12,14,0,0,0,0,
2:36:13,254.5084,Fox,26,26,2,6,0,18,0,0,26,24,18,18,0,0,12,14,12,14,0,0,0,0,
2:36:14,255.7912,Fox,28,28,4,6,0,18,0,0,28,24,18,18,0,0,13,15,13,15,0,0,0,0,
2:36:18,268.1858,Fox,30,30,6,6,0,18,0,0,30,24,18,18,0,0,13,17,13,17,0,0,0,0,
2:36:21,276.9448,Fox,30,30,6,6,0,0,18,0,30,24,18,18,18,0,13,17,13,17,0,0,0,0,
