System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
2:34:49,2.072567,Lion,12,12,12,0,0,0,0,0,12,0,0,0,0,0,7,5,7,5,0,0,0,0,
2:35:24,106.8702,Lion,12,12,0,12,0,0,0,0,12,12,0,0,0,0,7,5,7,5,0,0,0,0,
2:35:41,155.9422,Lion,12,12,0,0,12,0,0,0,12,12,12,0,0,0,7,5,7,5,0,0,0,0,
2:35:51,188.5407,Lion,13,13,1,0,12,0,0,0,13,12,12,0,0,0,8,5,8,5,0,0,0,0,
2:36:6,232.9177,Lion,13,13,1,0,0,12,0,0,13,12,12,12,0,0,8,5,8,5,0,0,0,0,
2:36:19,269.6706,Lion,14,14,2,0,0,12,0,0,14,12,12,12,0,0,9,5,9,5,0,0,0,0,
2:36:27,293.6475,Lion,14,14,1,1,0,12,0,0,14,13,12,12,0,0,9,5,9,5,0,0,0,0,
2:36:43,342.5956,Lion,14,14,1,0,1,12,0,0,14,13,13,12,0,0,9,5,9,5,0,0,0,0,
2:36:46,351.2049,Lion,15,15,2,0,1,12,0,0,15,13,13,12,0,0,9,6,9,6,0,0,0,0,
2:36:46,351.8975,Lion,15,15,2,0,1,0,12,0,15,13,13,12,12,0,9,6,9,6,0,0,0,0,
2:36:54,374.777,Lion,15,15,1,1,1,0,12,0,15,14,13,12,12,0,9,6,9,6,0,0,0,0,
2:37:9,419.7886,Lion,15,15,1,1,0,1,12,0,15,14,13,13,12,0,9,6,9,6,0,0,0,0,
2:37:11,423.872,Lion,15,15,1,0,1,1,12,0,15,14,14,13,12,0,9,6,9,6,0,0,0,0,
2:37:12,425.5238,Lion,15,14,1,0,1,1,11,0,15,14,14,13,12,0,8,6,9,6,0,1,0,0,
2:37:13,429.6689,Lion,16,15,2,0,1,1,11,0,16,14,14,13,12,0,9,6,10,6,0,1,0,0,
2:37:23,456.3788,Lion,16,15,1,1,1,1,11,0,16,15,14,13,12,0,9,6,10,6,0,1,0,0,
2:37:35,492.1135,Lion,17,16,2,1,1,1,11,0,17,15,14,13,12,0,10,6,11,6,0,1,0,0,
2:37:37,500.7636,Lion,17,16,2,1,0,2,11,0,17,15,14,14,12,0,10,6,11,6,0,1,0,0,
2:37:39,505.2783,Lion,17,16,2,0,1,2,11,0,17,15,15,14,12,0,10,6,11,6,0,1,0,0,
2:37:41,510.4111,Lion,18,17,3,0,1,2,11,0,18,15,15,14,12,0,10,7,11,7,0,1,0,0,
2:37:46,527.0386,Lion,18,17,3,0,1,2,0,11,18,15,15,14,12,11,10,7,11,7,0,1,0,0,
2:37:49,534.5491,Lion,18,17,2,1,1,2,0,11,18,16,15,14,12,11,10,7,11,7,0,1,0,0,
2:37:50,538.5773,Lion,18,17,2,1,1,1,1,11,18,16,15,14,13,11,10,7,11,7,0,1,0,0,
2:37:53,547.2435,Lion,18,15,2,1,1,1,1,9,18,16,15,14,13,11,8,7,11,7,0,1,2,0,
