System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
3:16:58,2.37317,Chicken,24,24,24,0,0,0,0,0,24,0,0,0,0,0,12,12,12,12,0,0,0,0,
3:17:9,35.01231,Chicken,24,23,23,0,0,0,0,0,24,0,0,0,0,0,11,12,12,12,0,0,0,1,
3:17:11,39.7539,Chicken,24,23,0,23,0,0,0,0,24,23,0,0,0,0,11,12,12,12,0,0,0,1,
3:17:23,77.18545,Chicken,24,23,0,0,23,0,0,0,24,23,23,0,0,0,11,12,12,12,0,0,0,1,
3:17:36,114.7281,Chicken,24,23,0,0,0,23,0,0,24,23,23,23,0,0,11,12,12,12,0,0,0,1,
3:17:48,151.7563,Chicken,24,22,0,0,0,22,0,0,24,23,23,23,0,0,10,12,12,12,0,0,0,2,
3:17:56,176.4112,Chicken,27,25,3,0,0,22,0,0,27,23,23,23,0,0,12,13,14,13,0,0,0,2,
3:18:1,189.7271,Chicken,27,25,3,0,0,0,22,0,27,23,23,23,22,0,12,13,14,13,0,0,0,2,
3:18:4,198.0852,Chicken,27,24,3,0,0,0,21,0,27,23,23,23,22,0,12,12,14,13,0,0,0,3,
3:18:6,206.5844,Chicken,27,23,3,0,0,0,20,0,27,23,23,23,22,0,11,12,14,13,0,0,0,4,
3:18:9,214.0007,Chicken,27,23,0,3,0,0,20,0,27,26,23,23,22,0,11,12,14,13,0,0,0,4,
3:18:9,214.3747,Chicken,27,22,0,3,0,0,19,0,27,26,23,23,22,0,11,11,14,13,0,0,0,5,
3:18:12,223.1112,Chicken,27,21,0,3,0,0,18,0,27,26,23,23,22,0,10,11,14,13,0,0,0,6,
3:18:13,225.788,Chicken,27,20,0,3,0,0,17,0,27,26,23,23,22,0,9,11,14,13,0,0,0,7,
3:18:15,232.0587,Chicken,27,19,0,3,0,0,16,0,27,26,23,23,22,0,9,10,14,13,0,0,0,8,
3:18:18,240.8273,Chicken,27,18,0,3,0,0,15,0,27,26,23,23,22,0,8,10,14,13,0,0,0,9,
3:18:20,245.9777,Chicken,27,17,0,3,0,0,14,0,27,26,23,23,22,0,8,9,14,13,0,0,0,10,
3:18:21,248.908,Chicken,27,16,0,3,0,0,13,0,27,26,23,23,22,0,8,8,14,13,0,0,0,11,
3:18:21,251.42,Chicken,27,16,0,0,3,0,13,0,27,26,26,23,22,0,8,8,14,13,0,0,0,11,
3:18:24,259.8743,Chicken,27,15,0,0,3,0,12,0,27,26,26,23,22,0,7,8,14,13,0,0,0,12,
3:18:26,265.6796,Chicken,27,14,0,0,3,0,11,0,27,26,26,23,22,0,7,7,14,13,0,0,0,13,
3:18:31,280.5352,Chicken,27,13,0,0,3,0,10,0,27,26,26,23,22,0,6,7,14,13,0,0,0,14,
3:18:32,282.83,Chicken,30,16,3,0,3,0,10,0,30,26,26,23,22,0,7,9,15,15,0,0,0,14,
3:18:32,283.3966,Chicken,33,19,6,0,3,0,10,0,33,26,26,23,22,0,10,9,18,15,0,0,0,14,
3:18:32,283.4981,Chicken,33,19,6,0,3,0,0,10,33,26,26,23,22,10,10,9,18,15,0,0,0,14,
