System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
3:16:58,2.37317,Cow,24,24,24,0,0,0,0,0,24,0,0,0,0,0,12,12,12,12,0,0,0,0,
3:17:0,7.930206,Cow,24,23,23,0,0,0,0,0,24,0,0,0,0,0,11,12,12,12,0,0,0,1,
3:17:10,38.68793,Cow,24,22,22,0,0,0,0,0,24,0,0,0,0,0,11,11,12,12,0,0,0,2,
3:17:15,51.91216,Cow,24,21,21,0,0,0,0,0,24,0,0,0,0,0,11,10,12,12,0,0,0,3,
3:17:38,122.2269,Cow,24,21,0,21,0,0,0,0,24,21,0,0,0,0,11,10,12,12,0,0,0,3,
3:17:57,178.1995,Cow,24,21,0,0,21,0,0,0,24,21,21,0,0,0,11,10,12,12,0,0,0,3,
3:18:10,217.2332,Cow,26,23,1,0,21,0,0,0,25,21,21,0,0,0,12,11,13,13,0,0,0,3,
3:18:10,217.3276,Cow,26,23,2,0,21,0,0,0,26,21,21,0,0,0,12,11,13,13,0,0,0,3,
3:18:10,217.7324,Cow,27,24,3,0,21,0,0,0,27,21,21,0,0,0,12,12,13,14,0,0,0,3,
3:18:26,266.2303,Cow,27,24,3,0,0,21,0,0,27,21,21,21,0,0,12,12,13,14,0,0,0,3,
3:18:45,320.7594,Cow,28,25,4,0,0,21,0,0,28,21,21,21,0,0,12,13,13,15,0,0,0,3,
3:18:50,337.3998,Cow,28,25,2,2,0,21,0,0,28,23,21,21,0,0,12,13,13,15,0,0,0,3,
3:18:50,337.7737,Cow,28,25,1,3,0,21,0,0,28,24,21,21,0,0,12,13,13,15,0,0,0,3,
3:18:56,356.0986,Cow,28,24,1,3,0,20,0,0,28,24,21,21,0,0,11,13,13,15,1,0,0,3,
3:19:9,393.0871,Cow,28,17,1,3,0,13,0,0,28,24,21,21,0,0,10,7,13,15,3,5,0,3,
3:19:9,393.4412,Cow,28,17,1,1,2,13,0,0,28,24,23,21,0,0,10,7,13,15,3,5,0,3,
3:19:9,393.7362,Cow,28,17,1,0,3,13,0,0,28,24,24,21,0,0,10,7,13,15,3,5,0,3,
3:19:12,402.274,Cow,28,17,1,0,3,0,13,0,28,24,24,21,13,0,10,7,13,15,3,5,0,3,
3:19:20,427.5386,Cow,29,18,2,0,3,0,13,0,29,24,24,21,13,0,11,7,14,15,3,5,0,3,
3:19:21,428.9046,Cow,29,17,2,0,2,0,13,0,29,24,24,21,13,0,11,6,14,15,4,5,0,3,
3:19:21,430.438,Cow,30,18,3,0,2,0,13,0,30,24,24,21,13,0,11,7,14,16,4,5,0,3,
3:19:22,432.8289,Cow,31,19,4,0,2,0,13,0,31,24,24,21,13,0,12,7,15,16,4,5,0,3,
3:19:25,440.816,Cow,31,19,3,1,2,0,13,0,31,25,24,21,13,0,12,7,15,16,4,5,0,3,
3:19:38,481.2567,Cow,31,19,3,1,1,1,13,0,31,25,24,22,13,0,12,7,15,16,4,5,0,3,
3:19:38,481.7961,Cow,31,19,3,1,0,2,13,0,31,25,24,23,13,0,12,7,15,16,4,5,0,3,
3:19:43,496.885,Cow,31,19,3,0,1,2,13,0,31,25,25,23,13,0,12,7,15,16,4,5,0,3,
3:19:47,508.9026,Cow,31,18,3,0,1,2,12,0,31,25,25,23,13,0,11,7,15,16,4,5,0,4,
3:19:53,526.8481,Cow,32,19,4,0,1,2,12,0,32,25,25,23,13,0,11,8,15,17,4,5,0,4,
3:19:55,532.2713,Cow,33,20,5,0,1,2,12,0,33,25,25,23,13,0,11,9,15,18,4,5,0,4,
3:20:0,547.5966,Cow,33,20,4,1,1,2,12,0,33,26,25,23,13,0,11,9,15,18,4,5,0,4,
3:20:1,550.4687,Cow,33,20,3,2,1,2,12,0,33,27,25,23,13,0,11,9,15,18,4,5,0,4,
3:20:2,552.8461,Cow,33,20,2,3,1,2,12,0,33,28,25,23,13,0,11,9,15,18,4,5,0,4,
3:20:8,572.3745,Cow,34,21,3,3,1,2,12,0,34,28,25,23,13,0,12,9,16,18,4,5,0,4,
3:20:11,579.5257,Cow,35,22,4,3,1,2,12,0,35,28,25,23,13,0,12,10,16,19,4,5,0,4,
3:20:13,584.7874,Cow,35,22,4,3,0,3,12,0,35,28,25,24,13,0,12,10,16,19,4,5,0,4,
3:20:18,602.1998,Cow,35,22,4,3,0,3,0,12,35,28,25,24,13,12,12,10,16,19,4,5,0,4,
3:20:19,603.6706,Cow,35,22,4,2,1,3,0,12,35,28,26,24,13,12,12,10,16,19,4,5,0,4,
3:20:20,606.4801,Cow,35,22,4,1,2,3,0,12,35,28,27,24,13,12,12,10,16,19,4,5,0,4,
3:20:21,608.752,Cow,35,22,4,0,3,3,0,12,35,28,28,24,13,12,12,10,16,19,4,5,0,4,
3:20:22,613.255,Cow,35,21,4,0,3,2,0,12,35,28,28,24,13,12,11,10,16,19,4,6,0,4,
3:20:24,617.8203,Cow,35,21,4,0,3,1,1,12,35,28,28,24,14,12,11,10,16,19,4,6,0,4,
3:20:31,639.0694,Cow,35,20,4,0,2,1,1,12,35,28,28,24,14,12,10,10,16,19,4,7,0,4,
3:20:32,641.978,Cow,35,19,4,0,1,1,1,12,35,28,28,24,14,12,10,9,16,19,4,8,0,4,
3:20:32,642.4177,Cow,35,18,4,0,1,1,1,11,35,28,28,24,14,12,9,9,16,19,4,8,1,4,
3:20:32,644.3235,Cow,35,17,4,0,0,1,1,11,35,28,28,24,14,12,8,9,16,19,4,9,1,4,
3:20:33,646.8768,Cow,35,17,3,1,0,1,1,11,35,29,28,24,14,12,8,9,16,19,4,9,1,4,
3:20:35,652.4327,Cow,35,15,2,2,0,1,1,9,35,30,28,24,14,12,6,9,16,19,4,9,3,4,
3:20:35,653.1771,Cow,36,16,3,2,0,1,1,9,36,30,28,24,14,12,7,9,17,19,4,9,3,4,
3:20:38,662.4899,Cow,36,15,3,2,0,1,1,8,36,30,28,24,14,12,7,8,17,19,4,9,4,4,
3:20:42,672.4905,Cow,36,13,3,2,0,1,1,6,36,30,28,24,14,12,6,7,17,19,4,9,6,4,
3:20:42,673.6022,Cow,36,12,3,2,0,1,0,6,36,30,28,24,14,12,6,6,17,19,4,10,6,4,
3:20:45,682.5532,Cow,36,9,3,2,0,1,0,3,36,30,28,24,14,12,4,5,17,19,4,10,9,4,
3:20:48,692.4138,Cow,36,9,2,3,0,1,0,3,36,31,28,24,14,12,4,5,17,19,4,10,9,4,
3:20:48,692.5684,Cow,36,8,2,3,0,1,0,2,36,31,28,24,14,12,3,5,17,19,4,10,10,4,
3:20:51,699.5231,Cow,36,8,1,4,0,1,0,2,36,32,28,24,14,12,3,5,17,19,4,10,10,4,
3:20:52,702.618,Cow,36,7,1,4,0,1,0,1,36,32,28,24,14,12,3,4,17,19,4,10,11,4,
3:20:52,702.8668,Cow,36,7,1,3,1,1,0,1,36,32,29,24,14,12,3,4,17,19,4,10,11,4,
3:20:54,708.2703,Cow,36,7,1,2,2,1,0,1,36,32,30,24,14,12,3,4,17,19,4,10,11,4,
3:20:58,720.8078,Cow,36,7,1,2,2,0,1,1,36,32,30,24,15,12,3,4,17,19,4,10,11,4,
3:21:4,738.3913,Cow,36,6,1,2,1,0,1,1,36,32,30,24,15,12,3,3,17,19,4,11,11,4,
3:21:5,742.7331,Cow,36,5,1,2,1,0,1,0,36,32,30,24,15,12,2,3,17,19,4,11,12,4,
3:21:6,743.8137,Cow,36,4,1,2,0,0,1,0,36,32,30,24,15,12,2,2,17,19,4,12,12,4,
3:21:7,748.3864,Cow,36,4,1,1,1,0,1,0,36,32,31,24,15,12,2,2,17,19,4,12,12,4,
3:21:9,755.5287,Cow,36,4,1,0,2,0,1,0,36,32,32,24,15,12,2,2,17,19,4,12,12,4,
3:21:15,773.215,Cow,36,4,0,1,2,0,1,0,36,33,32,24,15,12,2,2,17,19,4,12,12,4,
