System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
3:16:58,2.37317,Fox,18,18,18,0,0,0,0,0,18,0,0,0,0,0,9,9,9,9,0,0,0,0,
3:17:26,84.70718,Fox,18,18,0,18,0,0,0,0,18,18,0,0,0,0,9,9,9,9,0,0,0,0,
3:17:39,123.185,Fox,18,18,0,0,18,0,0,0,18,18,18,0,0,0,9,9,9,9,0,0,0,0,
3:17:51,160.3399,Fox,20,20,2,0,18,0,0,0,20,18,18,0,0,0,11,9,11,9,0,0,0,0,
3:17:51,161.616,Fox,22,22,4,0,18,0,0,0,22,18,18,0,0,0,12,10,12,10,0,0,0,0,
3:17:59,183.7318,Fox,22,22,4,0,0,18,0,0,22,18,18,18,0,0,12,10,12,10,0,0,0,0,
3:18:4,200.0804,Fox,24,24,6,0,0,18,0,0,24,18,18,18,0,0,13,11,13,11,0,0,0,0,
3:18:5,201.4126,Fox,26,26,8,0,0,18,0,0,26,18,18,18,0,0,13,13,13,13,0,0,0,0,
3:18:5,201.7723,Fox,28,28,10,0,0,18,0,0,28,18,18,18,0,0,14,14,14,14,0,0,0,0,
3:18:19,242.8715,Fox,28,28,8,2,0,18,0,0,28,20,18,18,0,0,14,14,14,14,0,0,0,0,
3:18:19,244.1698,Fox,28,28,6,4,0,18,0,0,28,22,18,18,0,0,14,14,14,14,0,0,0,0,
3:18:19,244.6167,Fox,30,29,8,4,0,17,0,0,30,22,18,18,0,0,15,14,16,14,1,0,0,0,
3:18:25,262.4101,Fox,32,30,10,4,0,16,0,0,32,22,18,18,0,0,16,14,18,14,1,1,0,0,
3:18:30,277.2714,Fox,32,30,10,4,0,0,16,0,32,22,18,18,16,0,16,14,18,14,1,1,0,0,
3:18:31,281.4004,Fox,32,30,10,2,2,0,16,0,32,22,20,18,16,0,16,14,18,14,1,1,0,0,
3:18:32,281.9124,Fox,34,32,12,2,2,0,16,0,34,22,20,18,16,0,16,16,18,16,1,1,0,0,
3:18:32,282.83,Fox,34,32,10,2,4,0,16,0,34,24,22,18,16,0,16,16,18,16,1,1,0,0,
3:18:32,283.9101,Fox,34,32,8,4,4,0,16,0,34,26,22,18,16,0,16,16,18,16,1,1,0,0,
3:18:32,284.2893,Fox,34,32,6,6,4,0,16,0,34,28,22,18,16,0,16,16,18,16,1,1,0,0,
3:18:37,299.1533,Fox,34,31,6,6,4,0,15,0,34,28,22,18,16,0,16,15,18,16,1,1,0,1,
3:18:41,310.3561,Fox,34,28,6,6,4,0,12,0,34,28,22,18,16,0,13,15,18,16,1,4,0,1,
3:18:42,313.8521,Fox,34,27,6,6,4,0,11,0,34,28,22,18,16,0,13,14,18,16,1,4,0,2,
3:18:45,321.1581,Fox,34,27,6,4,6,0,11,0,34,28,24,18,16,0,13,14,18,16,1,4,0,2,
3:18:45,322.4551,Fox,34,27,6,2,8,0,11,0,34,28,26,18,16,0,13,14,18,16,1,4,0,2,
3:18:45,322.846,Fox,34,27,6,0,10,0,11,0,34,28,28,18,16,0,13,14,18,16,1,4,0,2,
3:18:46,325.8831,Fox,36,28,8,0,9,0,11,0,36,28,28,18,16,0,12,16,18,18,2,4,0,2,
3:18:47,327.214,Fox,36,28,6,2,9,0,11,0,36,30,28,18,16,0,12,16,18,18,2,4,0,2,
3:18:52,341.8615,Fox,36,28,6,2,7,2,11,0,36,30,28,20,16,0,12,16,18,18,2,4,0,2,
