System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
3:58:7,5.252082,Fox,18,18,18,0,0,0,0,0,18,0,0,0,0,0,7,11,7,11,0,0,0,0,
3:58:34,87.55855,Fox,18,18,0,18,0,0,0,0,18,18,0,0,0,0,7,11,7,11,0,0,0,0,
3:58:47,126.1171,Fox,18,18,0,0,18,0,0,0,18,18,18,0,0,0,7,11,7,11,0,0,0,0,
3:58:59,161.8124,Fox,20,20,2,0,18,0,0,0,20,18,18,0,0,0,8,12,8,12,0,0,0,0,
3:59:0,163.2514,Fox,22,22,4,0,18,0,0,0,22,18,18,0,0,0,9,13,9,13,0,0,0,0,
3:59:7,186.6221,Fox,22,22,4,0,0,18,0,0,22,18,18,18,0,0,9,13,9,13,0,0,0,0,
3:59:25,239.1084,Fox,24,23,6,0,0,17,0,0,24,18,18,18,0,0,9,14,10,14,0,1,0,0,
3:59:27,244.3896,Fox,24,23,4,2,0,17,0,0,24,20,18,18,0,0,9,14,10,14,0,1,0,0,
3:59:27,245.7686,Fox,24,23,2,4,0,17,0,0,24,22,18,18,0,0,9,14,10,14,0,1,0,0,
3:59:31,256.1045,Fox,26,24,4,4,0,16,0,0,26,22,18,18,0,0,9,15,11,15,0,2,0,0,
3:59:33,263.8908,Fox,28,26,6,4,0,16,0,0,28,22,18,18,0,0,10,16,12,16,0,2,0,0,
3:59:39,280.0984,Fox,28,26,6,4,0,0,16,0,28,22,18,18,16,0,10,16,12,16,0,2,0,0,
3:59:40,282.9007,Fox,28,26,6,2,2,0,16,0,28,22,20,18,16,0,10,16,12,16,0,2,0,0,
3:59:40,284.2531,Fox,28,26,6,0,4,0,16,0,28,22,22,18,16,0,10,16,12,16,0,2,0,0,
3:59:51,317.6417,Fox,30,27,8,0,3,0,16,0,30,22,22,18,16,0,9,18,12,18,0,3,0,0,
3:59:52,319.2068,Fox,32,28,10,0,2,0,16,0,32,22,22,18,16,0,9,19,13,19,0,4,0,0,
3:59:52,321.6559,Fox,32,28,8,2,2,0,16,0,32,24,22,18,16,0,9,19,13,19,0,4,0,0,
3:59:58,338.645,Fox,32,28,6,4,2,0,16,0,32,26,22,18,16,0,9,19,13,19,0,4,0,0,
3:59:58,339.0194,Fox,34,30,8,4,2,0,16,0,34,26,22,18,16,0,9,21,13,21,0,4,0,0,
4:0:0,343.3008,Fox,34,30,8,4,1,1,16,0,34,26,22,19,16,0,9,21,13,21,0,4,0,0,
4:0:0,344.7735,Fox,34,30,8,4,0,2,16,0,34,26,22,20,16,0,9,21,13,21,0,4,0,0,
4:0:1,346.4441,Fox,34,30,6,6,0,2,16,0,34,28,22,20,16,0,9,21,13,21,0,4,0,0,
4:0:3,353.9837,Fox,34,29,6,6,0,1,16,0,34,28,22,20,16,0,9,20,13,21,0,5,0,0,
4:0:5,360.1538,Fox,34,29,6,4,2,1,16,0,34,28,24,20,16,0,9,20,13,21,0,5,0,0,
4:0:11,377.1028,Fox,34,29,6,2,4,1,16,0,34,28,26,20,16,0,9,20,13,21,0,5,0,0,
4:0:14,384.8617,Fox,34,29,6,0,6,1,16,0,34,28,28,20,16,0,9,20,13,21,0,5,0,0,
4:0:17,395.3711,Fox,36,30,8,0,5,1,16,0,36,28,28,20,16,0,10,20,15,21,0,6,0,0,
4:0:19,400.2041,Fox,36,26,6,2,5,1,12,0,36,30,28,20,16,0,9,17,15,21,0,10,0,0,
4:0:19,401.7205,Fox,36,26,4,4,5,1,12,0,36,32,28,20,16,0,9,17,15,21,0,10,0,0,
4:0:24,417.5913,Fox,36,26,4,4,5,1,0,12,36,32,28,20,16,12,9,17,15,21,0,10,0,0,
4:0:25,420.6606,Fox,36,26,4,4,4,2,0,12,36,32,28,21,16,12,9,17,15,21,0,10,0,0,
4:0:26,421.6021,Fox,36,26,2,6,4,2,0,12,36,34,28,21,16,12,9,17,15,21,0,10,0,0,
4:0:26,422.8962,Fox,38,27,2,6,4,2,0,11,36,34,28,21,16,12,10,17,16,22,0,10,0,1,
4:0:26,422.9972,Fox,38,27,4,6,4,2,0,11,38,34,28,21,16,12,10,17,16,22,0,10,0,1,
4:0:27,426.3966,Fox,40,28,6,6,3,2,0,11,40,34,28,21,16,12,11,17,18,22,0,11,0,1,
4:0:28,427.6072,Fox,40,26,6,6,3,2,0,9,40,34,28,21,16,12,10,16,18,22,0,11,2,1,
4:0:31,437.6331,Fox,40,25,6,6,2,3,0,8,40,34,28,22,16,12,10,15,18,22,0,11,3,1,
4:0:31,438.2557,Fox,40,25,6,6,2,2,1,8,40,34,28,22,17,12,10,15,18,22,0,11,3,1,
4:0:31,438.6493,Fox,40,25,6,4,4,2,1,8,40,34,30,22,17,12,10,15,18,22,0,11,3,1,
4:0:32,440.2581,Fox,40,25,6,2,6,2,1,8,40,34,32,22,17,12,10,15,18,22,0,11,3,1,
4:0:34,445.4051,Fox,40,25,6,2,4,4,1,8,40,34,32,24,17,12,10,15,18,22,0,11,3,1,
4:0:34,445.6812,Fox,42,27,8,2,4,4,1,8,42,34,32,24,17,12,11,16,19,23,0,11,3,1,
