System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
18:38:12,491.0308,Cow,6,0,0,0,0,0,0,0,6,4,4,3,2,2,0,0,2,4,2,0,2,2,
18:47:40,489.0179,Cow,6,0,0,0,0,0,0,0,6,6,6,3,2,2,0,0,3,3,2,0,2,2,
18:57:29,491.0672,Cow,7,0,0,0,0,0,0,0,7,6,5,4,4,4,0,0,4,3,2,0,4,1,
19:18:58,520.0558,Cow,7,1,0,0,0,0,1,0,7,6,6,5,5,2,0,1,4,3,1,0,2,3,
19:28:2,496.0168,Cow,6,0,0,0,0,0,0,0,6,4,4,3,3,1,0,0,5,1,2,0,1,3,
19:33:21,496.0246,Cow,7,0,0,0,0,0,0,0,7,4,3,3,3,3,0,0,3,4,1,0,3,3,
19:38:55,489.0653,Cow,6,0,0,0,0,0,0,0,6,5,5,3,1,1,0,0,5,1,1,0,1,4,
19:8:16,489.0184,Cow,6,0,0,0,0,0,0,0,6,5,5,4,4,2,0,0,3,3,1,0,2,3,
19:49:19,390.5263,Cow,6,0,0,0,0,0,0,0,6,6,6,2,2,0,0,0,2,4,2,2,0,2,
19:58:45,493.0363,Cow,7,0,0,0,0,0,0,0,7,7,6,2,2,1,0,0,3,4,4,0,1,2,
19:13:48,489.0482,Cow,6,0,0,0,0,0,0,0,6,4,4,1,1,1,0,0,3,3,1,0,1,4,
20:20:45,492.0184,Cow,6,0,0,0,0,0,0,0,6,6,4,2,2,2,0,0,1,5,1,0,2,3,
20:6:40,495.0449,Cow,7,0,0,0,0,0,0,0,7,6,4,3,3,3,0,0,5,2,2,0,3,2,
20:32:22,874.2989,Cow,12,2,0,0,0,0,2,0,12,12,9,9,9,7,0,2,5,7,3,0,7,0,
20:13:38,498.0167,Cow,6,0,0,0,0,0,0,0,6,3,3,1,1,1,0,0,4,2,2,0,1,3,

