System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
18:38:21,508.4581,Lion,8,0,0,0,0,0,0,0,8,8,6,6,4,2,0,0,3,5,3,3,2,0,
18:48:38,587.6369,Lion,12,1,0,0,0,0,1,0,12,12,8,8,5,4,1,0,4,8,1,6,4,0,
18:57:11,454.0268,Lion,7,0,0,0,0,0,0,0,7,7,6,6,1,1,0,0,2,5,3,3,1,0,
19:18:48,501.4821,Lion,8,1,0,0,0,0,1,0,8,8,7,7,3,2,0,1,5,3,1,4,2,0,
19:29:0,610.4114,Lion,7,0,0,0,0,0,0,0,7,7,7,7,4,2,0,0,3,4,4,2,1,0,
19:33:2,458.0062,Lion,9,0,0,0,0,0,0,0,9,9,6,6,4,3,0,0,5,4,3,3,3,0,
19:38:37,453.0324,Lion,6,0,0,0,0,0,0,0,6,6,6,6,6,5,0,0,0,6,1,0,5,0,
19:8:3,463.0327,Lion,6,0,0,0,0,0,0,0,6,6,6,6,3,3,0,0,3,3,3,0,3,0,
19:49:52,455.0413,Lion,8,0,0,0,0,0,0,0,8,8,6,6,4,4,0,0,4,4,1,3,4,0,
19:58:25,454.0294,Lion,7,0,0,0,0,0,0,0,7,7,7,6,4,4,0,0,4,3,0,3,4,0,
19:13:32,457.0393,Lion,7,0,0,0,0,0,0,0,7,7,6,6,5,4,0,0,4,3,3,0,4,0,
20:20:54,509.7655,Lion,8,0,0,0,0,0,0,0,8,8,6,6,5,5,0,0,5,3,2,1,5,0,
20:9:0,775.4387,Lion,8,0,0,0,0,0,0,0,8,8,7,7,5,4,0,0,4,4,2,2,4,0,
20:28:52,453.0305,Lion,7,0,0,0,0,0,0,0,7,7,6,6,1,1,0,0,2,5,5,1,1,0,
20:13:18,457.0446,Lion,7,0,0,0,0,0,0,0,7,7,6,6,4,4,0,0,3,4,1,2,4,0,

