System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
18:39:19,625.2623,Pig,14,0,0,0,0,0,0,0,14,10,10,7,5,4,0,0,7,7,3,1,4,6,
18:45:15,200.2445,Pig,6,0,0,0,0,0,0,0,6,6,6,3,0,0,0,0,4,2,3,0,0,3,
18:59:20,711.8979,Pig,26,6,4,0,0,2,0,0,26,15,15,10,4,3,3,3,15,11,5,1,3,11,
19:17:47,379.0548,Pig,6,0,0,0,0,0,0,0,6,5,5,4,2,2,0,0,3,3,1,0,2,3,
19:27:3,377.0179,Pig,6,0,0,0,0,0,0,0,6,6,5,5,1,1,0,0,2,4,4,0,1,1,
19:34:20,614.0765,Pig,14,6,0,4,0,0,2,0,14,13,8,6,5,1,2,4,4,10,3,0,1,4,
19:39:36,570.6181,Pig,38,20,4,4,8,4,0,0,38,32,27,12,7,6,7,13,19,19,6,1,5,6,
19:7:20,377.0671,Pig,6,0,0,0,0,0,0,0,6,4,4,3,2,1,0,0,5,1,0,0,1,5,
19:49:14,380.0411,Pig,6,0,0,0,0,0,0,0,6,4,3,3,2,1,0,0,4,2,0,1,1,4,
19:57:47,377.0094,Pig,6,0,0,0,0,0,0,0,6,4,4,2,2,1,0,0,3,3,0,0,1,5,
19:12:48,368.078,Pig,6,0,0,0,0,0,0,0,6,5,5,4,2,0,0,0,3,3,2,0,0,4,
20:24:53,970.8185,Pig,246,188,84,36,22,23,21,2,246,159,123,76,51,26,100,88,137,109,25,0,24,9,
20:5:41,378.0615,Pig,6,0,0,0,0,0,0,0,6,5,4,4,3,3,0,0,5,1,0,1,3,2,
20:26:45,200.3047,Pig,6,0,0,0,0,0,0,0,6,5,4,3,0,0,0,0,2,4,2,1,0,3,
20:12:38,377.0384,Pig,6,0,0,0,0,0,0,0,6,6,5,4,2,1,0,0,4,2,2,0,1,3,

