System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
0:17:42,1.20964,Dog,6,6,6,0,0,0,0,0,6,0,0,0,0,0,4,2,4,2,0,0,0,0,
0:18:23,83.60445,Dog,6,6,0,6,0,0,0,0,6,6,0,0,0,0,4,2,4,2,0,0,0,0,
0:18:42,122.1428,Dog,6,6,0,0,6,0,0,0,6,6,6,0,0,0,4,2,4,2,0,0,0,0,
0:18:59,155.3987,Dog,6,5,0,0,5,0,0,0,6,6,6,0,0,0,3,2,4,2,0,0,0,1,
0:19:7,172.1742,Dog,7,6,1,0,5,0,0,0,7,6,6,0,0,0,4,2,5,2,0,0,0,1,
0:19:12,181.8087,Dog,7,5,1,0,4,0,0,0,7,6,6,0,0,0,3,2,5,2,0,1,0,1,
0:19:12,182.6199,Dog,7,5,1,0,0,4,0,0,7,6,6,4,0,0,3,2,5,2,0,1,0,1,
0:19:22,200.9914,Dog,7,3,1,0,0,2,0,0,7,6,6,4,0,0,2,1,5,2,1,2,0,1,
0:19:24,206.0858,Dog,8,4,2,0,0,2,0,0,8,6,6,4,0,0,2,2,5,3,1,2,0,1,
0:19:47,251.1595,Dog,8,3,1,0,0,2,0,0,8,6,6,4,0,0,1,2,5,3,1,2,0,2,
0:19:53,263.2557,Dog,8,2,0,0,0,2,0,0,8,6,6,4,0,0,1,1,5,3,1,2,0,3,
0:19:59,276.0866,Dog,8,2,0,0,0,0,2,0,8,6,6,4,2,0,1,1,5,3,1,2,0,3,
0:20:57,392.0043,Dog,8,1,0,0,0,0,1,0,8,6,6,4,2,0,1,0,5,3,1,3,0,3,
0:20:58,394.0422,Dog,8,0,0,0,0,0,0,0,8,6,6,4,2,0,0,0,5,3,1,4,0,3,
