System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
0:26:57,1.209358,Pig,8,8,8,0,0,0,0,0,8,0,0,0,0,0,5,3,5,3,0,0,0,0,
0:27:2,11.35329,Pig,8,7,7,0,0,0,0,0,8,0,0,0,0,0,5,2,5,3,0,0,0,1,
0:27:20,47.90223,Pig,8,6,6,0,0,0,0,0,8,0,0,0,0,0,4,2,5,3,0,0,0,2,
0:27:34,76.10362,Pig,8,6,0,6,0,0,0,0,8,6,0,0,0,0,4,2,5,3,0,0,0,2,
0:27:52,111.1379,Pig,8,6,0,0,6,0,0,0,8,6,6,0,0,0,4,2,5,3,0,0,0,2,
0:28:19,166.1007,Pig,8,6,0,0,0,6,0,0,8,6,6,6,0,0,4,2,5,3,0,0,0,2,
0:28:21,169.6915,Pig,12,9,4,0,0,5,0,0,12,6,6,6,0,0,6,3,8,4,0,1,0,2,
0:28:27,180.7081,Pig,12,8,4,0,0,4,0,0,12,6,6,6,0,0,6,2,8,4,0,2,0,2,
0:28:41,209.0769,Pig,12,7,4,0,0,3,0,0,12,6,6,6,0,0,6,1,8,4,0,2,0,3,
0:28:41,210.0032,Pig,12,6,3,0,0,3,0,0,12,6,6,6,0,0,6,0,8,4,0,2,0,4,
0:28:49,225.3256,Pig,12,5,2,0,0,3,0,0,12,6,6,6,0,0,5,0,8,4,0,2,0,5,
0:28:59,244.7166,Pig,12,5,0,2,0,3,0,0,12,8,6,6,0,0,5,0,8,4,0,2,0,5,
0:29:2,251.0954,Pig,12,5,0,2,0,0,3,0,12,8,6,6,3,0,5,0,8,4,0,2,0,5,
0:29:8,263.9048,Pig,12,3,0,0,0,0,3,0,12,8,6,6,3,0,3,0,8,4,0,4,0,5,
0:29:10,267.9182,Pig,12,2,0,0,0,0,2,0,12,8,6,6,3,0,2,0,8,4,0,4,0,6,
0:30:4,376.1092,Pig,12,2,0,0,0,0,0,2,12,8,6,6,3,2,2,0,8,4,0,4,0,6,
0:30:34,436.356,Pig,12,1,0,0,0,0,0,1,12,8,6,6,3,2,1,0,8,4,0,4,1,6,
0:30:44,456.5198,Pig,12,0,0,0,0,0,0,0,12,8,6,6,3,2,0,0,8,4,0,4,2,6,
