System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
0:56:31,1.208825,Chicken,8,8,8,0,0,0,0,0,8,0,0,0,0,0,4,4,4,4,0,0,0,0,
0:56:51,41.11957,Chicken,8,8,0,8,0,0,0,0,8,8,0,0,0,0,4,4,4,4,0,0,0,0,
0:57:11,81.14455,Chicken,8,8,0,0,8,0,0,0,8,8,8,0,0,0,4,4,4,4,0,0,0,0,
0:57:17,94.46301,Chicken,8,7,0,0,7,0,0,0,8,8,8,0,0,0,3,4,4,4,0,0,0,1,
0:57:31,121.1152,Chicken,8,7,0,0,0,7,0,0,8,8,8,7,0,0,3,4,4,4,0,0,0,1,
0:57:33,126.0446,Chicken,8,6,0,0,0,6,0,0,8,8,8,7,0,0,2,4,4,4,0,0,0,2,
0:57:44,146.7838,Chicken,11,9,3,0,0,6,0,0,11,8,8,7,0,0,3,6,5,6,0,0,0,2,
0:57:48,155.8669,Chicken,14,11,6,0,0,5,0,0,14,8,8,7,0,0,2,9,5,9,0,1,0,2,
0:57:53,164.9927,Chicken,14,10,6,0,0,4,0,0,14,8,8,7,0,0,2,8,5,9,0,1,0,3,
0:57:54,166.7556,Chicken,14,9,5,0,0,4,0,0,14,8,8,7,0,0,2,7,5,9,0,1,0,4,
0:57:55,170.1268,Chicken,14,8,4,0,0,4,0,0,14,8,8,7,0,0,2,6,5,9,0,1,0,5,
0:58:4,186.5527,Chicken,14,7,3,0,0,4,0,0,14,8,8,7,0,0,2,5,5,9,0,1,0,6,
0:58:4,186.7715,Chicken,14,7,0,3,0,4,0,0,14,11,8,7,0,0,2,5,5,9,0,1,0,6,
0:58:11,201.0967,Chicken,14,7,0,3,0,0,4,0,14,11,8,7,4,0,2,5,5,9,0,1,0,6,
0:58:19,218.0476,Chicken,17,10,3,3,0,0,4,0,17,11,8,7,4,0,4,6,7,10,0,1,0,6,
0:58:24,226.8911,Chicken,17,10,3,0,3,0,4,0,17,11,11,7,4,0,4,6,7,10,0,1,0,6,
0:58:34,247.1386,Chicken,17,9,3,0,3,0,3,0,17,11,11,7,4,0,3,6,7,10,0,1,0,7,
0:58:39,256.9766,Chicken,20,12,6,0,3,0,3,0,20,11,11,7,4,0,4,8,8,12,0,1,0,7,
0:58:40,258.1153,Chicken,20,12,3,3,3,0,3,0,20,14,11,7,4,0,4,8,8,12,0,1,0,7,
0:58:44,266.7894,Chicken,20,12,3,3,0,3,3,0,20,14,11,10,4,0,4,8,8,12,0,1,0,7,
0:58:51,281.7237,Chicken,20,11,3,3,0,3,2,0,20,14,11,10,4,0,4,7,8,12,0,1,0,8,
0:58:59,296.9654,Chicken,20,11,0,6,0,3,2,0,20,17,11,10,4,0,4,7,8,12,0,1,0,8,
0:59:0,298.0876,Chicken,20,11,0,3,3,3,2,0,20,17,14,10,4,0,4,7,8,12,0,1,0,8,
0:59:1,301.1004,Chicken,20,11,0,3,3,3,0,2,20,17,14,10,4,2,4,7,8,12,0,1,0,8,
0:59:2,303.4604,Chicken,20,8,0,3,0,3,0,2,20,17,14,10,4,2,2,6,8,12,1,3,0,8,
0:59:5,308.503,Chicken,20,7,0,3,0,2,0,2,20,17,14,10,4,2,2,5,8,12,1,3,0,9,
0:59:19,336.9968,Chicken,20,7,0,0,3,2,0,2,20,17,17,10,4,2,2,5,8,12,1,3,0,9,
0:59:22,342.3878,Chicken,20,5,0,0,1,2,0,2,20,17,17,10,4,2,1,4,8,12,3,3,0,9,
0:59:24,346.7532,Chicken,20,5,0,0,1,0,2,2,20,17,17,10,6,2,1,4,8,12,3,3,0,9,
0:59:26,351.1722,Chicken,20,4,0,0,1,0,2,1,20,17,17,10,6,2,1,3,8,12,3,3,1,9,
0:59:30,359.0279,Chicken,20,3,0,0,1,0,1,1,20,17,17,10,6,2,1,2,8,12,3,3,1,10,
0:59:36,371.2594,Chicken,20,2,0,0,1,0,1,0,20,17,17,10,6,2,1,1,8,12,3,3,2,10,
0:59:39,376.9617,Chicken,20,2,0,0,0,1,1,0,20,17,17,11,6,2,1,1,8,12,3,3,2,10,
1:0:14,446.8121,Chicken,20,2,0,0,0,1,0,1,20,17,17,11,6,3,1,1,8,12,3,3,2,10,
1:0:19,457.0019,Chicken,20,2,0,0,0,0,1,1,20,17,17,11,7,3,1,1,8,12,3,3,2,10,
1:0:39,496.9673,Chicken,20,1,0,0,0,0,1,0,20,17,17,11,7,3,0,1,8,12,3,3,3,10,
1:1:9,556.9517,Chicken,20,1,0,0,0,0,0,1,20,17,17,11,7,4,0,1,8,12,3,3,3,10,
1:1:29,597.0519,Chicken,20,0,0,0,0,0,0,0,20,17,17,11,7,4,0,0,8,12,3,3,4,10,
