System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
22:17:36,1.211648,Fox,6,6,6,0,0,0,0,0,6,0,0,0,0,0,2,4,2,4,0,0,0,0,
22:18:18,83.64613,Fox,6,6,0,6,0,0,0,0,6,6,0,0,0,0,2,4,2,4,0,0,0,0,
22:18:37,122.1271,Fox,6,6,0,0,6,0,0,0,6,6,6,0,0,0,2,4,2,4,0,0,0,0,
22:19:6,180.0371,Fox,8,8,2,0,6,0,0,0,8,6,6,0,0,0,4,4,4,4,0,0,0,0,
22:19:7,182.7198,Fox,8,8,2,0,0,6,0,0,8,6,6,6,0,0,4,4,4,4,0,0,0,0,
22:19:16,200.9807,Fox,8,3,2,0,0,1,0,0,8,6,6,6,0,0,3,0,4,4,2,3,0,0,
22:19:47,262.5701,Fox,8,3,0,2,0,1,0,0,8,8,6,6,0,0,3,0,4,4,2,3,0,0,
22:19:54,276.182,Fox,8,3,0,2,0,0,1,0,8,8,6,6,1,0,3,0,4,4,2,3,0,0,
22:20:6,301.0531,Fox,8,3,0,0,2,0,1,0,8,8,8,6,1,0,3,0,4,4,2,3,0,0,
22:20:9,307.1721,Fox,8,1,0,0,0,0,1,0,8,8,8,6,1,0,1,0,4,4,4,3,0,0,
22:21:3,413.619,Fox,8,1,0,0,0,0,0,1,8,8,8,6,1,1,1,0,4,4,4,3,0,0,
22:21:3,415.0498,Fox,8,0,0,0,0,0,0,0,8,8,8,6,1,1,0,0,4,4,4,3,1,0,
