System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
22:40:0,1.207168,Lion,6,6,6,0,0,0,0,0,6,0,0,0,0,0,3,3,3,3,0,0,0,0,
22:40:45,91.15517,Lion,6,6,0,6,0,0,0,0,6,6,0,0,0,0,3,3,3,3,0,0,0,0,
22:41:6,133.1239,Lion,6,6,0,0,6,0,0,0,6,6,6,0,0,0,3,3,3,3,0,0,0,0,
22:41:29,179.4089,Lion,7,7,1,0,6,0,0,0,7,6,6,0,0,0,3,4,3,4,0,0,0,0,
22:41:39,199.1015,Lion,7,7,1,0,0,6,0,0,7,6,6,6,0,0,3,4,3,4,0,0,0,0,
22:41:40,201.7709,Lion,7,3,1,0,0,2,0,0,7,6,6,6,0,0,0,3,3,4,4,0,0,0,
22:42:14,269.4127,Lion,7,3,0,1,0,2,0,0,7,7,6,6,0,0,0,3,3,4,4,0,0,0,
22:42:30,301.1464,Lion,7,3,0,1,0,0,2,0,7,7,6,6,2,0,0,3,3,4,4,0,0,0,
22:42:34,308.2077,Lion,7,2,0,0,0,0,2,0,7,7,6,6,2,0,0,2,3,4,5,0,0,0,
22:43:45,451.1557,Lion,7,2,0,0,0,0,0,2,7,7,6,6,2,2,0,2,3,4,5,0,0,0,
22:43:46,452.0805,Lion,7,1,0,0,0,0,0,1,7,7,6,6,2,2,0,1,3,4,5,0,1,0,
22:43:47,454.033,Lion,7,0,0,0,0,0,0,0,7,7,6,6,2,2,0,0,3,4,5,0,2,0,
