System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
22:4:7,1.211609,Cow,10,10,10,0,0,0,0,0,10,0,0,0,0,0,6,4,6,4,0,0,0,0,
22:4:56,98.60252,Cow,10,10,0,10,0,0,0,0,10,10,0,0,0,0,6,4,6,4,0,0,0,0,
22:5:19,144.2017,Cow,10,10,0,0,10,0,0,0,10,10,10,0,0,0,6,4,6,4,0,0,0,0,
22:5:32,171.2915,Cow,10,9,0,0,9,0,0,0,10,10,10,0,0,0,5,4,6,4,0,0,0,1,
22:5:44,195.0553,Cow,11,10,1,0,9,0,0,0,11,10,10,0,0,0,5,5,6,5,0,0,0,1,
22:5:48,203.435,Cow,11,7,1,0,6,0,0,0,11,10,10,0,0,0,3,4,6,5,3,0,0,1,
22:5:52,210.9874,Cow,11,6,1,0,5,0,0,0,11,10,10,0,0,0,2,4,6,5,4,0,0,1,
22:5:54,215.6041,Cow,11,6,1,0,0,5,0,0,11,10,10,5,0,0,2,4,6,5,4,0,0,1,
22:6:32,290.095,Cow,11,5,1,0,0,4,0,0,11,10,10,5,0,0,1,4,6,5,4,0,0,2,
22:6:33,292.5242,Cow,11,5,0,1,0,4,0,0,11,11,10,5,0,0,1,4,6,5,4,0,0,2,
22:6:50,324.9872,Cow,11,4,0,0,0,4,0,0,11,11,10,5,0,0,1,3,6,5,5,0,0,2,
22:6:51,326.1371,Cow,11,4,0,0,0,0,4,0,11,11,10,5,4,0,1,3,6,5,5,0,0,2,
22:8:12,487.3256,Cow,12,5,1,0,0,0,4,0,12,11,10,5,4,0,1,4,6,6,5,0,0,2,
22:8:13,488.6224,Cow,12,5,1,0,0,0,0,4,12,11,10,5,4,4,1,4,6,6,5,0,0,2,
22:8:13,489.0313,Cow,12,4,1,0,0,0,0,3,12,11,10,5,4,4,1,3,6,6,5,0,1,2,
22:8:13,490.0316,Cow,12,3,1,0,0,0,0,2,12,11,10,5,4,4,1,2,6,6,5,0,2,2,
22:8:14,491.0168,Cow,12,2,1,0,0,0,0,1,12,11,10,5,4,4,1,1,6,6,5,0,3,2,
22:8:14,492.0149,Cow,12,1,1,0,0,0,0,0,12,11,10,5,4,4,0,1,6,6,5,0,4,2,
22:9:1,584.8582,Cow,12,1,0,1,0,0,0,0,12,12,10,5,4,4,0,1,6,6,5,0,4,2,




































































































































































22:9:17,617.3083,Cow,12,0,0,0,0,0,0,0,12,12,10,5,4,4,0,0,6,6,6,0,4,2,
