System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
21:36:29,463.1343,Chicken,19,0,0,0,0,0,0,0,19,19,18,13,5,2,0,0,10,9,8,2,2,7,
22:0:4,546.4348,Chicken,22,0,0,0,0,0,0,0,22,22,19,14,11,7,0,0,13,9,7,0,7,8,
22:13:47,412.3006,Chicken,16,0,0,0,0,0,0,0,16,15,14,10,3,2,0,0,7,9,10,0,2,4,
22:22:2,531.6663,Chicken,16,0,0,0,0,0,0,0,16,15,14,9,4,3,0,0,10,6,4,0,3,9,
22:26:6,305.0259,Chicken,16,0,0,0,0,0,0,0,16,15,13,9,2,2,0,0,12,4,7,0,2,7,
22:43:1,363.085,Chicken,13,0,0,0,0,0,0,0,13,12,12,7,3,3,0,0,6,7,5,0,3,5,
22:5:32,171.6632,Chicken,10,0,0,0,0,0,0,0,10,7,4,3,0,0,0,0,3,7,3,0,0,7,
23:0:31,1011.77,Chicken,595,241,57,66,42,26,48,2,595,536,466,179,142,89,112,129,285,310,111,146,87,10,
23:21:1,308.0311,Chicken,13,0,0,0,0,0,0,0,13,12,11,7,3,3,0,0,11,2,5,1,3,4,
23:31:3,303.0888,Chicken,10,0,0,0,0,0,0,0,10,9,8,8,2,2,0,0,7,3,4,1,2,3,

