System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
21:35:15,315.743,Dog,6,0,0,0,0,0,0,0,6,6,6,6,1,0,0,0,2,4,0,6,0,0,
21:57:52,285.3574,Dog,6,0,0,0,0,0,0,0,6,5,4,4,2,0,0,0,4,2,0,4,0,2,
22:13:49,416.0319,Dog,6,0,0,0,0,0,0,0,6,6,6,6,2,2,0,0,2,4,0,4,2,0,
22:19:57,281.4105,Dog,6,0,0,0,0,0,0,0,6,6,6,6,1,0,0,0,4,2,1,4,0,1,
22:27:37,487.6981,Dog,7,0,0,0,0,0,0,0,7,7,7,6,3,2,0,0,3,4,1,3,2,1,
22:43:27,415.0085,Dog,6,0,0,0,0,0,0,0,6,5,5,4,2,2,0,0,5,1,1,1,2,2,
22:7:10,364.7254,Dog,6,0,0,0,0,0,0,0,6,4,4,4,2,0,0,0,4,2,1,2,0,3,
22:54:44,415.1282,Dog,6,0,0,0,0,0,0,0,6,6,6,5,1,1,0,0,4,2,0,4,1,1,
23:21:57,419.0596,Dog,6,0,0,0,0,0,0,0,6,5,5,5,1,1,0,0,2,4,1,3,1,1,
23:30:12,200.9865,Dog,6,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,3,3,2,3,0,1,

