System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
21:39:24,811.2595,Fox,18,0,0,0,0,0,0,0,18,18,18,10,6,6,0,0,8,10,1,11,6,0,
21:59:0,420.0526,Fox,8,0,0,0,0,0,0,0,8,8,8,6,3,3,0,0,4,4,0,5,3,0,
22:13:47,412.1344,Fox,10,0,0,0,0,0,0,0,10,10,10,6,4,0,0,0,6,4,0,9,0,1,
22:21:3,415.0498,Fox,8,0,0,0,0,0,0,0,8,8,8,6,1,1,0,0,4,4,4,3,1,0,
22:27:2,416.0574,Fox,6,0,0,0,0,0,0,0,6,6,6,6,4,3,0,0,2,4,0,3,3,0,
22:46:23,766.9757,Fox,8,0,0,0,0,0,0,0,8,8,8,8,4,2,0,0,3,5,1,5,2,0,
22:8:12,488.0602,Fox,10,0,0,0,0,0,0,0,10,10,10,6,4,3,0,0,6,4,2,5,3,0,
22:54:45,418.0661,Fox,6,0,0,0,0,0,0,0,6,6,5,4,3,3,0,0,4,2,0,1,3,2,
23:21:56,417.041,Fox,6,0,0,0,0,0,0,0,6,6,6,5,1,1,0,0,3,3,1,3,1,1,
23:32:4,425.0353,Fox,6,0,0,0,0,0,0,0,6,6,6,5,2,2,0,0,5,1,0,2,2,2,

