System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
20:23:49,1.226604,Dog,6,6,6,0,0,0,0,0,6,0,0,0,0,0,2,4,2,4,0,0,0,0,
20:24:30,83.63977,Dog,6,6,0,6,0,0,0,0,6,6,0,0,0,0,2,4,2,4,0,0,0,0,
20:24:38,100.3588,Dog,6,5,0,5,0,0,0,0,6,6,0,0,0,0,2,3,2,4,0,0,0,1,
20:24:49,122.1471,Dog,6,5,0,0,5,0,0,0,6,6,5,0,0,0,2,3,2,4,0,0,0,1,
20:25:19,181.776,Dog,6,4,0,0,4,0,0,0,6,6,5,0,0,0,1,3,2,4,0,0,0,2,
20:25:19,182.6276,Dog,6,4,0,0,0,4,0,0,6,6,5,4,0,0,1,3,2,4,0,0,0,2,
20:25:29,201.0543,Dog,6,2,0,0,0,2,0,0,6,6,5,4,0,0,1,1,2,4,0,2,0,2,
20:26:6,276.1138,Dog,6,2,0,0,0,0,2,0,6,6,5,4,2,0,1,1,2,4,0,2,0,2,
20:26:11,286.5261,Dog,7,3,1,0,0,0,2,0,7,6,5,4,2,0,2,1,3,4,0,2,0,2,
20:26:53,369.0284,Dog,7,3,0,1,0,0,2,0,7,7,5,4,2,0,2,1,3,4,0,2,0,2,
20:27:12,407.5954,Dog,7,3,0,0,1,0,2,0,7,7,6,4,2,0,2,1,3,4,0,2,0,2,
20:27:15,413.6939,Dog,7,2,0,0,0,0,0,2,7,7,6,4,2,2,1,1,3,4,0,3,0,2,
20:27:15,414.0842,Dog,7,1,0,0,0,0,0,1,7,7,6,4,2,2,1,0,3,4,0,3,1,2,
20:27:18,419.036,Dog,7,0,0,0,0,0,0,0,7,7,6,4,2,2,0,0,3,4,0,3,2,2,
