System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
20:49:31,1.202295,Chicken,6,6,6,0,0,0,0,0,6,0,0,0,0,0,2,4,2,4,0,0,0,0,
20:49:50,38.98263,Chicken,6,5,5,0,0,0,0,0,6,0,0,0,0,0,2,3,2,4,0,0,0,1,
20:49:51,41.06862,Chicken,6,5,0,5,0,0,0,0,6,5,0,0,0,0,2,3,2,4,0,0,0,1,
20:50:9,77.41842,Chicken,6,4,0,4,0,0,0,0,6,5,0,0,0,0,2,2,2,4,0,0,0,2,
20:50:11,81.10715,Chicken,6,4,0,0,4,0,0,0,6,5,4,0,0,0,2,2,2,4,0,0,0,2,
20:50:30,118.7111,Chicken,6,3,0,0,3,0,0,0,6,5,4,0,0,0,1,2,2,4,0,0,0,3,
20:50:30,119.8052,Chicken,9,6,3,0,3,0,0,0,9,5,4,0,0,0,4,2,5,4,0,0,0,3,
20:50:31,121.1148,Chicken,9,6,3,0,0,3,0,0,9,5,4,3,0,0,4,2,5,4,0,0,0,3,
20:50:32,123.0372,Chicken,9,5,3,0,0,2,0,0,9,5,4,3,0,0,4,1,5,4,0,0,0,4,
20:50:50,159.8146,Chicken,9,5,0,3,0,2,0,0,9,8,4,3,0,0,4,1,5,4,0,0,0,4,
20:50:51,162.0005,Chicken,9,4,0,2,0,2,0,0,9,8,4,3,0,0,3,1,5,4,0,0,0,5,
20:50:56,170.3385,Chicken,9,3,0,2,0,1,0,0,9,8,4,3,0,0,2,1,5,4,1,0,0,5,
20:51:10,199.8188,Chicken,9,3,0,0,2,1,0,0,9,8,6,3,0,0,2,1,5,4,1,0,0,5,
20:51:11,201.1471,Chicken,9,3,0,0,2,0,1,0,9,8,6,3,1,0,2,1,5,4,1,0,0,5,
20:51:21,221.3403,Chicken,9,1,0,0,0,0,1,0,9,8,6,3,1,0,0,1,5,4,3,0,0,5,
20:52:1,301.1194,Chicken,9,1,0,0,0,0,0,1,9,8,6,3,1,1,0,1,5,4,3,0,0,5,
20:52:2,303.019,Chicken,9,0,0,0,0,0,0,0,9,8,6,3,1,1,0,0,5,4,3,0,1,5,
