System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
19:12:19,201.0224,Dog,6,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,4,2,1,4,0,1,
19:6:48,416.0131,Dog,7,0,0,0,0,0,0,0,7,7,7,5,1,1,0,0,5,2,0,4,1,2,
19:36:46,603.6744,Dog,8,0,0,0,0,0,0,0,8,8,8,7,2,1,0,0,3,5,0,6,1,1,
19:46:39,415.0087,Dog,6,0,0,0,0,0,0,0,6,5,5,5,1,1,0,0,4,2,2,2,1,1,
19:57:26,415.0225,Dog,6,0,0,0,0,0,0,0,6,5,4,4,2,2,0,0,5,1,0,2,2,2,
20:3:1,200.9925,Dog,6,0,0,0,0,0,0,0,6,4,3,2,0,0,0,0,2,4,0,2,0,4,
20:18:49,200.9888,Dog,6,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,3,3,1,5,0,0,
20:27:18,419.036,Dog,7,0,0,0,0,0,0,0,7,7,6,4,2,2,0,0,3,4,0,3,2,2,
20:36:16,201.021,Dog,6,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,1,5,1,5,0,0,
20:44:32,201.039,Dog,6,0,0,0,0,0,0,0,6,5,5,5,0,0,0,0,2,4,1,4,0,1,
20:52:21,340.3602,Dog,6,0,0,0,0,0,0,0,6,5,5,5,2,0,0,0,4,2,0,3,0,3,
21:3:50,415.0348,Dog,6,0,0,0,0,0,0,0,6,6,5,5,2,1,0,0,3,3,0,4,1,1,
21:15:53,414.0576,Dog,6,0,0,0,0,0,0,0,6,5,5,4,2,1,0,0,3,3,0,3,1,2,
21:25:8,347.385,Dog,7,0,0,0,0,0,0,0,7,6,6,5,0,0,0,0,2,5,0,6,0,1,
22:10:52,201.0289,Dog,6,0,0,0,0,0,0,0,6,6,5,4,0,0,0,0,2,4,0,4,0,2,

