System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
19:12:19,201.0224,Fox,6,0,0,0,0,0,0,0,6,6,6,5,0,0,0,0,4,2,0,4,0,2,
19:6:51,422.0121,Fox,6,0,0,0,0,0,0,0,6,6,6,6,4,4,0,0,4,2,0,2,4,0,
19:35:11,414.0101,Fox,6,0,0,0,0,0,0,0,6,5,5,5,1,1,0,0,3,3,2,2,1,1,
19:46:38,414.0262,Fox,8,0,0,0,0,0,0,0,8,7,7,4,1,1,0,0,3,5,3,2,1,2,
19:57:45,453.212,Fox,10,0,0,0,0,0,0,0,10,8,8,7,1,1,0,0,5,5,2,5,1,2,
20:4:59,435.4548,Fox,8,0,0,0,0,0,0,0,8,7,6,5,3,3,0,0,5,3,0,3,3,2,
20:20:38,418.0119,Fox,6,0,0,0,0,0,0,0,6,5,5,2,2,2,0,0,3,3,0,0,2,4,
20:27:15,414.0842,Fox,6,0,0,0,0,0,0,0,6,6,6,6,1,1,0,0,4,2,0,5,1,0,
20:38:3,415.0641,Fox,6,0,0,0,0,0,0,0,6,5,5,5,1,1,0,0,1,5,1,3,1,1,
20:46:18,414.0316,Fox,10,0,0,0,0,0,0,0,10,8,8,6,1,1,0,0,5,5,2,5,1,2,
20:52:0,299.0723,Fox,8,0,0,0,0,0,0,0,8,7,6,4,0,0,0,0,3,5,1,4,0,3,
21:3:50,414.0605,Fox,6,0,0,0,0,0,0,0,6,6,6,6,1,1,0,0,2,4,0,5,1,0,
21:15:55,419.0164,Fox,6,0,0,0,0,0,0,0,6,6,6,6,1,1,0,0,0,6,0,4,1,1,
21:25:44,420.0208,Fox,8,0,0,0,0,0,0,0,8,8,7,6,2,2,0,0,4,4,1,4,2,1,
22:10:52,201.0289,Fox,6,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,3,3,0,6,0,0,

