System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
2:57:18,1.200923,Pig,8,8,8,0,0,0,0,0,8,0,0,0,0,0,4,4,4,4,0,0,0,0,
2:57:32,28.37391,Pig,8,7,7,0,0,0,0,0,8,0,0,0,0,0,3,4,4,4,0,0,0,1,
2:57:33,31.23919,Pig,8,6,6,0,0,0,0,0,8,0,0,0,0,0,3,3,4,4,0,0,0,2,
2:57:56,76.0899,Pig,8,6,0,6,0,0,0,0,8,6,0,0,0,0,3,3,4,4,0,0,0,2,
2:58:14,111.126,Pig,8,6,0,0,6,0,0,0,8,6,6,0,0,0,3,3,4,4,0,0,0,2,
2:58:23,129.8192,Pig,8,5,0,0,5,0,0,0,8,6,6,0,0,0,3,2,4,4,0,0,0,3,
2:58:41,166.0936,Pig,8,5,0,0,0,5,0,0,8,6,6,5,0,0,3,2,4,4,0,0,0,3,
2:58:43,169.9212,Pig,8,4,0,0,0,4,0,0,8,6,6,5,0,0,2,2,4,4,0,0,0,4,
2:58:59,201.1192,Pig,12,8,4,0,0,4,0,0,12,6,6,5,0,0,3,5,5,7,0,0,0,4,
2:59:24,251.1161,Pig,12,8,4,0,0,0,4,0,12,6,6,5,4,0,3,5,5,7,0,0,0,4,
2:59:36,276.1328,Pig,12,8,0,4,0,0,4,0,12,10,6,5,4,0,3,5,5,7,0,0,0,4,
2:59:48,300.8073,Pig,12,7,0,4,0,0,3,0,12,10,6,5,4,0,3,4,5,7,0,0,0,5,
2:59:52,308.3367,Pig,12,6,0,3,0,0,3,0,12,10,6,5,4,0,3,3,5,7,1,0,0,5,
2:59:54,311.085,Pig,12,6,0,0,3,0,3,0,12,10,9,5,4,0,3,3,5,7,1,0,0,5,
3:0:15,354.5409,Pig,12,5,0,0,3,0,2,0,12,10,9,5,4,0,2,3,5,7,2,0,0,5,
3:0:21,366.1213,Pig,12,5,0,0,0,3,2,0,12,10,9,8,4,0,2,3,5,7,2,0,0,5,
3:0:26,376.0631,Pig,12,5,0,0,0,3,0,2,12,10,9,8,4,2,2,3,5,7,2,0,0,5,
3:0:48,419.0109,Pig,12,4,0,0,0,3,0,1,12,10,9,8,4,2,2,2,5,7,2,0,0,6,
3:0:55,433.252,Pig,12,3,0,0,0,3,0,0,12,10,9,8,4,2,1,2,5,7,2,0,0,7,
3:1:4,451.1441,Pig,12,3,0,0,0,0,3,0,12,10,9,8,7,2,1,2,5,7,2,0,0,7,
3:2:6,576.0768,Pig,12,3,0,0,0,0,0,3,12,10,9,8,7,5,1,2,5,7,2,0,0,7,
3:2:11,585.2858,Pig,12,2,0,0,0,0,0,2,12,10,9,8,7,5,0,2,5,7,2,0,0,8,
3:2:11,586.0892,Pig,12,1,0,0,0,0,0,1,12,10,9,8,7,5,0,1,5,7,2,0,1,8,
3:2:41,646.2173,Pig,12,0,0,0,0,0,0,0,12,10,9,8,7,5,0,0,5,7,2,0,2,8,
