System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
5:55:5,1.208834,Cow,8,8,8,0,0,0,0,0,8,0,0,0,0,0,4,4,4,4,0,0,0,0,
5:55:54,98.64477,Cow,8,8,0,8,0,0,0,0,8,8,0,0,0,0,4,4,4,4,0,0,0,0,
5:56:17,144.161,Cow,8,8,0,0,8,0,0,0,8,8,8,0,0,0,4,4,4,4,0,0,0,0,
5:56:37,185.1623,Cow,8,4,0,0,4,0,0,0,8,8,8,0,0,0,2,2,4,4,4,0,0,0,
5:56:52,215.1544,Cow,8,3,0,0,3,0,0,0,8,8,8,0,0,0,1,2,4,4,5,0,0,0,
5:56:53,215.5877,Cow,8,3,0,0,0,3,0,0,8,8,8,3,0,0,1,2,4,4,5,0,0,0,
5:57:50,326.0731,Cow,8,3,0,0,0,0,3,0,8,8,8,3,3,0,1,2,4,4,5,0,0,0,
5:58:26,398.0671,Cow,9,4,1,0,0,0,3,0,9,8,8,3,3,0,1,3,4,5,5,0,0,0,
5:58:39,423.1826,Cow,9,3,1,0,0,0,2,0,9,8,8,3,3,0,1,2,4,5,6,0,0,0,
5:59:11,488.5918,Cow,9,3,1,0,0,0,0,2,9,8,8,3,3,2,1,2,4,5,6,0,0,0,
5:59:15,495.6189,Cow,9,3,0,1,0,0,0,2,9,9,8,3,3,2,1,2,4,5,6,0,0,0,
5:59:37,538.7718,Cow,9,2,0,1,0,0,0,1,9,9,8,3,3,2,0,2,4,5,6,0,1,0,
5:59:38,541.089,Cow,9,2,0,0,1,0,0,1,9,9,9,3,3,2,0,2,4,5,6,0,1,0,
6:0:13,612.5865,Cow,9,2,0,0,0,1,0,1,9,9,9,4,3,2,0,2,4,5,6,0,1,0,
6:0:22,629.0104,Cow,9,1,0,0,0,1,0,0,9,9,9,4,3,2,0,1,4,5,6,0,2,0,
6:0:54,694.5107,Cow,9,0,0,0,0,0,0,0,9,9,9,4,3,2,0,0,4,5,7,0,2,0,
