System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
0:24:29,1.204116,Fox,6,6,6,0,0,0,0,0,6,0,0,0,0,0,3,3,3,3,0,0,0,0,
0:25:11,83.64891,Fox,6,6,0,6,0,0,0,0,6,6,0,0,0,0,3,3,3,3,0,0,0,0,
0:25:30,122.1586,Fox,6,6,0,0,6,0,0,0,6,6,6,0,0,0,3,3,3,3,0,0,0,0,
0:25:57,176.6588,Fox,8,8,2,0,6,0,0,0,8,6,6,0,0,0,5,3,5,3,0,0,0,0,
0:26:0,182.6033,Fox,8,8,2,0,0,6,0,0,8,6,6,6,0,0,5,3,5,3,0,0,0,0,
0:26:9,201.0303,Fox,8,5,2,0,0,3,0,0,8,6,6,6,0,0,4,1,5,3,1,2,0,0,
0:26:35,252.2462,Fox,10,7,4,0,0,3,0,0,10,6,6,6,0,0,4,3,5,5,1,2,0,0,
0:26:38,259.1388,Fox,10,7,2,2,0,3,0,0,10,8,6,6,0,0,4,3,5,5,1,2,0,0,
0:26:47,276.1305,Fox,10,7,2,2,0,0,3,0,10,8,6,6,3,0,4,3,5,5,1,2,0,0,
0:26:50,283.4178,Fox,10,6,2,2,0,0,2,0,10,8,6,6,3,0,3,3,5,5,1,2,0,1,
0:26:58,297.6637,Fox,10,6,2,0,2,0,2,0,10,8,8,6,3,0,3,3,5,5,1,2,0,1,
0:27:1,303.8271,Fox,10,5,2,0,1,0,2,0,10,8,8,6,3,0,2,3,5,5,1,3,0,1,
0:27:16,334.8135,Fox,10,5,0,2,1,0,2,0,10,10,8,6,3,0,2,3,5,5,1,3,0,1,
0:27:28,358.2046,Fox,10,5,0,2,0,1,2,0,10,10,8,7,3,0,2,3,5,5,1,3,0,1,
0:27:35,373.2635,Fox,10,5,0,0,2,1,2,0,10,10,10,7,3,0,2,3,5,5,1,3,0,1,
0:27:38,379.4585,Fox,10,4,0,0,1,1,2,0,10,10,10,7,3,0,2,2,5,5,1,4,0,1,
0:27:45,392.0854,Fox,10,3,0,0,0,1,2,0,10,10,10,7,3,0,2,1,5,5,1,5,0,1,
0:27:56,413.6394,Fox,10,3,0,0,0,1,0,2,10,10,10,7,3,2,2,1,5,5,1,5,0,1,
0:27:56,414.0375,Fox,10,1,0,0,0,1,0,0,10,10,10,7,3,2,1,0,5,5,1,5,2,1,
0:28:15,451.7161,Fox,10,1,0,0,0,0,1,0,10,10,10,7,4,2,1,0,5,5,1,5,2,1,
0:28:18,458.5587,Fox,10,0,0,0,0,0,0,0,10,10,10,7,4,2,0,0,5,5,1,6,2,1,
