System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
0:47:33,1.204159,Lion,6,6,6,0,0,0,0,0,6,0,0,0,0,0,2,4,2,4,0,0,0,0,
0:48:18,91.15658,Lion,6,6,0,6,0,0,0,0,6,6,0,0,0,0,2,4,2,4,0,0,0,0,
0:48:39,133.1863,Lion,6,6,0,0,6,0,0,0,6,6,6,0,0,0,2,4,2,4,0,0,0,0,
0:49:12,199.1498,Lion,6,6,0,0,0,6,0,0,6,6,6,6,0,0,2,4,2,4,0,0,0,0,
0:49:46,266.7571,Lion,7,7,1,0,0,6,0,0,7,6,6,6,0,0,2,5,2,5,0,0,0,0,
0:50:3,301.1273,Lion,7,7,1,0,0,0,6,0,7,6,6,6,6,0,2,5,2,5,0,0,0,0,
0:50:31,356.782,Lion,7,7,0,1,0,0,6,0,7,7,6,6,6,0,2,5,2,5,0,0,0,0,
0:50:48,391.0204,Lion,8,8,1,1,0,0,6,0,8,7,6,6,6,0,2,6,2,6,0,0,0,0,
0:50:50,395.5381,Lion,8,7,1,0,0,0,6,0,8,7,6,6,6,0,2,5,2,6,1,0,0,0,
0:51:18,451.1258,Lion,8,5,1,0,0,0,0,4,8,7,6,6,6,6,2,3,2,6,1,0,2,0,
0:51:23,461.1815,Lion,8,2,1,0,0,0,0,1,8,7,6,6,6,6,1,1,2,6,1,0,5,0,
0:51:33,480.993,Lion,8,2,0,1,0,0,0,1,8,8,6,6,6,6,1,1,2,6,1,0,5,0,
0:51:33,481.2428,Lion,8,1,0,1,0,0,0,0,8,8,6,6,6,6,0,1,2,6,1,0,6,0,
0:51:52,519.7325,Lion,8,0,0,0,0,0,0,0,8,8,6,6,6,6,0,0,2,6,2,0,6,0,
