System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
23:39:4,460.4436,Chicken,19,0,0,0,0,0,0,0,19,16,15,9,5,4,0,0,8,11,3,1,4,11,
0:3:13,302.0234,Chicken,10,0,0,0,0,0,0,0,10,9,7,7,2,1,0,0,3,7,6,0,1,3,
0:24:2,927.5882,Chicken,55,26,3,9,3,8,3,0,55,51,39,35,24,19,10,16,20,35,2,0,18,9,
0:29:32,606.3069,Chicken,22,1,0,0,0,0,1,0,22,20,19,12,7,4,0,1,11,11,6,1,4,10,
0:43:37,602.8338,Chicken,16,0,0,0,0,0,0,0,16,14,13,11,8,7,0,0,9,7,5,0,7,4,
0:51:26,467.0446,Chicken,13,0,0,0,0,0,0,0,13,11,10,9,5,4,0,0,3,10,2,0,4,7,
0:59:3,310.2267,Chicken,13,0,0,0,0,0,0,0,13,10,9,5,1,1,0,0,4,9,6,1,0,6,
0:11:43,401.1662,Chicken,13,0,0,0,0,0,0,0,13,12,11,9,5,3,0,0,9,4,3,2,3,5,
1:6:25,331.2016,Chicken,10,0,0,0,0,0,0,0,10,8,7,7,3,2,0,0,7,3,2,0,1,7,
2:38:42,351.2694,Chicken,16,0,0,0,0,0,0,0,16,14,14,7,4,2,0,0,5,11,5,0,2,9,

